Source\Target,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.
bridges_A1.,1.0,0.037037037,0.6296296,0.6481481,0.22222222,0.6018519,0.027777778,0.037037037,0.037037037,0.037037037,0.074074075
bridges_A1.,0.5092593,0.07272727,0.8088235,0.78571427,0.43636364,0.84615386,0.054545455,0.07272727,0.07272727,0.07272727,0.14545454
bridges_A1.,0.12962963,0.2857143,0.20588236,0.2,0.5833333,0.21538462,0.21428572,0.2857143,0.2857143,0.2857143,0.5714286
bridges_A1.,0.6018519,0.06153846,0.9558824,0.9285714,0.36923078,1.0,0.046153847,0.06153846,0.06153846,0.06153846,0.12307692
bridges_A1.,0.046296295,0.8,0.073529415,0.071428575,0.20833333,0.07692308,0.6,0.8,0.8,0.8,0.625
bridges_A1.,0.027777778,0.75,0.04411765,0.042857144,0.125,0.046153847,1.0,0.75,0.75,0.75,0.375
bridges_A2.,0.5092593,0.07272727,0.8088235,0.78571427,0.43636364,0.84615386,0.054545455,0.07272727,0.07272727,0.07272727,0.14545454
bridges_A2.,0.14814815,0.25,0.23529412,0.22857143,0.6666667,0.24615385,0.1875,0.25,0.25,0.25,0.5
bridges_A2.,0.6018519,0.06153846,0.9558824,0.9285714,0.36923078,1.0,0.046153847,0.06153846,0.06153846,0.06153846,0.12307692
bridges_A2.,0.046296295,0.8,0.073529415,0.071428575,0.20833333,0.07692308,0.6,0.8,0.8,0.8,0.625
bridges_A2.,0.027777778,0.75,0.04411765,0.042857144,0.125,0.046153847,1.0,0.75,0.75,0.75,0.375
bridges_A2.,0.037037037,1.0,0.05882353,0.057142857,0.16666667,0.06153846,0.75,1.0,1.0,1.0,0.5
bridges_A2.,0.14814815,0.25,0.23529412,0.22857143,0.6666667,0.24615385,0.1875,0.25,0.25,0.25,0.5
bridges_A2.,0.074074075,0.5,0.11764706,0.114285715,0.33333334,0.12307692,0.375,0.5,0.5,0.5,1.0
