Source\Target,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_C1.,bridges_C1.,bridges_C1.,bridges_C1.,bridges_C1.,bridges_C1.
bridges_A1.,0.6779661,0.2,1.0,0.95238096,0.1,0.775,0.15,0.075,0.475,0.15,0.2,0.78431374,0.49382716,0.2,0.175,0.1,0.2
bridges_A1.,0.050847456,0.375,0.075,0.071428575,0.75,0.09677419,0.5,1.0,0.15789473,0.5,0.375,0.05882353,0.037037037,0.375,0.42857143,0.75,0.375
bridges_A1.,1.0,0.13559322,0.6779661,0.7118644,0.06779661,0.5254237,0.10169491,0.050847456,0.3220339,0.10169491,0.13559322,0.86440676,0.72839504,0.13559322,0.118644066,0.06779661,0.13559322
bridges_A1.,0.7118644,0.1904762,0.95238096,1.0,0.0952381,0.7380952,0.14285715,0.071428575,0.45238096,0.14285715,0.1904762,0.8235294,0.5185185,0.1904762,0.16666667,0.0952381,0.1904762
bridges_A1.,0.06779661,0.5,0.1,0.0952381,1.0,0.12903225,0.6666667,0.75,0.21052632,0.6666667,0.5,0.078431375,0.049382716,0.5,0.5714286,1.0,0.5
bridges_A2.,0.06779661,0.5,0.1,0.0952381,1.0,0.12903225,0.6666667,0.75,0.21052632,0.6666667,0.5,0.078431375,0.049382716,0.5,0.5714286,1.0,0.5
bridges_A2.,0.050847456,0.375,0.075,0.071428575,0.75,0.09677419,0.5,1.0,0.15789473,0.5,0.375,0.05882353,0.037037037,0.375,0.42857143,0.75,0.375
bridges_A2.,0.6779661,0.2,1.0,0.95238096,0.1,0.775,0.15,0.075,0.475,0.15,0.2,0.78431374,0.49382716,0.2,0.175,0.1,0.2
bridges_A2.,0.06779661,0.5,0.1,0.0952381,1.0,0.12903225,0.6666667,0.75,0.21052632,0.6666667,0.5,0.078431375,0.049382716,0.5,0.5714286,1.0,0.5
bridges_A2.,0.050847456,0.375,0.075,0.071428575,0.75,0.09677419,0.5,1.0,0.15789473,0.5,0.375,0.05882353,0.037037037,0.375,0.42857143,0.75,0.375
bridges_A2.,0.050847456,0.375,0.075,0.071428575,0.75,0.09677419,0.5,1.0,0.15789473,0.5,0.375,0.05882353,0.037037037,0.375,0.42857143,0.75,0.375
bridges_A2.,0.7118644,0.1904762,0.95238096,1.0,0.0952381,0.7380952,0.14285715,0.071428575,0.45238096,0.14285715,0.1904762,0.8235294,0.5185185,0.1904762,0.16666667,0.0952381,0.1904762
bridges_D1.,0.72839504,0.09876543,0.49382716,0.5185185,0.049382716,0.38271606,0.074074075,0.037037037,0.2345679,0.074074075,0.09876543,0.6296296,1.0,0.09876543,0.086419754,0.049382716,0.09876543
bridges_D1.,0.10169491,0.75,0.15,0.14285715,0.6666667,0.19354838,1.0,0.5,0.31578946,1.0,0.75,0.11764706,0.074074075,0.75,0.85714287,0.6666667,0.75
bridges_D1.,0.84745765,0.16,0.8,0.84,0.08,0.62,0.12,0.06,0.38,0.12,0.16,0.98039216,0.61728394,0.16,0.14,0.08,0.16
bridges_D1.,0.13559322,1.0,0.2,0.1904762,0.5,0.2580645,0.75,0.375,0.42105263,0.75,1.0,0.15686275,0.09876543,1.0,0.875,0.5,1.0
bridges_D1.,0.9661017,0.14035088,0.7017544,0.7368421,0.07017544,0.54385966,0.10526316,0.05263158,0.33333334,0.10526316,0.14035088,0.8947368,0.7037037,0.14035088,0.12280702,0.07017544,0.14035088
bridges_D1.,0.118644066,0.875,0.175,0.16666667,0.5714286,0.22580644,0.85714287,0.42857143,0.36842105,0.85714287,0.875,0.13725491,0.086419754,0.875,1.0,0.5714286,0.875
bridges_D1.,0.06779661,0.5,0.1,0.0952381,1.0,0.12903225,0.6666667,0.75,0.21052632,0.6666667,0.5,0.078431375,0.049382716,0.5,0.5714286,1.0,0.5
bridges_D1.,0.050847456,0.375,0.075,0.071428575,0.75,0.09677419,0.5,1.0,0.15789473,0.5,0.375,0.05882353,0.037037037,0.375,0.42857143,0.75,0.375
bridges_D1.,0.13559322,1.0,0.2,0.1904762,0.5,0.2580645,0.75,0.375,0.42105263,0.75,1.0,0.15686275,0.09876543,1.0,0.875,0.5,1.0
bridges_D1.,0.10169491,0.75,0.15,0.14285715,0.6666667,0.19354838,1.0,0.5,0.31578946,1.0,0.75,0.11764706,0.074074075,0.75,0.85714287,0.6666667,0.75
bridges_D1.,0.13559322,1.0,0.2,0.1904762,0.5,0.2580645,0.75,0.375,0.42105263,0.75,1.0,0.15686275,0.09876543,1.0,0.875,0.5,1.0
