Source\Target,diabetes_B1.P.;pFd9_Glucose,diabetes_B1.B.,diabetes_B1.Sk,diabetes_B1.Insulin,diabetes_B1.BM,diabetes_B1.DiabetesPedigreeFunction,diabetes_B1.Age,diabetes_B1.Outcome
diabetes_A1.Age,0.06666666,0.0,0.0,0.0,0.0,0.08333331,1.0,0.14285713
diabetes_A1.BloodPressure,0.13333333,0.07692307,0.0,0.07692307,0.07692307,0.16666669,0.07692307,0.07692307
diabetes_A1.JMb0XFpkj3,0.0,0.0,0.100000024,0.0,0.100000024,0.08333331,0.0,0.0
diabetes_A1.Pregnancies,0.13333333,0.0,0.0,0.18181819,0.0,0.25,0.18181819,0.090909064
diabetes_A1.BMI,0.0,0.3333333,0.0,0.0,0.6666666,0.0,0.0,0.0
diabetes_A1.DiabetesPedigreeFunction,0.125,0.0,0.0,0.16666669,0.0,1.0,0.08333331,0.08333331
diabetes_A2.BloodPressure,0.13333333,0.07692307,0.0,0.07692307,0.07692307,0.16666669,0.07692307,0.07692307
diabetes_A2.Insulin,0.06666666,0.0,0.0,1.0,0.0,0.16666669,0.0,0.0
diabetes_A2.Outcome,0.19999999,0.0,0.0,0.0,0.0,0.08333331,0.14285713,1.0
diabetes_A2.dP,0.06666666,0.0,0.0,0.0,0.0,0.041666687,0.0,0.0
diabetes_A2.Pregnancies,0.13333333,0.0,0.0,0.18181819,0.0,0.25,0.18181819,0.090909064
diabetes_A2.Alter,0.06666666,0.0,0.0,0.0,0.0,0.125,0.39999998,0.14285713
diabetes_A2.7AJ4lu,0.13333333,0.0,0.0,0.14285713,0.0,0.041666687,0.16666669,0.0
diabetes_A2.DiabetesPedigreeFunction,0.125,0.0,0.0,0.16666669,0.0,1.0,0.08333331,0.08333331
