Source\Target,gym_B1.Age,gym_B1.Gender,gym_B1.Weight (kg),gym_B1.Height (m),gym_B1.Max_BPM,gym_B1.Avg_BPM,gym_B1.Resting_BPM,gym_B1.Session_Duration (hours),gym_B1.Calories_Burned,gym_B1.Workout_Type,gym_B1.Fat_Percentage,gym_B1.Water_Intake (liters),gym_B1.Workout_Frequency (days/week),gym_B1.Experience_Level,gym_B1.BMI
gym_A1.Age,1.0,0.16666669,0.090909064,0.100000024,0.0,0.28571427,0.090909064,0.0,0.06666666,0.08333331,0.14285713,0.047619045,0.034482777,0.0625,0.0
gym_A1.Gender,0.16666669,1.0,0.090909064,0.100000024,0.0,0.0,0.18181819,0.125,0.13333333,0.0,0.14285713,0.19047618,0.13793105,0.1875,0.0
gym_A1.Weight (kg),0.090909064,0.090909064,1.0,0.72727275,0.0,0.090909064,0.090909064,0.25,0.06666666,0.16666669,0.0714286,0.28571427,0.17241377,0.125,0.0
gym_A1.Height (m),0.100000024,0.100000024,0.72727275,1.0,0.0,0.100000024,0.090909064,0.25,0.06666666,0.08333331,0.0714286,0.23809522,0.13793105,0.125,0.0
gym_A1.Max_BPM,0.0,0.0,0.0,0.0,1.0,0.57142854,0.36363637,0.041666687,0.19999999,0.08333331,0.14285713,0.09523809,0.034482777,0.0625,0.14285713
gym_A1.Avg_BPM,0.28571427,0.0,0.090909064,0.100000024,0.57142854,1.0,0.45454544,0.041666687,0.13333333,0.08333331,0.0714286,0.047619045,0.034482777,0.0625,0.14285713
gym_A1.Resting_BPM,0.090909064,0.18181819,0.090909064,0.090909064,0.36363637,0.45454544,1.0,0.20833331,0.19999999,0.08333331,0.0714286,0.09523809,0.068965495,0.1875,0.090909064
gym_A1.Session_Duration (hours),0.0,0.125,0.25,0.25,0.041666687,0.041666687,0.20833331,1.0,0.16666669,0.125,0.125,0.25,0.17241377,0.125,0.0
gym_A1.Calories_Burned,0.06666666,0.13333333,0.06666666,0.06666666,0.19999999,0.13333333,0.19999999,0.16666669,1.0,0.19999999,0.13333333,0.14285713,0.13793105,0.25,0.06666666
gym_A1.Workout_Type,0.08333331,0.0,0.16666669,0.08333331,0.08333331,0.08333331,0.08333331,0.125,0.19999999,1.0,0.0714286,0.19047618,0.3448276,0.1875,0.0
gym_A1.Fat_Percentage,0.14285713,0.14285713,0.0714286,0.0714286,0.14285713,0.0714286,0.0714286,0.125,0.13333333,0.0714286,1.0,0.28571427,0.24137932,0.25,0.0
gym_A1.Water_Intake (liters),0.047619045,0.19047618,0.28571427,0.23809522,0.09523809,0.047619045,0.09523809,0.25,0.14285713,0.19047618,0.28571427,1.0,0.24137932,0.23809522,0.047619045
gym_A1.Workout_Frequency (days/week),0.034482777,0.13793105,0.17241377,0.13793105,0.034482777,0.034482777,0.068965495,0.17241377,0.13793105,0.3448276,0.24137932,0.24137932,1.0,0.17241377,0.0
gym_A1.Experience_Level,0.0625,0.1875,0.125,0.125,0.0625,0.0625,0.1875,0.125,0.25,0.1875,0.25,0.23809522,0.17241377,1.0,0.0
gym_A1.BMI,0.0,0.0,0.0,0.0,0.14285713,0.14285713,0.090909064,0.0,0.06666666,0.0,0.0,0.047619045,0.0,0.0,1.0
