Source\Target,gym_B1.56,gym_B1.Male,gym_B1.88.3,gym_B1.180,gym_B1.157,gym_B1.60,gym_B1.1.69,gym_B1.1313.0,gym_B1.2.25,gym_B1.4,gym_B1.3,gym_B1.30.2,gym_C1.Kx2HyaGxl,gym_C1.Avg_BPM,gym_C1.Resting_BPM,gym_C1.Weight (kg),gym_C1.Verbrannte Kalorien ,gym_C1.G.,gym_C2.Calories_Burned,gym_C2.Gender,gym_C2.Weight (kg),gym_C2.go through horizontal surface,gym_C2.8w_Session_Duration (hours),gym_C2.A.B.
gym_A1.Height (m),0.8627451,0.15686275,0.100196466,0.84313726,0.85,0.54901963,0.34931508,0.092391305,0.92727274,0.078431375,0.078431375,0.07488987,0.09375,0.98039216,0.49019608,0.12289157,0.111597374,0.039215688,0.111597374,0.039215688,0.12289157,0.05882353,0.3469388,0.98039216
gym_A1.Avg_BPM,0.84615386,0.15384616,0.1021611,0.8269231,0.8666667,0.53846157,0.3561644,0.0942029,0.94545454,0.07692308,0.07692308,0.076358296,0.09558824,0.96153843,0.48076922,0.12530121,0.11378556,0.03846154,0.11378556,0.03846154,0.12530121,0.057692308,0.3537415,0.96153843
gym_A1.Session_Duration (hours);Resting_BPM,0.060606062,0.011019284,0.7011019,0.05922865,0.08264463,0.038567495,0.20110193,0.76033056,0.07575758,0.005509642,0.005509642,0.93801653,0.74931127,0.06887052,0.03443526,0.57162535,0.6294766,0.002754821,0.6294766,0.002754821,0.57162535,0.004132231,0.20247933,0.06887052
gym_A1.Calories_Burned,0.07224959,0.013136289,0.8357964,0.07060755,0.098522164,0.04597701,0.23973727,0.90640396,0.09031199,0.0065681445,0.0065681445,0.8942731,0.89326763,0.08210181,0.041050903,0.681445,0.7504105,0.0032840723,0.7504105,0.0032840723,0.681445,0.0049261083,0.2413793,0.08210181
gym_A1.Workout_Type,0.09090909,0.5,0.007858546,0.093023255,0.06666667,0.14285715,0.02739726,0.007246377,0.07272727,1.0,1.0,0.005873715,0.007352941,0.08,0.16,0.009638554,0.008752735,0.5,0.008752735,0.5,0.009638554,0.75,0.027210884,0.08
gym_A1.Fat_Percentage,0.19555555,0.035555556,0.44204322,0.19111112,0.26666668,0.12444445,0.6488889,0.4076087,0.24444444,0.017777778,0.017777778,0.33039647,0.41360295,0.22222222,0.11111111,0.5421687,0.49234137,0.008888889,0.49234137,0.008888889,0.5421687,0.013333334,0.6533333,0.22222222
gym_A1.BMI,0.06451613,0.011730205,0.7463343,0.06304985,0.08797654,0.04105572,0.21407625,0.80938417,0.08064516,0.0058651026,0.0058651026,0.9985337,0.797654,0.07331378,0.03665689,0.6085044,0.670088,0.0029325513,0.670088,0.0029325513,0.6085044,0.004398827,0.21554253,0.07331378
gym_D1.Ag,0.6567164,0.11940298,0.13163064,0.64179105,0.8955224,0.41791046,0.45890412,0.12137681,0.8208955,0.05970149,0.05970149,0.09838473,0.12316176,0.74626863,0.37313432,0.16144578,0.14660831,0.029850746,0.14660831,0.029850746,0.16144578,0.04477612,0.45578232,0.74626863
gym_D1.Weight (kg),0.106024094,0.019277109,0.8153242,0.10361446,0.14457831,0.06746988,0.35180724,0.7518116,0.13253012,0.009638554,0.009638554,0.60939795,0.7628676,0.12048193,0.060240965,1.0,0.90809625,0.004819277,0.90809625,0.004819277,1.0,0.0072289156,0.35421687,0.12048193
gym_D1.Height (m),0.8627451,0.15686275,0.100196466,0.84313726,0.85,0.54901963,0.34931508,0.092391305,0.92727274,0.078431375,0.078431375,0.07488987,0.09375,0.98039216,0.49019608,0.12289157,0.111597374,0.039215688,0.111597374,0.039215688,0.12289157,0.05882353,0.3469388,0.98039216
