Source\Target,gym_B1.56,gym_B1.Male,gym_B1.88.3,gym_B1.180,gym_B1.157,gym_B1.60,gym_B1.1.69,gym_B1.1313.0,gym_B1.2.25,gym_B1.4,gym_B1.3,gym_B1.30.2,gym_C1.Kx2HyaGxl,gym_C1.Avg_BPM,gym_C1.Resting_BPM,gym_C1.Weight (kg),gym_C1.Verbrannte Kalorien ,gym_C1.G.,gym_C2.Calories_Burned,gym_C2.Gender,gym_C2.Weight (kg),gym_C2.go through horizontal surface,gym_C2.8w_Session_Duration (hours),gym_C2.A.B.
gym_A1.Height (m),0.12790698,0.0,0.4774775,0.5692308,0.21875,0.42105263,0.5145631,0.41379312,0.27631578,0.0,0.0,0.46902654,0.46902654,0.2,0.39285713,0.47706422,0.41379312,0.0,0.41379312,0.0,0.47706422,0.0,0.5145631,0.2
gym_A1.Avg_BPM,0.66129035,0.0,0.42857143,0.16129032,0.8923077,0.29850745,0.48623854,0.5315315,0.21176471,0.0,0.0,0.4827586,0.4827586,0.9322034,0.3125,0.41525424,0.5315315,0.0,0.5315315,0.0,0.41525424,0.0,0.48623854,0.9322034
gym_A1.Session_Duration (hours);Resting_BPM,0.33606556,0.0,0.74242425,0.36585367,0.4878049,0.225,0.8655462,0.7293233,0.34710744,0.0,0.0,0.79844964,0.79844964,0.4262295,0.21008404,0.719697,0.7293233,0.0,0.7293233,0.0,0.719697,0.0,0.8655462,0.4262295
gym_A1.Calories_Burned,0.36666667,0.0,0.925,0.40833333,0.53333336,0.23333333,0.85833335,0.925,0.3553719,0.0,0.0,0.94166666,0.94166666,0.45833334,0.20833333,0.9,0.925,0.0,0.925,0.0,0.9,0.0,0.85833335,0.45833334
gym_A1.Workout_Type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym_A1.Fat_Percentage,0.25,0.0,0.33050847,0.06741573,0.29411766,0.0,0.31858408,0.30833334,0.32352942,0.0,0.0,0.39473686,0.39473686,0.2625,0.0,0.33913043,0.30833334,0.0,0.30833334,0.0,0.33913043,0.0,0.31858408,0.2625
gym_A1.BMI,0.37719297,0.0,0.8666667,0.37288135,0.51282054,0.20512821,0.91150445,0.8666667,0.37719297,0.0,0.0,1.0,1.0,0.46086955,0.18965517,0.84166664,0.8666667,0.0,0.8666667,0.0,0.84166664,0.0,0.91150445,0.46086955
gym_D1.Ag,0.6,0.0,0.49166667,0.32954547,0.5,0.14285715,0.5405405,0.6126126,0.19148937,0.0,0.0,0.5338983,0.5338983,0.48192772,0.12048193,0.46666667,0.6126126,0.0,0.6126126,0.0,0.46666667,0.0,0.5405405,0.48192772
gym_D1.Weight (kg),0.27731094,0.0,0.972973,0.42727274,0.44537815,0.25925925,0.77310926,0.825,0.34513274,0.0,0.0,0.84166664,0.84166664,0.38135594,0.23148148,1.0,0.825,0.0,0.825,0.0,1.0,0.0,0.77310926,0.38135594
gym_D1.Height (m),0.12790698,0.0,0.4774775,0.5692308,0.21875,0.42105263,0.5145631,0.41379312,0.27631578,0.0,0.0,0.46902654,0.46902654,0.2,0.39285713,0.47706422,0.41379312,0.0,0.41379312,0.0,0.47706422,0.0,0.5145631,0.2
gym_D1.Max_BPM,0.04761905,0.0,0.38392857,0.8979592,0.18681319,0.33333334,0.37383178,0.3963964,0.17333333,0.0,0.0,0.34188035,0.34188035,0.125,0.2777778,0.38181818,0.3963964,0.0,0.3963964,0.0,0.38181818,0.0,0.37383178,0.125
gym_D1.Avg_BPM,0.70689654,0.0,0.394958,0.15555556,0.859375,0.31746033,0.46296296,0.4954955,0.20731707,0.0,0.0,0.46086955,0.46086955,1.0,0.33333334,0.38135594,0.4954955,0.0,0.4954955,0.0,0.38135594,0.0,0.46296296,1.0
gym_D1.Calories_Burned,0.3963964,0.0,0.85,0.44144145,0.5765766,0.25225225,0.78333336,1.0,0.28099173,0.0,0.0,0.8666667,0.8666667,0.4954955,0.22522523,0.825,1.0,0.0,1.0,0.0,0.825,0.0,0.78333336,0.4954955
gym_D1.F.P.,0.37383178,0.0,0.78333336,0.33333334,0.49107143,0.18018018,0.80701756,0.78333336,0.3611111,0.0,0.0,0.87826085,0.87826085,0.43636364,0.17431192,0.7583333,0.78333336,0.0,0.78333336,0.0,0.7583333,0.0,0.80701756,0.43636364
gym_D1.wKJ_Water_Intake (liters),0.35955057,0.0,0.60683763,0.24752475,0.42424244,0.17977528,0.682243,0.553719,0.32967034,0.0125,0.0,0.6666667,0.6666667,0.375,0.1590909,0.5948276,0.553719,0.0,0.553719,0.0,0.5948276,0.0,0.682243,0.375
gym_D2.He(m,0.12790698,0.0,0.4774775,0.5692308,0.21875,0.42105263,0.5145631,0.41379312,0.27631578,0.0,0.0,0.46902654,0.46902654,0.2,0.39285713,0.47706422,0.41379312,0.0,0.41379312,0.0,0.47706422,0.0,0.5145631,0.2
gym_D2.Avg_BPM,0.70689654,0.0,0.394958,0.15555556,0.859375,0.31746033,0.46296296,0.4954955,0.20731707,0.0,0.0,0.46086955,0.46086955,1.0,0.33333334,0.38135594,0.4954955,0.0,0.4954955,0.0,0.38135594,0.0,0.46296296,1.0
gym_D2.T7Q_Calories_Burned,0.3963964,0.0,0.85,0.44144145,0.5765766,0.25225225,0.78333336,1.0,0.28099173,0.0,0.0,0.8666667,0.8666667,0.4954955,0.22522523,0.825,1.0,0.0,1.0,0.0,0.825,0.0,0.78333336,0.4954955
gym_D2.Workout_Type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym_D3.Age,0.95454544,0.0,0.275,0.04597701,0.63076925,0.16666667,0.35514018,0.3783784,0.1780822,0.0,0.0,0.35964912,0.35964912,0.7017544,0.1754386,0.26050422,0.3783784,0.0,0.3783784,0.0,0.26050422,0.0,0.35514018,0.7017544
gym_D3.G.,0.0,0.08108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652,0.0,0.08695652,0.0,0.0,0.0,0.0
gym_D3.Weight (kg),0.33613446,0.0,0.94827586,0.4017094,0.5042017,0.24347825,0.8319328,0.8833333,0.37068966,0.0,0.0,0.9,0.9,0.44067797,0.2173913,0.9391304,0.8833333,0.0,0.8833333,0.0,0.9391304,0.0,0.8319328,0.44067797
