Source\Target,gym_B1.56,gym_B1.Male,gym_B1.88.3,gym_B1.180,gym_B1.157,gym_B1.60,gym_B1.1.69,gym_B1.1313.0,gym_B1.2.25,gym_B1.4,gym_B1.3,gym_B1.30.2,gym_C1.Kx2HyaGxl,gym_C1.Avg_BPM,gym_C1.Resting_BPM,gym_C1.Weight (kg),gym_C1.Verbrannte Kalorien ,gym_C1.G.,gym_C2.Calories_Burned,gym_C2.Gender,gym_C2.Weight (kg),gym_C2.go through horizontal surface,gym_C2.8w_Session_Duration (hours),gym_C2.A.B.
gym_A1.Height (m),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100000024,0.090909064,0.72727275,0.14999998,0.0,0.06666666,0.100000024,0.72727275,0.13793105,0.22222221,0.0
gym_A1.Avg_BPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454544,0.090909064,0.0,0.0,0.13333333,0.0,0.090909064,0.034482777,0.037037015,0.28571427
gym_A1.Session_Duration (hours);Resting_BPM,0.0,0.055555582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777791,0.1388889,0.30555558,0.16666669,0.19444442,0.0,0.16666669,0.08333331,0.16666669,0.1388889,0.5833334,0.027777791
gym_A1.Calories_Burned,0.0,0.19999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333,0.19999999,0.06666666,0.19999999,0.0,1.0,0.13333333,0.06666666,0.17241377,0.1851852,0.06666666
gym_A1.Workout_Type,0.0,0.08333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333331,0.08333331,0.16666669,0.14999998,0.0,0.19999999,0.0,0.16666669,0.17241377,0.111111104,0.0
gym_A1.Fat_Percentage,0.0,0.14285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714286,0.0714286,0.0714286,0.14999998,0.0,0.13333333,0.14285713,0.0714286,0.20689654,0.111111104,0.0
gym_A1.BMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285713,0.090909064,0.0,0.0,0.0,0.06666666,0.0,0.0,0.0,0.0,0.0
gym_D1.Ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28571427,0.090909064,0.090909064,0.0,0.0,0.0,0.0,0.090909064,0.034482777,0.0,0.25
gym_D1.Weight (kg),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909064,0.090909064,1.0,0.14999998,0.0,0.06666666,0.090909064,1.0,0.13793105,0.22222221,0.0
gym_D1.Height (m),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100000024,0.090909064,0.72727275,0.14999998,0.0,0.06666666,0.100000024,0.72727275,0.13793105,0.22222221,0.0
