Source\Target,mental_B1.Employee_ID,mental_B1.Age,mental_B1.Gender,mental_B1.Job_Role,mental_B1.Industry,mental_B1.Years_of_Experience,mental_B1.Work_Location,mental_B1.Hours_Worked_Per_Week,mental_B1.Number_of_Virtual_Meetings,mental_B1.Work_Life_Balance_Rating,mental_B1.Stress_Level,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Productivity_Change,mental_B1.Social_Isolation_Rating,mental_B1.Satisfaction_with_Remote_Work,mental_B1.Company_Support_for_Remote_Work,mental_B1.Physical_Activity,mental_B1.Sleep_Quality,mental_B1.Region
mental_A1.Employee_ID,1.0,0.0078,8.0E-4,0.0014,0.0014,0.007,6.0E-4,0.0082,0.0032,0.001,6.0E-4,4.0E-4,6.0E-4,0.001,6.0E-4,0.001,6.0E-4,6.0E-4,0.0012
mental_A1.Age,0.0078,1.0,0.102564104,0.17948718,0.17948718,0.8974359,0.07692308,0.9512195,0.41025642,0.12820514,0.07692308,0.051282052,0.07692308,0.12820514,0.07692308,0.12820514,0.07692308,0.07692308,0.15384616
mental_A1.Job_Role,0.0014,0.17948718,0.5714286,1.0,1.0,0.2,0.42857143,0.17073171,0.4375,0.71428573,0.42857143,0.2857143,0.42857143,0.71428573,0.42857143,0.71428573,0.42857143,0.42857143,0.85714287
mental_A1.Industry,0.0014,0.17948718,0.5714286,1.0,1.0,0.2,0.42857143,0.17073171,0.4375,0.71428573,0.42857143,0.2857143,0.42857143,0.71428573,0.42857143,0.71428573,0.42857143,0.42857143,0.85714287
mental_A1.Years_of_Experience,0.007,0.8974359,0.114285715,0.2,0.2,1.0,0.08571429,0.85365856,0.45714286,0.14285715,0.08571429,0.057142857,0.08571429,0.14285715,0.08571429,0.14285715,0.08571429,0.08571429,0.17142858
mental_A1.Work_Location,6.0E-4,0.07692308,0.75,0.42857143,0.42857143,0.08571429,1.0,0.07317073,0.1875,0.6,1.0,0.6666667,1.0,0.6,1.0,0.6,1.0,1.0,0.5
mental_A1.Hours_Worked_Per_Week,0.0082,0.9512195,0.09756097,0.17073171,0.17073171,0.85365856,0.07317073,1.0,0.3902439,0.12195122,0.07317073,0.048780486,0.07317073,0.12195122,0.07317073,0.12195122,0.07317073,0.07317073,0.14634146
mental_A1.Number_of_Virtual_Meetings,0.0032,0.41025642,0.25,0.4375,0.4375,0.45714286,0.1875,0.3902439,1.0,0.3125,0.1875,0.125,0.1875,0.3125,0.1875,0.3125,0.1875,0.1875,0.375
mental_A1.Work_Life_Balance_Rating,0.001,0.12820514,0.8,0.71428573,0.71428573,0.14285715,0.6,0.12195122,0.3125,1.0,0.6,0.4,0.6,1.0,0.6,1.0,0.6,0.6,0.8333333
mental_A1.Stress_Level,6.0E-4,0.07692308,0.75,0.42857143,0.42857143,0.08571429,1.0,0.07317073,0.1875,0.6,1.0,0.6666667,1.0,0.6,1.0,0.6,1.0,1.0,0.5
mental_A1.Mental_Health_Condition,8.0E-4,0.102564104,1.0,0.5714286,0.5714286,0.114285715,0.75,0.09756097,0.25,0.8,0.75,0.5,0.75,0.8,0.75,0.8,0.75,0.75,0.6666667
mental_A1.Access_to_Mental_Health_Resources,4.0E-4,0.051282052,0.5,0.2857143,0.2857143,0.057142857,0.6666667,0.048780486,0.125,0.4,0.6666667,1.0,0.6666667,0.4,0.6666667,0.4,0.6666667,0.6666667,0.33333334
mental_A1.Productivity_Change,6.0E-4,0.07692308,0.75,0.42857143,0.42857143,0.08571429,1.0,0.07317073,0.1875,0.6,1.0,0.6666667,1.0,0.6,1.0,0.6,1.0,1.0,0.5
mental_A1.Social_Isolation_Rating,0.001,0.12820514,0.8,0.71428573,0.71428573,0.14285715,0.6,0.12195122,0.3125,1.0,0.6,0.4,0.6,1.0,0.6,1.0,0.6,0.6,0.8333333
mental_A1.Satisfaction_with_Remote_Work,6.0E-4,0.07692308,0.75,0.42857143,0.42857143,0.08571429,1.0,0.07317073,0.1875,0.6,1.0,0.6666667,1.0,0.6,1.0,0.6,1.0,1.0,0.5
mental_A1.Company_Support_for_Remote_Work,0.001,0.12820514,0.8,0.71428573,0.71428573,0.14285715,0.6,0.12195122,0.3125,1.0,0.6,0.4,0.6,1.0,0.6,1.0,0.6,0.6,0.8333333
mental_A1.Physical_Activity,6.0E-4,0.07692308,0.75,0.42857143,0.42857143,0.08571429,1.0,0.07317073,0.1875,0.6,1.0,0.6666667,1.0,0.6,1.0,0.6,1.0,1.0,0.5
mental_A1.Sleep_Quality,6.0E-4,0.07692308,0.75,0.42857143,0.42857143,0.08571429,1.0,0.07317073,0.1875,0.6,1.0,0.6666667,1.0,0.6,1.0,0.6,1.0,1.0,0.5
mental_A1.Region,0.0012,0.15384616,0.6666667,0.85714287,0.85714287,0.17142858,0.5,0.14634146,0.375,0.8333333,0.5,0.33333334,0.5,0.8333333,0.5,0.8333333,0.5,0.5,1.0
