Source\Target,mental_B1.Employee_ID,mental_B1.Age,mental_B1.Gender,mental_B1.Job_Role,mental_B1.Industry,mental_B1.Years_of_Experience,mental_B1.Work_Location,mental_B1.Hours_Worked_Per_Week,mental_B1.Number_of_Virtual_Meetings,mental_B1.Work_Life_Balance_Rating,mental_B1.Stress_Level,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Productivity_Change,mental_B1.Social_Isolation_Rating,mental_B1.Satisfaction_with_Remote_Work,mental_B1.Company_Support_for_Remote_Work,mental_B1.Physical_Activity,mental_B1.Sleep_Quality,mental_B1.Region
mental_A1.Employee_ID,1.0,0.3611111,0.0,0.0,0.0,0.22222222,0.0,0.37962964,0.050847456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental_A1.Age,0.3611111,1.0,0.0,0.0,0.0,0.23333333,0.0,0.9512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental_A1.Job_Role,0.0,0.0,0.13333334,1.0,0.15662651,0.0,0.014925373,0.0,0.0,0.0,0.015873017,0.017857144,0.092307694,0.0,0.092307694,0.0,0.048387095,0.048387095,0.06329114
mental_A1.Industry,0.0,0.0,0.10606061,0.15662651,1.0,0.0,0.056603774,0.0,0.0,0.0,0.0,0.0,0.09259259,0.0,0.07272727,0.0,0.06,0.0,0.10769231
mental_A1.Years_of_Experience,0.22222222,0.23333333,0.0,0.0,0.0,1.0,0.0,0.26666668,0.41666666,0.14285715,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.0,0.0,0.0
mental_A1.Work_Location,0.0,0.0,0.046511628,0.014925373,0.056603774,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333335,0.0,0.0,0.0,0.04761905
mental_A1.Hours_Worked_Per_Week,0.37962964,0.9512195,0.0,0.0,0.0,0.26666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental_A1.Number_of_Virtual_Meetings,0.050847456,0.0,0.0,0.0,0.0,0.41666666,0.0,0.0,1.0,0.3125,0.0,0.0,0.0,0.3125,0.0,0.3125,0.0,0.0,0.0
mental_A1.Work_Life_Balance_Rating,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.3125,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
mental_A1.Stress_Level,0.0,0.0,0.0,0.015873017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03846154,0.0,0.0,0.0,0.0
mental_A1.Mental_Health_Condition,0.0,0.0,0.08,0.1,0.083333336,0.0,0.027777778,0.0,0.0,0.0,0.0,0.083333336,0.08108108,0.0,0.05263158,0.0,0.09677419,0.0,0.104166664
mental_A1.Access_to_Mental_Health_Resources,0.0,0.0,0.030303031,0.017857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263158,0.0,0.0,0.0,0.07692308,0.0,0.03125
mental_A1.Productivity_Change,0.0,0.0,0.06666667,0.092307694,0.09259259,0.0,0.0,0.0,0.0,0.0,0.0,0.05263158,1.0,0.0,0.0,0.0,0.037037037,0.037037037,0.06818182
mental_A1.Social_Isolation_Rating,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.3125,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
mental_A1.Satisfaction_with_Remote_Work,0.0,0.0,0.04347826,0.092307694,0.07272727,0.0,0.033333335,0.0,0.0,0.0,0.03846154,0.0,0.0,0.0,1.0,0.0,0.0,0.037037037,0.02173913
mental_A1.Company_Support_for_Remote_Work,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.3125,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
mental_A1.Physical_Activity,0.0,0.0,0.05,0.048387095,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07692308,0.037037037,0.0,0.0,0.0,1.0,0.0,0.025
mental_A1.Sleep_Quality,0.0,0.0,0.024390243,0.048387095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037,0.0,0.037037037,0.0,0.0,1.0,0.051282052
mental_A1.Region,0.0,0.0,0.033898305,0.06329114,0.10769231,0.0,0.04761905,0.0,0.0,0.0,0.0,0.03125,0.06818182,0.0,0.02173913,0.0,0.025,0.051282052,1.0
