Source\Target,mental_B1.Employee_ID,mental_B1.Age,mental_B1.Gender,mental_B1.Job_Role,mental_B1.Industry,mental_B1.Work_Location,mental_B1.Number_of_Virtual_Meetings,mental_B1.Work_Life_Balance_Rating,mental_B1.Stress_Level,mental_B1.Mental_Health_Condition,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Satisfaction_with_Remote_Work,mental_B1.Company_Support_for_Remote_Work,mental_B1.Physical_Activity,mental_B1.Sleep_Quality
mental_A1.Employee_ID,1.0,0.75454545,0.0,0.0031347962,0.0,0.0,0.050847456,0.008333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental_A1.Age,0.3611111,0.45882353,0.0,0.001754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental_A1.G.,0.0,0.0,1.0,0.03874539,0.10606061,0.046511628,0.0,0.0,0.0,0.08,0.011764706,0.04347826,0.0,0.05,0.024390243
mental_A1.Job_Role,0.0,0.0,0.13333334,0.10150376,0.15662651,0.014925373,0.0,0.0,0.015873017,0.1,0.028301887,0.092307694,0.0,0.048387095,0.048387095
mental_A1.Years_of_Experience,0.22222222,0.29032257,0.0,0.0017667845,0.0,0.0,0.41666666,0.2631579,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0
mental_A1.Work_Location,0.014184397,0.012468828,0.020289855,0.063591026,0.02253521,0.043613706,0.0,0.0,0.003030303,0.0147492625,0.013477089,0.0089552235,0.0,0.006060606,0.006060606
mental_A1.Hours_Worked_Per_Week,0.37962964,0.48235294,0.0,0.0017482517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental_A1.Work_Life_Balance_Rating,0.00862069,0.032967035,0.0,0.0,0.0,0.0,0.5625,0.6923077,0.0,0.0,0.0,0.0,0.5555556,0.0,0.0
mental_A1.Stress_Level,0.0,0.0,0.0,0.009310987,0.0,0.0,0.0,0.0,1.0,0.0,0.015625,0.03846154,0.0,0.0,0.0
mental_A1.Mental_Health_Condition,0.0,0.0,0.08,0.02398524,0.083333336,0.027777778,0.0,0.0,0.0,1.0,0.04,0.05263158,0.0,0.09677419,0.0
mental_A1.E5bz_Access_to_Mental_Health_Resources,0.02096436,0.01754386,0.014851485,0.0630105,0.016908212,0.0051150895,0.002538071,0.0025575447,0.005167959,0.007518797,0.03087886,0.007633588,0.0,0.005154639,0.007751938
mental_A1.Productivity_Change,0.0,0.0,0.06666667,0.022346368,0.09259259,0.0,0.0,0.0,0.0,0.08108108,0.05882353,0.0,0.0,0.037037037,0.037037037
mental_A1.Social_Isolation_Rating,0.0,0.011235955,0.0,0.0,0.0,0.0,0.3125,0.3846154,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mental_A1.Zufriedenheit_mit_Remote_Arbeit,0.027093597,0.018087855,0.014925373,0.074074075,0.023323616,0.012539185,0.0061919503,0.0031152647,0.003144654,0.01529052,0.025352113,0.055016182,0.0,0.009463723,0.006289308
mental_A1.myHt,0.0,0.0,0.05,0.013059702,0.06,0.0,0.0,0.0,0.0,0.09677419,0.03125,0.0,0.0,1.0,0.0
mental_A1.Region,0.0,0.0,0.033898305,0.02930403,0.10769231,0.04761905,0.0,0.0,0.0,0.104166664,0.024096385,0.02173913,0.0,0.025,0.051282052
