Source\Target,mental_B1.Employee_ID,mental_B1.Age,mental_B1.Gender,mental_B1.Job_Role,mental_B1.Industry,mental_B1.Work_Location,mental_B1.Number_of_Virtual_Meetings,mental_B1.Work_Life_Balance_Rating,mental_B1.Stress_Level,mental_B1.Mental_Health_Condition,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Satisfaction_with_Remote_Work,mental_B1.Company_Support_for_Remote_Work,mental_B1.Physical_Activity,mental_B1.Sleep_Quality
mental_A1.Employee_ID,1.0,0.090909064,0.090909064,0.090909064,0.0,0.07692307,0.15384614,0.125,0.08333331,0.13043481,0.121212125,0.13793105,0.19354838,0.058823526,0.07692307
mental_A1.Age,0.090909064,1.0,0.16666669,0.125,0.0,0.0,0.038461566,0.041666687,0.08333331,0.04347825,0.060606062,0.034482777,0.032258093,0.058823526,0.07692307
mental_A1.G.,0.0,0.0,0.16666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental_A1.Job_Role,0.090909064,0.125,0.0,1.0,0.0,0.23076922,0.15384614,0.16666669,0.16666669,0.0869565,0.15151513,0.17241377,0.16129035,0.058823526,0.15384614
mental_A1.Years_of_Experience,0.15789473,0.052631557,0.15789473,0.15789473,0.10526317,0.21052629,0.23076922,0.16666669,0.21052629,0.13043481,0.21212119,0.17241377,0.19354838,0.10526317,0.10526317
mental_A1.Work_Location,0.07692307,0.0,0.0,0.23076922,0.07692307,1.0,0.19230771,0.4166667,0.07692307,0.26086956,0.15151513,0.13793105,0.19354838,0.11764705,0.15384614
mental_A1.Hours_Worked_Per_Week,0.19047618,0.047619045,0.14285713,0.19047618,0.09523809,0.23809522,0.19230771,0.125,0.19047618,0.0869565,0.27272725,0.24137932,0.32258064,0.09523809,0.09523809
mental_A1.Work_Life_Balance_Rating,0.125,0.041666687,0.125,0.16666669,0.08333331,0.4166667,0.23076922,1.0,0.125,0.16666669,0.21212119,0.10344827,0.12903225,0.20833331,0.125
mental_A1.Stress_Level,0.08333331,0.08333331,0.16666669,0.16666669,0.08333331,0.07692307,0.11538464,0.125,1.0,0.13043481,0.21212119,0.17241377,0.16129035,0.11764705,0.15384614
mental_A1.Mental_Health_Condition,0.13043481,0.04347825,0.13043481,0.0869565,0.0869565,0.26086956,0.15384614,0.16666669,0.13043481,1.0,0.42424244,0.17241377,0.19354838,0.21739131,0.21739131
mental_A1.E5bz_Access_to_Mental_Health_Resources,0.13157892,0.052631557,0.10526317,0.13157892,0.078947365,0.13157892,0.2368421,0.21052629,0.18421054,0.36842108,0.8684211,0.2368421,0.18421054,0.13157892,0.13157892
mental_A1.Productivity_Change,0.052631557,0.10526317,0.052631557,0.15789473,0.21052629,0.15789473,0.19230771,0.125,0.10526317,0.13043481,0.15151513,0.24137932,0.09677422,0.15789473,0.10526317
mental_A1.Social_Isolation_Rating,0.13043481,0.0,0.04347825,0.17391306,0.13043481,0.34782606,0.26923078,0.4166667,0.13043481,0.3043478,0.15151513,0.24137932,0.2580645,0.21739131,0.21739131
mental_A1.Zufriedenheit_mit_Remote_Arbeit,0.12903225,0.06451613,0.12903225,0.12903225,0.09677422,0.12903225,0.16129035,0.16129035,0.16129035,0.19354838,0.18181819,0.35483873,0.2580645,0.12903225,0.12903225
mental_A1.myHt,0.18181819,0.0,0.0,0.0,0.125,0.07692307,0.07692307,0.041666687,0.0,0.0869565,0.060606062,0.034482777,0.09677422,0.11764705,0.07692307
mental_A1.Region,0.090909064,0.16666669,0.16666669,0.125,0.0,0.23076922,0.11538464,0.08333331,0.08333331,0.17391306,0.090909064,0.10344827,0.09677422,0.058823526,0.15384614
