Source\Target,mental_B1.vX7Wu,mental_B1.Stress_Level,mental_B1.Hours_Worked_Per_Week,mental_B1.Job_Role,mental_B1.industriousness,mental_B1.Employee_ID,mental_B1.Social_Isolation_Rating,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Age,mental_B1.Physical_Activity,mental_B1.Years_of_Experience,mental_B2.keep company financial backing  remote control do work,mental_B2.DHIHOrvRCC,mental_B2.Stress_Level,mental_B2.Sleep_Quality,mental_B2.Hours_Worked_Per_Week,mental_B2.Age,mental_B2.Social_Isolation_Rating,mental_B2.Years_of_Experience,mental_B2.Job_Role,mental_B2.1f,mental_B2.Access_to_Mental_Health_Resources,mental_B2.Physical_Activity,mental_B2.do work situating
mental_A1.Hours_Worked_Per_Week,0.18181819,0.045454547,0.6212121,0.10606061,0.10606061,0.0132,0.07575758,0.030303031,0.59090906,0.045454547,0.530303,0.1969697,0.09090909,0.045454547,0.045454547,0.6212121,0.59090906,0.07575758,0.530303,0.10606061,0.15827338,0.030303031,0.045454547,0.2082019
mental_A1.Company_Support_for_Remote_Work,0.75,0.33333334,0.2195122,0.7777778,0.7777778,0.0018,0.5555556,0.22222222,0.23076923,0.33333334,0.25714287,0.6923077,0.6666667,0.33333334,0.33333334,0.2195122,0.23076923,0.5555556,0.25714287,0.7777778,0.021582734,0.22222222,0.33333334,0.028391168
mental_A1.Age,0.30769232,0.07692308,0.9512195,0.17948718,0.17948718,0.0078,0.12820514,0.051282052,1.0,0.07692308,0.8974359,0.33333334,0.15384616,0.07692308,0.07692308,0.9512195,1.0,0.12820514,0.8974359,0.17948718,0.09352518,0.051282052,0.07692308,0.12302839
mental_A1.Employee_ID,0.0024595205,6.148801E-4,0.008403362,0.0014347202,0.0014347202,0.9758,0.0010248001,4.0992006E-4,0.007993441,6.148801E-4,0.007173601,0.0026644804,0.0012297602,6.148801E-4,6.148801E-4,0.008403362,0.007993441,0.0010248001,0.007173601,0.0014347202,0.08546834,4.0992006E-4,6.148801E-4,0.06497233
mental_A1.Social_Isolation_Rating,0.75,0.33333334,0.2195122,0.7777778,0.7777778,0.0018,0.5555556,0.22222222,0.23076923,0.33333334,0.25714287,0.6923077,0.6666667,0.33333334,0.33333334,0.2195122,0.23076923,0.5555556,0.25714287,0.7777778,0.021582734,0.22222222,0.33333334,0.028391168
mental_A1.tenseness horizontal surface,0.06521739,0.016304348,0.2228261,0.038043477,0.038043477,0.0368,0.027173912,0.010869565,0.21195652,0.016304348,0.19021739,0.07065217,0.032608695,0.016304348,0.016304348,0.2228261,0.21195652,0.027173912,0.19021739,0.038043477,0.44124702,0.010869565,0.016304348,0.58044165
mental_A1.Gender,0.33333334,0.75,0.09756097,0.5714286,0.5714286,8.0E-4,0.8,0.5,0.102564104,0.75,0.114285715,0.30769232,0.6666667,0.75,0.75,0.09756097,0.102564104,0.8,0.114285715,0.5714286,0.009592326,0.5,0.75,0.012618297
mental_A1.Industry,0.048387095,0.012096774,0.16532259,0.028225806,0.028225806,0.0496,0.02016129,0.008064516,0.15725806,0.012096774,0.14112903,0.052419353,0.024193548,0.012096774,0.012096774,0.16532259,0.15725806,0.02016129,0.14112903,0.028225806,0.59472424,0.008064516,0.012096774,0.7823344
mental_A1.Number_of_Virtual_Meetings,0.75,0.1875,0.3902439,0.4375,0.4375,0.0032,0.3125,0.125,0.41025642,0.1875,0.45714286,0.8125,0.375,0.1875,0.1875,0.3902439,0.41025642,0.3125,0.45714286,0.4375,0.038369305,0.125,0.1875,0.050473187
mental_A1.Work_Life_Balance_Rating,0.41666666,0.6,0.12195122,0.71428573,0.71428573,0.001,1.0,0.4,0.12820514,0.6,0.14285715,0.3846154,0.8333333,0.6,0.6,0.12195122,0.12820514,1.0,0.14285715,0.71428573,0.0119904075,0.4,0.6,0.01577287
mental_A2.Work_Life_Balance_Rating,0.41666666,0.6,0.12195122,0.71428573,0.71428573,0.001,1.0,0.4,0.12820514,0.6,0.14285715,0.3846154,0.8333333,0.6,0.6,0.12195122,0.12820514,1.0,0.14285715,0.71428573,0.0119904075,0.4,0.6,0.01577287
mental_A2.Industry,0.04918033,0.012295082,0.16803278,0.028688524,0.028688524,0.0488,0.020491803,0.008196721,0.15983607,0.012295082,0.14344262,0.05327869,0.024590164,0.012295082,0.012295082,0.16803278,0.15983607,0.020491803,0.14344262,0.028688524,0.5851319,0.008196721,0.012295082,0.7697161
mental_A2.Gender,0.33333334,0.75,0.09756097,0.5714286,0.5714286,8.0E-4,0.8,0.5,0.102564104,0.75,0.114285715,0.30769232,0.6666667,0.75,0.75,0.09756097,0.102564104,0.8,0.114285715,0.5714286,0.009592326,0.5,0.75,0.012618297
mental_A2.Hours_Worked_Per_Week,0.18181819,0.045454547,0.6212121,0.10606061,0.10606061,0.0132,0.07575758,0.030303031,0.59090906,0.045454547,0.530303,0.1969697,0.09090909,0.045454547,0.045454547,0.6212121,0.59090906,0.07575758,0.530303,0.10606061,0.15827338,0.030303031,0.045454547,0.2082019
mental_A2.Company_Support_for_Remote_Work,0.75,0.33333334,0.2195122,0.7777778,0.7777778,0.0018,0.5555556,0.22222222,0.23076923,0.33333334,0.25714287,0.6923077,0.6666667,0.33333334,0.33333334,0.2195122,0.23076923,0.5555556,0.25714287,0.7777778,0.021582734,0.22222222,0.33333334,0.028391168
mental_A2.Satisfaction_with_Remote_Work,0.25,1.0,0.07317073,0.42857143,0.42857143,6.0E-4,0.6,0.6666667,0.07692308,1.0,0.08571429,0.23076923,0.5,1.0,1.0,0.07317073,0.07692308,0.6,0.08571429,0.42857143,0.007194245,0.6666667,1.0,0.009463723
mental_A2.Social_Isolation_Rating,0.75,0.33333334,0.2195122,0.7777778,0.7777778,0.0018,0.5555556,0.22222222,0.23076923,0.33333334,0.25714287,0.6923077,0.6666667,0.33333334,0.33333334,0.2195122,0.23076923,0.5555556,0.25714287,0.7777778,0.021582734,0.22222222,0.33333334,0.028391168
mental_A2.Age,0.19354838,0.048387095,0.66129035,0.11290322,0.11290322,0.0124,0.08064516,0.032258064,0.62903225,0.048387095,0.5645161,0.20967741,0.09677419,0.048387095,0.048387095,0.66129035,0.62903225,0.08064516,0.5645161,0.11290322,0.14868106,0.032258064,0.048387095,0.1955836
mental_A3.Gender,0.33333334,0.75,0.09756097,0.5714286,0.5714286,8.0E-4,0.8,0.5,0.102564104,0.75,0.114285715,0.30769232,0.6666667,0.75,0.75,0.09756097,0.102564104,0.8,0.114285715,0.5714286,0.009592326,0.5,0.75,0.012618297
mental_A3.Social_Isolation_Rating,0.75,0.33333334,0.2195122,0.7777778,0.7777778,0.0018,0.5555556,0.22222222,0.23076923,0.33333334,0.25714287,0.6923077,0.6666667,0.33333334,0.33333334,0.2195122,0.23076923,0.5555556,0.25714287,0.7777778,0.021582734,0.22222222,0.33333334,0.028391168
mental_A3.Mental_Health_Condition,0.33333334,0.75,0.09756097,0.5714286,0.5714286,8.0E-4,0.8,0.5,0.102564104,0.75,0.114285715,0.30769232,0.6666667,0.75,0.75,0.09756097,0.102564104,0.8,0.114285715,0.5714286,0.009592326,0.5,0.75,0.012618297
mental_A3.Industry,0.046692606,0.0116731515,0.15953307,0.027237354,0.027237354,0.0514,0.019455252,0.007782101,0.15175097,0.0116731515,0.13618676,0.050583657,0.023346303,0.0116731515,0.0116731515,0.15953307,0.15175097,0.019455252,0.13618676,0.027237354,0.61630696,0.007782101,0.0116731515,0.81072557
mental_A3.Work_Life_Balance_Rating,0.41666666,0.6,0.12195122,0.71428573,0.71428573,0.001,1.0,0.4,0.12820514,0.6,0.14285715,0.3846154,0.8333333,0.6,0.6,0.12195122,0.12820514,1.0,0.14285715,0.71428573,0.0119904075,0.4,0.6,0.01577287
mental_A3.Company_Support_for_Remote_Work,0.75,0.33333334,0.2195122,0.7777778,0.7777778,0.0018,0.5555556,0.22222222,0.23076923,0.33333334,0.25714287,0.6923077,0.6666667,0.33333334,0.33333334,0.2195122,0.23076923,0.5555556,0.25714287,0.7777778,0.021582734,0.22222222,0.33333334,0.028391168
mental_A3.Age,0.19354838,0.048387095,0.66129035,0.11290322,0.11290322,0.0124,0.08064516,0.032258064,0.62903225,0.048387095,0.5645161,0.20967741,0.09677419,0.048387095,0.048387095,0.66129035,0.62903225,0.08064516,0.5645161,0.11290322,0.14868106,0.032258064,0.048387095,0.1955836
mental_A3.Stress_Level,0.074074075,0.018518519,0.25308642,0.043209877,0.043209877,0.0324,0.030864198,0.012345679,0.24074075,0.018518519,0.21604939,0.08024691,0.037037037,0.018518519,0.018518519,0.25308642,0.24074075,0.030864198,0.21604939,0.043209877,0.38848922,0.012345679,0.018518519,0.511041
mental_A3.Number_of_Virtual_Meetings,0.75,0.1875,0.3902439,0.4375,0.4375,0.0032,0.3125,0.125,0.41025642,0.1875,0.45714286,0.8125,0.375,0.1875,0.1875,0.3902439,0.41025642,0.3125,0.45714286,0.4375,0.038369305,0.125,0.1875,0.050473187
mental_A4.4kLUm6dYdq,0.047058824,0.011764706,0.16078432,0.02745098,0.02745098,0.051,0.019607844,0.007843138,0.15294118,0.011764706,0.13725491,0.050980393,0.023529412,0.011764706,0.011764706,0.16078432,0.15294118,0.019607844,0.13725491,0.02745098,0.6115108,0.007843138,0.011764706,0.8044164
mental_A4.BELASTUNG STUFEI,0.07594936,0.01898734,0.25949368,0.044303797,0.044303797,0.0316,0.03164557,0.012658228,0.24683544,0.01898734,0.221519,0.08227848,0.03797468,0.01898734,0.01898734,0.25949368,0.24683544,0.03164557,0.221519,0.044303797,0.3788969,0.012658228,0.01898734,0.4984227
mental_A4.Productivity_Change,0.25,1.0,0.07317073,0.42857143,0.42857143,6.0E-4,0.6,0.6666667,0.07692308,1.0,0.08571429,0.23076923,0.5,1.0,1.0,0.07317073,0.07692308,0.6,0.08571429,0.42857143,0.007194245,0.6666667,1.0,0.009463723
mental_A4.Gender,0.33333334,0.75,0.09756097,0.5714286,0.5714286,8.0E-4,0.8,0.5,0.102564104,0.75,0.114285715,0.30769232,0.6666667,0.75,0.75,0.09756097,0.102564104,0.8,0.114285715,0.5714286,0.009592326,0.5,0.75,0.012618297
mental_A4.neighborhood,0.049382716,0.012345679,0.16872428,0.028806584,0.028806584,0.0486,0.020576132,0.008230452,0.16049382,0.012345679,0.14403293,0.053497944,0.024691358,0.012345679,0.012345679,0.16872428,0.16049382,0.020576132,0.14403293,0.028806584,0.5827338,0.008230452,0.012345679,0.7665615
mental_A4.Number_of_Virtual_Meetings,0.75,0.1875,0.3902439,0.4375,0.4375,0.0032,0.3125,0.125,0.41025642,0.1875,0.45714286,0.8125,0.375,0.1875,0.1875,0.3902439,0.41025642,0.3125,0.45714286,0.4375,0.038369305,0.125,0.1875,0.050473187
mental_A4.Work_Location,0.06936416,0.01734104,0.23699422,0.040462427,0.040462427,0.0346,0.028901733,0.011560693,0.22543353,0.01734104,0.20231214,0.07514451,0.03468208,0.01734104,0.01734104,0.23699422,0.22543353,0.028901733,0.20231214,0.040462427,0.41486812,0.011560693,0.01734104,0.5457413
mental_A4.Hours_Worked_Per_Week,0.18181819,0.045454547,0.6212121,0.10606061,0.10606061,0.0132,0.07575758,0.030303031,0.59090906,0.045454547,0.530303,0.1969697,0.09090909,0.045454547,0.045454547,0.6212121,0.59090906,0.07575758,0.530303,0.10606061,0.15827338,0.030303031,0.045454547,0.2082019
mental_A4.Company_Support_for_Remote_Work,0.75,0.33333334,0.2195122,0.7777778,0.7777778,0.0018,0.5555556,0.22222222,0.23076923,0.33333334,0.25714287,0.6923077,0.6666667,0.33333334,0.33333334,0.2195122,0.23076923,0.5555556,0.25714287,0.7777778,0.021582734,0.22222222,0.33333334,0.028391168
mental_A4.Age,0.30769232,0.07692308,0.9512195,0.17948718,0.17948718,0.0078,0.12820514,0.051282052,1.0,0.07692308,0.8974359,0.33333334,0.15384616,0.07692308,0.07692308,0.9512195,1.0,0.12820514,0.8974359,0.17948718,0.09352518,0.051282052,0.07692308,0.12302839
mental_A4.Work_Life_Balance_Rating,0.41666666,0.6,0.12195122,0.71428573,0.71428573,0.001,1.0,0.4,0.12820514,0.6,0.14285715,0.3846154,0.8333333,0.6,0.6,0.12195122,0.12820514,1.0,0.14285715,0.71428573,0.0119904075,0.4,0.6,0.01577287
mental_A4.Zugang zu Ressourcen für psychische Gesundheit,0.056074765,0.014018691,0.19158879,0.03271028,0.03271028,0.0428,0.023364486,0.009345794,0.18224299,0.014018691,0.1635514,0.060747664,0.028037382,0.014018691,0.014018691,0.19158879,0.18224299,0.023364486,0.1635514,0.03271028,0.51318944,0.009345794,0.014018691,0.67507887
