Age,Weight (kg),Fat_Percentage
32,68.1,33.4
25,53.2,28.8
38,46.1,29.2
40,69.7,30.6
28,121.7,28.9
28,101.8,29.7
53,51.7,23.6
57,112.5,22.1
39,42.5,26.2
41,43.8,31.9
47,66.8,32.8
55,75.2,25.2
50,71.0,33.1
39,64.3,26.9
44,65.2,27.2
32,108.2,28.4
20,65.4,28.0
24,58.9,31.7
38,81.4,10.2
26,127.6,27.3
56,59.3,33.4
35,96.9,24.2
42,45.5,21.7
31,48.8,28.2
26,44.3,34.7
43,113.2,29.9
19,60.5,30.1
24,54.7,22.9
25,88.1,22.7
31,79.7,26.7
34,51.0,30.8
57,122.1,27.4
21,96.7,25.0
19,73.0,27.7
23,114.8,21.7
59,65.5,31.2
21,50.3,32.2
46,61.0,17.8
43,58.2,26.4
27,87.5,12.9
31,64.4,17.3
40,106.5,21.0
57,64.0,15.2
38,61.4,30.6
35,70.1,28.0
41,94.1,23.4
43,55.5,20.1
42,53.7,29.8
46,103.9,20.9
18,52.3,29.4
42,59.5,16.4
24,72.9,30.8
26,76.7,25.6
41,72.1,21.4
25,105.0,21.4
41,55.0,31.4
28,81.6,20.5
34,75.6,29.1
25,81.5,10.9
52,61.5,15.5
50,56.4,34.3
22,102.6,20.5
56,129.0,27.1
45,59.4,33.1
24,60.1,15.9
26,77.7,29.6
25,41.2,28.9
29,58.6,23.4
51,109.3,28.7
50,69.6,25.6
40,56.2,17.6
54,86.0,12.9
52,79.4,26.6
39,55.4,26.3
52,82.4,24.4
31,42.3,25.1
20,82.7,14.6
18,92.4,21.3
22,63.2,29.5
43,82.7,28.2
31,86.6,28.9
44,98.0,25.7
32,78.6,29.6
32,59.0,31.0
59,122.3,20.1
30,85.3,10.4
49,45.2,30.8
56,55.6,29.4
54,86.1,27.9
40,63.5,33.4
56,69.3,26.5
53,94.1,28.6
49,115.3,29.2
39,62.0,27.5
45,88.5,13.2
23,83.1,29.3
37,103.5,26.4
47,61.9,16.4
42,62.9,28.5
56,40.4,30.0
50,67.1,31.8
18,70.0,23.9
44,69.5,27.6
30,107.9,29.5
58,109.0,26.0
56,88.5,11.0
25,43.1,33.6
44,59.1,18.4
54,72.3,27.7
50,51.1,28.0
59,89.4,24.5
32,87.9,11.6
49,42.0,28.8
49,79.2,29.9
58,63.0,17.5
34,56.2,17.3
54,114.9,20.7
18,68.1,25.4
49,40.0,34.3
23,41.9,26.8
49,68.3,29.4
28,66.0,24.1
55,75.6,28.1
41,63.4,15.2
51,57.4,31.6
23,83.8,11.0
28,87.0,28.4
50,45.4,24.1
37,49.1,22.3
53,78.3,33.7
43,48.4,34.1
20,76.4,21.2
36,110.2,26.5
24,58.9,30.1
58,82.2,10.7
50,96.7,25.7
56,107.8,26.6
35,65.8,33.8
18,63.9,16.4
28,76.3,20.1
42,50.7,29.0
47,55.6,24.3
59,86.9,29.8
33,78.5,32.8
43,102.6,27.5
29,55.7,28.7
22,110.5,20.2
49,46.5,22.2
52,45.1,27.5
36,99.9,20.9
37,71.2,29.9
41,78.8,27.3
41,82.5,14.7
28,108.5,24.8
25,49.9,25.7
53,125.1,28.3
55,79.7,27.8
52,63.1,34.8
46,58.9,17.1
35,50.4,29.1
35,64.2,16.6
52,105.2,27.6
33,45.9,29.8
58,65.2,25.4
