Height (m),Avg_BPM,Session_Duration (hours);Resting_BPM,Calories_Burned,Workout_Type,Fat_Percentage,BMI
1.67,138,1.03;71,711.0,Yoga,31.9,14.74
1.79,139,1.41;53,1047.0,HIIT,28.1,24.25
1.72,152,1.08;67,813.0,Yoga,24.5,30.22
1.69,143,0.77;68,545.0,Yoga,27.4,23.14
1.5,147,1.38;58,1025.0,Strength,30.6,20.71
1.88,134,1.19;73,789.0,Yoga,27.2,24.76
1.82,149,1.2;52,983.0,HIIT,23.4,19.47
1.7,138,1.36;66,938.0,Strength,31.9,27.16
1.78,149,1.26;65,929.0,Yoga,24.7,14.87
1.67,152,1.39;74,1009.0,Yoga,27.3,17.46
1.53,124,1.91;66,1066.0,Cardio,16.1,23.79
1.61,165,1.24;61,1013.0,Cardio,22.1,43.4
1.76,158,1.5;50,1304.0,HIIT,29.3,40.1
1.74,130,1.04;71,876.97,Strength,32.9,14.1
1.79,135,1.42;59,958.0,Cardio,27.3,19.63
1.69,156,1.31;60,1012.0,Cardio,23.8,17.72
1.69,152,1.8;63,1231.0,Cardio,15.5,21.53
1.81,138,1.29;60,1107.0,Cardio,25.7,32.51
1.59,123,1.8;52,1107.0,HIIT,17.6,23.77
1.72,169,1.25;74,1056.0,Strength,25.6,24.13
1.69,147,1.48;64,979.0,HIIT,26.0,17.47
1.58,168,0.97;68,733.0,Cardio,31.1,30.96
2.0,161,1.42;71,1257.0,Strength,26.8,15.75
1.67,146,0.82;54,593.0,HIIT,20.5,43.31
1.78,126,1.29;64,805.0,Yoga,27.1,40.71
1.52,150,1.45;60,979.0,Strength,29.4,29.56
1.69,147,1.05;64,772.0,Yoga,29.2,17.16
1.74,158,1.57;67,1364.0,Strength,10.0,28.77
1.76,154,1.67;69,1133.0,Cardio,12.8,27.18
1.86,142,1.37;65,972.0,HIIT,21.2,27.69
1.77,128,1.36;57,957.0,HIIT,27.3,24.35
1.5,141,1.32;58,838.0,HIIT,33.0,23.02
1.67,167,1.37;51,1030.0,HIIT,25.2,26.96
1.67,140,1.46;63,1022.0,Strength,28.1,25.57
1.92,137,1.13;68,1102.49,Yoga,22.4,20.86
1.66,132,1.08;64,832.0,Cardio,29.5,39.16
1.61,164,1.32;70,1082.0,Yoga,27.9,20.06
1.71,157,1.43;64,1123.0,Yoga,25.6,25.41
1.86,158,1.06;71,921.0,Strength,23.6,37.11
1.91,149,1.31;54,1074.0,Strength,23.3,30.37
1.76,131,1.63;74,1497.0,Strength,13.1,25.92
1.64,168,0.99;55,832.0,HIIT,31.0,15.02
1.56,131,1.35;66,1053.0,Yoga,29.3,23.75
1.64,134,0.94;67,693.0,Cardio,25.6,44.1
1.65,129,1.29;61,749.0,Yoga,26.6,16.09
1.63,162,1.35;62,1203.0,Cardio,27.1,36.25
1.73,129,0.83;73,482.0,Strength,25.4,15.07
1.57,151,1.05;67,948.78,HIIT,29.1,21.06
1.78,149,1.27;72,852.0,Cardio,27.7,22.82
1.72,128,1.46;69,925.0,Yoga,29.9,26.77
1.97,146,1.37;51,1100.0,Cardio,23.5,15.8
1.68,144,1.37;63,888.0,Strength,34.1,25.23
1.99,121,1.13;72,752.0,HIIT,25.6,31.26
1.55,121,1.67;58,909.0,Cardio,18.4,23.81
1.62,150,1.3;55,710.21,Strength,20.8,24.23
1.96,169,1.9;62,1766.0,HIIT,10.1,21.45
1.69,149,1.24;68,915.0,Strength,29.5,44.26
1.85,135,1.78;55,1322.0,Strength,14.5,25.01
1.77,156,1.19;74,1021.0,HIIT,26.5,35.18
1.73,140,1.0;72,803.0,Cardio,27.8,31.31
1.75,140,1.2;64,840.0,Cardio,31.0,23.64
1.69,163,1.28;52,1043.0,Strength,33.4,24.96
1.79,138,1.74;68,1321.0,Yoga,12.5,27.59
1.67,134,0.97;72,710.0,Strength,21.3,18.29
1.67,121,1.37;50,1298.87,Strength,35.0,26.1
1.65,142,1.2;61,852.0,Cardio,27.9,22.99
1.68,134,1.46;61,1076.0,Strength,28.2,35.79
1.61,135,1.03;50,806.0,Strength,26.7,29.98
1.95,136,1.94;74,1451.0,Yoga,13.8,21.49
1.92,135,1.2;71,802.0,HIIT,20.7,31.17
1.79,131,1.6;56,943.0,HIIT,17.0,18.23
1.76,131,1.7;54,1102.0,Yoga,11.4,26.08
1.62,132,1.35;51,980.0,Cardio,21.2,29.11
1.58,145,1.87;54,891.31,HIIT,16.6,24.72
1.78,153,1.44;65,1091.0,Cardio,23.5,28.97
1.75,160,1.39;73,729.05,Cardio,25.1,14.3
1.79,143,1.39;73,994.0,Cardio,27.1,18.1
1.58,124,1.98;69,1105.0,Strength,20.0,25.2
1.99,149,1.16;51,951.0,Cardio,25.0,17.4
1.56,152,1.66;68,1135.0,HIIT,15.8,23.79
1.77,140,0.8;74,616.0,Yoga,26.7,29.21
1.56,125,1.03;62,644.0,Yoga,34.3,28.93
1.8,122,1.38;70,926.0,Cardio,28.6,33.33
1.98,146,1.37;69,874.92,Yoga,24.0,16.25
1.82,120,1.47;69,873.0,Cardio,23.2,28.59
1.99,126,1.13;70,705.0,Strength,23.6,14.07
1.58,121,1.46;57,883.0,Cardio,25.9,26.32
1.66,130,1.11;54,677.0,Cardio,33.4,24.71
1.51,142,1.15;65,735.0,Strength,33.1,26.05
1.96,139,0.97;68,667.0,Strength,25.6,18.12
1.52,144,1.19;66,857.0,Yoga,25.6,30.43
1.65,162,1.32;74,1176.0,HIIT,21.0,39.12
1.51,139,1.48;60,969.0,Cardio,28.2,21.4
1.77,139,0.61;63,382.0,Yoga,28.1,14.87
1.6,130,0.64;51,416.0,HIIT,29.1,29.53
1.74,156,1.37;54,962.0,Strength,32.2,17.6
1.68,159,1.16;62,844.0,Strength,20.2,21.05
1.76,121,1.2;60,799.0,Yoga,28.4,28.09
1.88,143,1.52;64,1195.0,Cardio,11.6,24.87
1.77,148,1.18;54,864.0,Yoga,20.9,33.16
1.62,122,1.52;55,1020.0,Strength,13.9,33.04
1.58,164,1.02;67,753.0,HIIT,34.9,28.28
1.62,149,1.01;52,677.0,Strength,31.7,29.87
1.55,122,1.85;65,1016.0,Strength,18.5,23.06
1.57,132,1.25;73,742.0,HIIT,31.6,26.9
1.73,152,1.39;63,1056.0,Strength,30.6,25.36
1.94,121,1.46;56,874.0,Yoga,21.1,19.21
1.68,156,1.59;74,1116.0,HIIT,15.5,20.55
1.77,127,1.72;56,1092.0,HIIT,15.0,19.31
1.76,137,1.28;56,868.0,Cardio,27.4,17.63
1.76,158,1.48;68,1158.0,Yoga,29.0,27.92
1.53,147,1.29;52,948.0,Yoga,33.0,21.66
1.76,143,0.73;73,574.0,Yoga,22.1,29.7
1.64,154,1.46;60,1012.0,Yoga,32.5,26.58
1.69,131,1.69;69,996.0,Yoga,16.5,22.48
1.77,127,1.77;55,1113.0,HIIT,11.4,27.55
1.68,163,1.82;74,1468.0,HIIT,11.3,30.12
1.66,159,1.38;60,1207.0,HIIT,29.8,45.43
1.76,130,0.63;73,410.0,HIIT,30.1,19.01
1.54,155,1.02;53,790.0,Cardio,29.5,26.65
1.63,147,1.07;66,786.0,Yoga,31.9,15.24
1.58,132,0.56;67,673.79,HIIT,26.8,16.78
1.92,161,1.36;50,984.97,Yoga,28.3,31.3
1.72,129,0.93;70,594.0,Cardio,27.5,15.24
1.76,124,0.88;52,491.0,Yoga,28.6,15.5
1.92,136,0.68;62,458.0,Strength,29.4,15.08
1.77,120,1.15;69,759.0,Strength,24.8,15.23
1.78,158,1.46;66,1038.0,Cardio,31.3,20.55
1.63,161,1.67;58,1344.0,HIIT,15.0,23.56
1.77,127,1.5;72,1048.0,Strength,28.9,28.41
1.71,143,1.48;64,1136.0,Yoga,20.9,17.61
1.62,126,1.16;73,804.0,Yoga,29.6,29.61
1.62,128,1.02;69,718.0,Strength,23.3,48.43
1.68,125,1.6;64,900.0,Strength,16.5,21.36
1.57,127,1.07;63,679.0,Cardio,30.7,27.14
1.83,162,0.79;66,634.0,Yoga,28.6,30.19
1.53,151,1.3;66,883.0,HIIT,33.9,32.0
