Kx2HyaGxl,Avg_BPM,Resting_BPM,Weight (kg),Verbrannte Kalorien ,G.
30.2,157,60,88.3,1313.0,Male
32.0,151,66,74.9,883.0,Female
18.41,164,56,53.2,532.0,Male
14.39,158,68,46.1,556.0,Male
20.55,156,74,58.0,1116.0,Female
23.76,169,73,70.3,1385.0,Male
32.34,127,52,121.7,719.0,Male
43.31,146,54,120.8,593.0,Male
17.89,152,72,51.7,865.0,Male
43.4,165,61,112.5,1013.0,Male
23.62,136,69,94.5,794.0,Male
13.88,131,52,42.5,740.0,Female
27.34,167,58,64.0,1111.0,Female
13.98,165,58,43.8,884.0,Female
21.81,146,56,66.8,742.0,Female
28.41,127,72,89.0,1048.0,Male
22.95,142,72,71.9,875.0,Male
38.16,168,65,120.9,721.0,Male
22.51,148,58,64.3,925.0,Female
20.12,139,68,65.2,502.0,Male
24.54,136,66,84.9,1104.0,Male
27.64,135,55,78.0,871.0,Female
33.4,138,53,108.2,964.0,Male
19.37,157,67,50.2,1046.0,Female
24.37,155,57,59.3,879.0,Female
17.3,136,61,44.3,734.0,Female
40.1,158,50,124.2,1304.0,Male
23.17,131,68,88.1,1016.0,Male
20.42,151,58,59.7,836.0,Female
32.69,151,62,96.7,1046.0,Male
22.78,125,61,73.0,506.0,Female
16.86,137,69,44.8,666.0,Female
32.93,135,74,87.5,1299.0,Male
17.11,127,61,51.8,773.0,Male
22.28,144,70,64.4,1418.0,Female
25.89,151,74,67.1,421.0,Female
20.88,141,58,65.4,627.0,Female
27.7,129,52,64.0,1004.0,Female
15.24,147,66,40.5,786.0,Female
21.88,125,63,70.1,743.0,Male
18.15,142,74,53.7,875.0,Female
24.72,135,54,61.7,1262.0,Female
17.27,165,58,52.3,990.0,Female
22.89,169,65,55.0,1103.0,Female
29.61,153,50,81.6,917.0,Male
31.44,159,63,81.5,1688.0,Male
22.31,163,74,56.4,924.0,Female
30.3,153,65,102.6,1052.0,Male
26.05,142,65,59.4,735.0,Female
29.61,126,73,77.7,804.0,Male
15.7,144,64,41.2,1073.0,Female
34.5,157,64,109.3,420.0,Male
18.12,139,68,69.6,667.0,Male
18.66,168,51,71.7,424.0,Male
31.41,163,59,79.4,1020.0,Female
21.64,136,72,55.4,979.0,Female
25.81,154,57,85.5,1357.0,Male
23.74,164,63,67.0,446.0,Male
20.88,146,59,82.7,1357.0,Male
26.65,155,53,63.2,790.0,Female
27.96,151,66,86.6,1071.0,Male
34.06,129,66,129.5,639.0,Male
29.26,130,56,98.0,824.0,Male
21.41,160,64,59.0,408.0,Female
21.78,159,73,82.8,1503.0,Male
24.5,159,59,63.5,1041.0,Female
24.55,138,58,69.3,451.0,Male
22.08,137,69,60.1,1042.0,Female
31.61,125,61,115.3,854.0,Male
19.63,135,59,62.9,958.0,Female
23.05,127,54,62.0,678.0,Male
27.93,167,67,88.5,1265.0,Male
23.59,137,64,73.9,877.0,Female
25.65,162,56,83.1,624.0,Male
14.54,168,55,46.6,1214.0,Male
28.97,168,57,103.5,499.0,Male
26.1,131,61,61.9,1150.0,Female
20.06,164,70,52.0,1082.0,Female
38.78,129,63,113.4,530.0,Male
21.91,120,59,67.1,362.0,Female
22.69,155,69,69.5,711.0,Female
39.16,140,64,107.9,832.0,Male
25.86,144,59,88.5,1119.0,Male
24.97,126,59,80.9,1074.0,Male
23.07,148,54,54.0,844.0,Female
15.9,126,60,51.5,680.0,Male
22.16,131,54,64.8,778.0,Male
17.94,123,61,56.2,418.0,Female
17.16,147,64,49.0,772.0,Female
37.87,132,58,128.2,603.0,Male
17.94,138,59,56.2,1249.0,Female
27.71,161,72,87.8,1133.0,Male
22.54,152,73,62.1,937.0,Female
21.02,153,50,68.1,926.0,Male
25.42,126,65,69.2,852.0,Male
14.69,148,74,40.0,686.0,Female
16.78,132,67,41.9,370.0,Female
34.53,121,67,88.4,1138.0,Male
26.73,134,67,71.9,929.0,Male
25.08,153,55,63.4,1267.0,Female
22.85,158,56,71.6,1177.0,Female
28.09,121,60,87.0,799.0,Male
26.67,136,58,78.0,734.0,Female
24.78,140,62,58.0,1153.0,Female
16.22,138,52,49.1,842.0,Male
21.3,157,70,57.3,887.0,Female
35.18,156,74,110.2,1021.0,Male
23.73,160,64,82.1,1481.0,Male
19.01,130,73,58.9,410.0,Female
23.51,143,55,82.2,1111.0,Male
32.69,125,62,96.7,903.0,Male
23.53,145,70,81.4,1292.0,Male
28.15,138,68,68.5,900.0,Female
16.35,148,71,44.5,959.0,Female
28.43,121,63,73.7,815.0,Male
17.75,138,68,55.6,820.0,Male
28.05,123,60,86.9,688.0,Male
30.37,149,54,110.8,1074.0,Male
18.88,152,67,55.2,579.0,Male
15.72,120,72,46.5,832.0,Male
45.14,130,55,117.0,744.0,Male
12.73,122,68,49.9,772.0,Male
28.92,160,68,79.7,763.0,Female
22.15,150,62,54.6,982.0,Female
26.84,136,73,97.9,680.0,Male
25.35,148,61,72.4,713.0,Female
25.39,145,66,64.2,1182.0,Female
18.77,136,53,58.8,952.0,Female
40.09,141,61,105.2,949.0,Male
20.4,144,62,45.9,662.0,Female
31.14,124,74,90.0,497.0,Male
20.76,123,52,60.0,1212.0,Female
23.75,156,66,57.8,1053.0,Female
34.83,145,57,128.4,502.0,Male
24.25,136,65,82.1,922.0,Male
15.02,140,56,42.9,567.0,Female
22.55,135,58,89.3,936.0,Male
29.26,139,54,70.3,876.0,Female
17.47,147,64,49.9,979.0,Female
36.47,127,57,101.7,333.0,Male
25.49,143,55,93.0,729.0,Male
34.14,122,67,87.4,465.0,Male
31.4,141,55,81.4,796.0,Male
24.51,129,63,84.8,1181.0,Male
18.62,137,66,55.1,970.0,Male
18.62,141,58,59.0,1177.0,Female
25.2,124,69,62.9,1105.0,Female
28.27,145,56,85.6,1321.0,Male
26.9,132,73,66.3,742.0,Female
24.31,143,72,63.8,1022.0,Male
23.06,122,65,55.4,1016.0,Female
27.97,168,57,78.0,949.0,Female
22.79,167,58,69.0,1223.0,Male
23.92,133,53,75.8,944.0,Female
28.49,131,60,75.7,407.0,Female
26.47,147,54,71.2,939.0,Female
30.12,163,74,85.0,1468.0,Male
26.13,148,66,63.6,903.0,Female
19.45,162,69,73.2,722.0,Male
20.91,136,56,48.3,653.0,Female
28.44,168,74,88.1,1123.0,Male
20.71,142,63,73.2,822.0,Male
31.94,139,62,110.5,1086.0,Male
14.88,130,60,46.1,842.0,Female
26.01,129,71,59.3,1096.0,Female
15.07,129,73,45.1,482.0,Female
34.06,125,59,89.4,885.0,Male
44.71,155,53,127.7,875.0,Male
21.87,131,63,49.2,678.0,Female
30.26,125,56,72.7,525.0,Female
19.91,120,59,76.5,442.0,Male
28.69,125,58,113.6,949.0,Male
23.81,169,74,62.5,1318.0,Female
15.61,160,71,51.7,792.0,Male
37.76,143,72,105.3,448.0,Male
34.25,134,74,78.1,555.0,Female
17.93,145,64,50.6,877.0,Female
19.65,127,51,70.2,440.0,Male
26.74,143,73,62.6,1380.0,Female
22.26,167,63,60.6,768.0,Female
19.69,157,65,76.4,886.0,Male
21.65,125,56,63.3,1175.0,Female
34.89,161,67,123.3,1036.0,Male
28.43,120,73,107.0,891.0,Male
18.53,165,54,68.3,1289.0,Male
18.23,131,56,58.4,943.0,Female
25.41,157,64,74.3,1123.0,Female
22.98,161,53,55.2,1103.0,Female
26.46,130,67,104.8,598.0,Male
28.78,155,63,82.2,882.0,Male
23.08,152,60,91.4,1145.0,Male
29.7,143,73,92.0,574.0,Male
21.8,160,70,82.9,1505.0,Male
22.1,129,62,66.9,720.0,Female
26.41,122,62,69.3,626.0,Female
14.1,130,71,42.7,608.0,Female
21.45,147,54,55.6,1301.0,Female
36.22,129,64,125.3,639.0,Male
29.83,157,67,102.1,1278.0,Male
20.47,169,64,51.1,422.0,Female
20.63,126,54,81.7,1005.0,Male
15.5,134,53,42.7,440.0,Female
20.66,137,51,81.8,1198.0,Male
30.47,160,59,107.7,634.0,Male
22.23,143,65,56.9,566.0,Female
17.92,159,67,48.2,894.0,Female
21.87,153,70,86.6,1500.0,Male
36.25,162,62,96.3,1203.0,Male
28.02,157,64,95.9,995.0,Male
12.67,161,55,40.6,499.0,Female
23.59,124,74,82.5,927.0,Male
23.27,120,50,58.1,1042.0,Female
19.69,153,54,61.0,1060.0,Female
27.55,120,58,64.5,940.0,Female
14.85,138,74,58.2,1085.0,Male
18.37,140,65,62.2,393.0,Male
32.7,140,64,94.5,700.0,Male
18.1,143,73,58.0,994.0,Female
27.68,141,54,64.8,1396.0,Female
14.59,139,73,45.7,795.0,Male
27.79,143,50,95.1,952.0,Male
26.57,133,59,65.5,395.0,Female
23.14,143,68,66.1,545.0,Male
23.53,150,60,68.0,627.0,Male
24.55,135,51,69.3,729.0,Female
23.65,143,66,88.1,1479.0,Male
37.53,145,63,124.3,997.0,Male
18.12,121,53,62.0,586.0,Male
23.56,135,66,69.7,753.0,Female
19.71,165,61,76.5,1025.0,Male
28.59,120,69,94.7,873.0,Male
22.17,168,67,67.9,1155.0,Male
26.58,154,60,71.5,1012.0,Female
34.12,162,74,98.6,740.0,Male
25.67,148,67,68.2,779.0,Female
20.2,156,53,57.7,920.0,Female
15.5,148,59,42.2,886.0,Female
26.52,129,65,66.2,499.0,Female
21.27,161,60,58.6,964.0,Male
26.69,131,69,101.5,699.0,Male
32.66,166,55,114.2,959.0,Male
18.39,161,73,54.4,725.0,Male
21.26,149,71,52.4,898.0,Female
27.61,151,51,83.6,1379.0,Male
30.51,145,73,78.1,718.0,Female
25.05,161,71,77.6,920.0,Female
32.69,126,68,118.0,412.0,Male
24.31,146,71,82.3,932.0,Male
17.03,141,61,60.2,946.0,Male
20.75,153,63,49.2,881.0,Female
20.71,165,58,46.6,1025.0,Female
25.22,120,52,60.6,780.0,Female
21.63,138,70,65.5,1011.0,Male
17.93,155,59,44.2,753.0,Female
25.11,164,56,65.9,731.0,Male
26.75,125,72,73.7,639.0,Male
27.82,138,66,67.7,980.0,Female
17.7,166,60,48.2,913.0,Female
24.91,126,52,56.8,777.0,Female
25.98,120,70,66.5,796.0,Male
32.51,156,60,106.5,1107.0,Male
17.6,156,54,53.3,962.0,Female
23.95,145,66,74.2,834.0,Female
13.78,121,65,42.7,883.0,Female
20.86,137,68,76.9,851.0,Male
24.37,129,62,62.4,710.0,Female
21.04,143,71,63.7,810.0,Male
30.76,123,50,106.4,907.0,Male
30.4,132,61,68.4,904.0,Female
18.35,144,53,63.5,969.0,Male
26.4,132,60,59.4,825.0,Female
26.79,143,51,61.9,592.0,Female
30.89,167,57,111.5,937.0,Male
23.88,128,58,86.2,1345.0,Male
21.05,147,62,59.4,844.0,Male
25.55,154,60,75.6,672.0,Female
25.49,158,65,76.3,768.0,Female
27.69,129,65,95.8,972.0,Male
36.01,120,51,120.6,686.0,Male
24.09,128,57,68.0,472.0,Male
20.2,134,59,63.3,876.0,Male
28.03,154,62,76.3,878.0,Female
22.96,124,74,61.0,331.0,Male
26.16,160,66,67.8,1072.0,Female
33.21,141,56,114.9,949.0,Male
27.12,142,52,67.7,927.0,Female
36.46,126,69,124.8,842.0,Male
17.51,146,58,50.6,848.0,Female
16.5,168,71,41.2,1111.0,Female
17.82,125,72,49.7,776.0,Female
13.81,156,51,48.3,525.0,Male
30.4,160,60,121.6,1091.0,Male
43.4,155,60,129.9,529.0,Male
21.8,145,65,49.7,906.0,Female
23.78,155,63,56.4,822.0,Female
15.49,167,64,46.9,946.0,Male
24.72,135,65,70.6,826.0,Female
41.84,141,68,109.8,651.0,Male
25.01,135,55,85.6,1322.0,Male
24.31,148,66,82.3,1408.0,Male
19.49,129,72,53.7,806.0,Female
15.75,161,71,63.0,1257.0,Male
32.34,120,52,77.7,330.0,Female
25.15,123,72,87.0,1028.0,Male
30.59,153,72,73.5,806.0,Female
27.35,153,70,89.6,1287.0,Male
16.53,129,70,46.1,743.0,Female
17.65,139,69,68.5,894.0,Male
23.46,132,60,54.2,746.0,Female
15.23,120,69,47.7,759.0,Male
15.42,124,52,52.2,847.0,Male
23.35,135,66,88.8,1173.0,Male
35.79,134,61,101.0,1076.0,Male
31.14,168,59,118.4,881.0,Male
16.19,147,57,47.9,933.0,Female
35.04,142,54,79.9,479.0,Female
27.66,136,68,73.5,350.0,Male
22.57,153,53,88.5,1515.0,Male
16.54,132,64,43.4,303.0,Female
21.48,161,59,59.2,1151.0,Male
26.36,151,64,78.9,938.0,Female
38.5,129,52,102.3,856.0,Male
16.23,169,52,52.0,937.0,Male
18.68,124,52,52.1,837.0,Female
23.78,150,74,81.4,1320.0,Male
18.7,136,50,50.9,887.0,Female
16.41,130,53,52.0,987.0,Male
19.06,139,53,71.0,1086.0,Male
19.71,128,63,58.3,640.0,Female
29.49,156,50,111.0,875.0,Male
19.09,120,71,52.6,762.0,Female
29.1,123,65,116.4,688.0,Male
29.17,155,52,75.6,983.0,Female
19.01,144,72,61.6,1172.0,Male
33.33,122,70,108.0,926.0,Male
19.36,128,58,59.3,634.0,Female
20.11,141,72,75.7,915.0,Male
21.99,142,53,56.3,859.0,Female
19.45,131,70,58.2,766.0,Female
19.73,129,54,55.7,802.0,Male
25.03,129,58,86.6,972.0,Male
19.47,149,52,64.5,983.0,Male
20.76,169,60,60.7,954.0,Male
23.81,121,58,57.2,909.0,Female
28.88,149,64,73.0,798.0,Female
33.97,151,52,93.6,1024.0,Male
24.52,131,71,92.3,821.0,Male
29.89,120,68,71.8,720.0,Female
27.14,127,63,66.9,679.0,Female
27.74,127,63,84.0,1013.0,Male
46.98,165,65,123.3,1216.0,Male
26.47,138,55,84.8,1025.0,Male
39.77,166,66,109.6,1060.0,Male
27.58,157,61,86.4,777.0,Male
19.72,130,72,63.9,626.0,Female
22.72,139,56,55.3,1188.0,Female
22.81,140,50,73.9,942.0,Male
19.02,129,55,49.3,868.0,Male
30.63,145,74,73.6,581.0,Female
14.87,149,65,47.1,929.0,Male
24.84,128,63,65.2,408.0,Male
32.42,165,50,87.2,1634.0,Male
26.35,125,73,62.5,906.0,Female
38.76,133,59,110.7,775.0,Male
30.64,123,58,102.6,954.0,Male
31.13,166,52,80.7,1598.0,Male
35.19,167,67,115.3,1249.0,Male
30.74,158,69,87.8,1573.0,Male
28.66,136,51,74.3,714.0,Male
27.16,138,66,78.5,938.0,Female
30.96,168,68,77.3,733.0,Female
22.32,125,72,64.5,319.0,Female
24.87,130,62,77.9,916.0,Female
12.85,144,50,45.9,1148.0,Male
23.88,159,73,68.2,537.0,Female
31.49,130,54,79.6,968.0,Female
19.92,141,56,74.2,1024.0,Male
17.33,138,71,54.9,380.0,Female
18.7,150,62,50.3,468.0,Male
14.6,161,67,57.8,741.0,Male
25.62,160,73,83.0,695.0,Male
22.22,142,56,66.5,709.0,Female
25.17,166,50,70.2,695.0,Female
32.73,132,54,121.9,1082.0,Male
30.43,144,66,70.3,857.0,Female
16.56,121,57,40.3,877.0,Female
24.19,128,53,75.8,841.0,Female
23.71,132,54,57.7,1082.0,Female
15.14,132,54,44.8,977.0,Female
30.49,150,55,90.2,668.0,Male
30.55,151,50,95.7,807.0,Male
21.67,153,53,59.0,924.0,Male
19.31,127,56,60.5,1092.0,Female
21.16,157,57,66.3,1046.0,Female
12.32,159,65,45.9,1015.0,Male
32.72,147,70,88.0,1536.0,Male
13.95,160,72,44.7,965.0,Female
26.48,160,72,95.6,1294.0,Male
26.99,133,58,81.7,666.0,Male
17.4,164,58,49.1,1164.0,Female
19.86,136,59,66.5,747.0,Male
24.42,121,73,74.8,885.0,Male
28.2,130,67,72.2,566.0,Female
23.64,160,63,62.8,1241.0,Male
40.79,148,51,116.5,388.0,Male
21.0,137,50,77.4,1047.0,Male
27.78,139,67,72.9,732.0,Female
27.11,133,58,64.3,999.0,Female
34.8,168,51,90.2,1148.0,Male
38.49,161,70,127.5,1116.0,Male
