Calories_Burned,Gender,Weight (kg),go through horizontal surface,8w_Session_Duration (hours),A.B.
1313.0,Male,88.3,3,1.69,157
883.0,Female,74.9,2,1.3,151
532.0,Male,53.2,1,0.59,164
556.0,Male,46.1,1,0.64,158
1116.0,Female,58.0,3,1.59,156
1385.0,Male,70.3,2,1.49,169
719.0,Male,121.7,2,1.03,127
593.0,Male,120.8,1,0.82,146
865.0,Male,51.7,2,1.15,152
1013.0,Male,112.5,2,1.24,165
794.0,Male,94.5,1,1.18,136
740.0,Female,42.5,1,1.13,131
1111.0,Female,64.0,2,1.33,167
884.0,Female,43.8,1,1.19,165
742.0,Female,66.8,2,1.13,146
1048.0,Male,89.0,2,1.5,127
875.0,Male,71.9,1,1.12,142
721.0,Male,120.9,1,0.78,168
925.0,Female,64.3,2,1.25,148
502.0,Male,65.2,1,0.73,139
1104.0,Male,84.9,3,1.64,136
871.0,Female,78.0,2,1.29,135
964.0,Male,108.2,1,1.27,138
1046.0,Female,50.2,1,1.48,157
879.0,Female,59.3,2,1.26,155
734.0,Female,44.3,1,1.08,136
1304.0,Male,124.2,1,1.5,158
1016.0,Male,88.1,1,1.41,131
836.0,Female,59.7,1,1.23,151
1046.0,Male,96.7,1,1.26,151
506.0,Female,73.0,1,0.81,125
666.0,Female,44.8,2,1.08,137
1299.0,Male,87.5,3,1.75,135
773.0,Male,51.8,2,1.23,127
1418.0,Female,64.4,3,1.97,144
421.0,Female,67.1,1,0.62,151
627.0,Female,65.4,1,0.89,141
1004.0,Female,64.0,3,1.73,129
786.0,Female,40.5,2,1.07,147
743.0,Male,70.1,2,1.08,125
875.0,Female,53.7,1,1.37,142
1262.0,Female,61.7,3,1.87,135
990.0,Female,52.3,1,1.2,165
1103.0,Female,55.0,2,1.45,169
917.0,Male,81.6,2,1.09,153
1688.0,Male,81.5,3,1.93,159
924.0,Female,56.4,1,1.26,163
1052.0,Male,102.6,2,1.25,153
735.0,Female,59.4,2,1.15,142
804.0,Male,77.7,2,1.16,126
1073.0,Female,41.2,2,1.49,144
420.0,Male,109.3,1,0.54,157
667.0,Male,69.6,1,0.97,139
424.0,Male,71.7,1,0.51,168
1020.0,Female,79.4,2,1.39,163
979.0,Female,55.4,2,1.44,136
1357.0,Male,85.5,3,1.78,154
446.0,Male,67.0,1,0.55,164
1357.0,Male,82.7,3,1.69,146
790.0,Female,63.2,2,1.02,155
1071.0,Male,86.6,2,1.29,151
639.0,Male,129.5,1,1.0,129
824.0,Male,98.0,2,1.28,130
408.0,Female,59.0,1,0.51,160
1503.0,Male,82.8,3,1.91,159
1041.0,Female,63.5,2,1.31,159
451.0,Male,69.3,1,0.66,138
1042.0,Female,60.1,3,1.69,137
854.0,Male,115.3,1,1.38,125
958.0,Female,62.9,2,1.42,135
678.0,Male,62.0,1,0.97,127
1265.0,Male,88.5,3,1.53,167
877.0,Female,73.9,2,1.28,137
624.0,Male,83.1,1,0.7,162
1214.0,Male,46.6,2,1.46,168
499.0,Male,103.5,1,0.54,168
1150.0,Female,61.9,3,1.95,131
1082.0,Female,52.0,2,1.32,164
530.0,Male,113.4,1,0.83,129
362.0,Female,67.1,1,0.67,120
711.0,Female,69.5,1,1.02,155
832.0,Male,107.9,2,1.08,140
1119.0,Male,88.5,3,1.57,144
1074.0,Male,80.9,3,1.55,126
844.0,Female,54.0,1,1.14,148
680.0,Male,51.5,2,1.09,126
778.0,Male,64.8,2,1.2,131
418.0,Female,56.2,1,0.68,123
772.0,Female,49.0,1,1.05,147
603.0,Male,128.2,1,0.83,132
1249.0,Female,56.2,3,1.81,138
1133.0,Male,87.8,1,1.28,161
937.0,Female,62.1,2,1.37,152
926.0,Male,68.1,2,1.1,153
852.0,Male,69.2,1,1.23,126
686.0,Female,40.0,2,1.03,148
370.0,Female,41.9,1,0.56,132
1138.0,Male,88.4,3,1.71,121
929.0,Male,71.9,2,1.26,134
1267.0,Female,63.4,3,1.84,153
1177.0,Female,71.6,1,1.49,158
799.0,Male,87.0,2,1.2,121
734.0,Female,78.0,1,1.08,136
1153.0,Female,58.0,3,1.83,140
842.0,Male,49.1,2,1.11,138
887.0,Female,57.3,2,1.13,157
1021.0,Male,110.2,1,1.19,156
1481.0,Male,82.1,3,1.87,160
410.0,Female,58.9,1,0.63,130
1111.0,Male,82.2,3,1.57,143
903.0,Male,96.7,2,1.46,125
1292.0,Male,81.4,3,1.8,145
900.0,Female,68.5,2,1.45,138
959.0,Female,44.5,1,1.44,148
815.0,Male,73.7,2,1.36,121
820.0,Male,55.6,2,1.2,138
688.0,Male,86.9,2,1.13,123
1074.0,Male,110.8,1,1.31,149
579.0,Male,55.2,1,0.77,152
832.0,Male,46.5,2,1.4,120
744.0,Male,117.0,2,1.04,130
772.0,Male,49.9,2,1.15,122
763.0,Female,79.7,1,1.06,160
982.0,Female,54.6,1,1.31,150
680.0,Male,97.9,2,1.01,136
713.0,Female,72.4,2,1.07,148
1182.0,Female,64.2,3,1.63,145
952.0,Female,58.8,1,1.4,136
949.0,Male,105.2,1,1.36,141
662.0,Female,45.9,1,0.92,144
497.0,Male,90.0,1,0.81,124
1212.0,Female,60.0,3,1.97,123
1053.0,Female,57.8,2,1.35,156
502.0,Male,128.4,1,0.63,145
922.0,Male,82.1,2,1.37,136
567.0,Female,42.9,1,0.9,140
936.0,Male,89.3,2,1.4,135
876.0,Female,70.3,1,1.4,139
979.0,Female,49.9,2,1.48,147
333.0,Male,101.7,1,0.53,127
729.0,Male,93.0,2,1.03,143
465.0,Male,87.4,1,0.77,122
796.0,Male,81.4,2,1.14,141
1181.0,Male,84.8,3,1.85,129
970.0,Male,55.1,2,1.43,137
1177.0,Female,59.0,3,1.67,141
1105.0,Female,62.9,3,1.98,124
1321.0,Male,85.6,3,1.84,145
742.0,Female,66.3,1,1.25,132
1022.0,Male,63.8,1,1.3,143
1016.0,Female,55.4,3,1.85,122
949.0,Female,78.0,2,1.13,168
1223.0,Male,69.0,2,1.48,167
944.0,Female,75.8,2,1.42,133
407.0,Female,75.7,1,0.69,131
939.0,Female,71.2,2,1.42,147
1468.0,Male,85.0,3,1.82,163
903.0,Female,63.6,1,1.22,148
722.0,Male,73.2,1,0.81,162
653.0,Female,48.3,1,0.96,136
1123.0,Male,88.1,2,1.35,168
822.0,Male,73.2,1,1.17,142
1086.0,Male,110.5,1,1.42,139
842.0,Female,46.1,2,1.44,130
1096.0,Female,59.3,3,1.7,129
482.0,Female,45.1,1,0.83,129
885.0,Male,89.4,2,1.43,125
875.0,Male,127.7,2,1.14,155
678.0,Female,49.2,2,1.15,131
525.0,Female,72.7,1,0.84,125
