Ag,Weight (kg),Height (m),Max_BPM,Avg_BPM,Calories_Burned,F.P.,wKJ_Water_Intake (liters)
25,88.1,1.95,182,131,1016.0,50.53,3.0
98,71.2,1.64,165,147,939.0,30.9,2.3
51,59.0,1.65,198,153,924.0,20.7,5.55
21,101.2,1.84,181,132,944.0,53.13,3.3
42,45.5,1.6,166,163,1057.0,21.7,2.6
100,110.2,1.77,191,156,1021.0,26.5,3.4
87,80.7,1.61,170,166,1598.0,14.3,3.5
35,100.9,1.63,161,163,986.0,28.4,5.08
18,60.9,1.79,191,126,699.0,31.1,2.1
20,92.3,1.94,176,131,821.0,47.93,2.1
50,66.3,1.57,192,132,742.0,44.69,1.6
28,86.9,1.78,164,134,951.0,47.34,3.7
99,49.1,1.68,193,164,1164.0,25.3,2.6
56,52.9,1.64,169,155,767.0,27.4,2.3
56,90.2,1.61,163,168,1148.0,22.6,4.45
91,45.9,1.5,189,144,662.0,29.8,1.7
40,63.5,1.61,163,159,1041.0,33.4,4.55
77,43.8,1.77,182,165,884.0,31.9,1.6
35,85.6,1.85,185,135,1322.0,52.71,3.5
94,58.3,1.72,173,128,640.0,32.6,1.6
84,60.6,1.65,162,167,768.0,27.6,1.7
95,70.3,1.55,178,139,876.0,26.1,1.6
22,62.2,1.84,161,140,393.0,21.5,5.11
19,69.2,1.6,186,155,907.0,44.13,1.6
80,78.1,1.51,193,134,555.0,31.1,2.6
23,47.4,1.6,196,154,585.0,33.5,1.6
54,125.9,1.94,199,132,882.0,28.5,2.9
43,73.2,1.88,176,142,822.0,48.03,3.3
18,64.8,1.53,170,141,1396.0,18.6,4.4
19,72.0,1.94,199,148,952.0,24.7,3.2
50,56.4,1.59,185,163,924.0,50.94,2.6
35,63.7,1.74,198,143,810.0,29.8,5.05
52,85.5,1.82,174,154,1357.0,14.9,4.8
58,52.0,1.79,173,169,937.0,29.6,5.13
45,48.2,1.64,168,159,894.0,48.57,2.5
25,65.4,1.77,160,141,627.0,27.6,5.38
52,85.6,1.74,182,145,1321.0,49.88,3.5
86,98.6,1.7,197,162,740.0,21.1,2.4
36,56.2,1.95,183,128,767.0,22.5,3.4
50,95.4,1.61,173,133,764.0,21.5,3.6
