keep company financial backing  remote control do work,DHIHOrvRCC,Stress_Level,Sleep_Quality,Hours_Worked_Per_Week,Age,Social_Isolation_Rating,Years_of_Experience,Job_Role,1f,Access_to_Mental_Health_Resources,Physical_Activity,do work situating
1,Europe,Medium,Good,47,32,1,13,HR,Healthcare,No,Weekly,Hybrid
2,Asia,Medium,Good,52,40,3,3,Data Scientist,IT,No,Weekly,Remote
5,North America,Medium,Poor,46,59,4,22,Software Engineer,Education,No,None,Hybrid
3,Europe,High,Poor,32,27,3,20,Software Engineer,Fijande,Yes,None,Onsite
3,North America,High,Average,35,49,3,32,Sales,Consulting,Yes,Weekly,Onside
3,South America,High,Average,39,59,5,31,Sales,,No,None,Hybrid
3,Asia,Low,Poor,51,31,5,24,Sales,IT,Yes,Daily,5emote
4,North America,Medium,Average,54,42,5,6,Data Scientist,Manufakturing,No,None,Onsite
4,Europe,High,Poor,24,56,2,9,Data Scientist,He.,Yes,Daily,Hybrid
8,North America,Low,Poor,57,30,2,28,HR,IR,Yes,Weekly,Hybrid
10,Oceania,High,Average,48,33,4,17,Software Engineer,Finance,Yes,Weekly,Remote
7,Africa,Medium,Poor,26,47,4,31,Marketing,Consulting,Yes,Weekly,H.
1,Europe,High,Good,21,40,2,1,Marketing,Consulting,Yes,Weekly,Remote
5,North America,Low,Poor,45,51,2,5,Designer,Manufacturing,No,Weekly,Hybrid
4,Oceania,High,Average,59,36,5,23,Project Manager,Retail,Yes,Weekly,Remote
4,Africa,Low,Average,44,56,5,13,Sales,Healthcare,No,Weekly,Remote
1,Africa,Medium,Good,52,33,1,3,HR,Educztipn,No,Weekly,Onsite
8,Europe,Low,Good,37,45,5,20,Data Scientist,Consulting,Yes,Weekly,Onsite
2,Oceania,High,Good,36,49,3,30,Software Engineer,IT,No,Weekly,Remote
3,South America,Medium,Average,59,59,4,13,Software Engineer,,No,Daily,Remote
1,South America,Low,Poor,21,26,2,33,Sales,Retail,No,Weekly,Hybrid
7,North America,Medium,Poor,54,26,3,21,Sales,Education,No,Daily,Onsi.
9,Africa,Low,Average,57,43,3,21,Sales,Finance,Yes,Daily,Onsite
6,Asia,Low,Poor,22,53,2,11,Marketing,Consulting,No,Weekly,O.
4,North America,Low,Average,54,56,2,6,Sales,,No,Daily,Rem.
3,South America,High,Good,21,49,4,23,Project Manager,Healthcare,No,None,Onzite
4,North America,High,Poor,24,36,4,30,Project Manager,Retail,No,None,Onq9te
8,Oceania,Low,Poor,56,53,4,31,Project Manager,5etaik,No,None,Ons.
1,Europe,High,Poor,33,47,4,22,Sales,IT,Yes,Daily,0nsite
1,North America,High,Poor,25,59,3,34,Software Engineer,Healthcare,Yes,Weekly,Remote
2,Asia,Low,Average,20,22,5,22,Data Scientist,ID,Yes,Weekly,Onsitw
5,North America,Medium,Average,33,37,3,4,Marketing,Manufacturing,No,None,Hybrid
8,North America,Medium,Good,20,45,5,29,Project Manager,Manufacturing,Yes,Daily,Tekote
5,North America,Medium,Average,26,48,5,27,Software Engineer,Healthcare,Yes,Daily,Remota
3,Europe,Medium,Average,22,36,1,24,Designer,IT,No,Weekly,Hyb.
5,Europe,Low,Poor,57,46,1,28,Sales,Healthcare,Yes,None,Hybrid
8,Asia,Low,Poor,30,48,5,10,Sales,Finance,Yes,None,Pnsi5e
5,Asia,Low,Good,47,31,2,18,Designer,Healthcare,Yes,Daily,Remote
8,Africa,Low,Average,48,24,3,21,Sales,I6,Yes,Weekly,Onsite
3,Asia,High,Poor,20,49,1,20,Marketing,Consulting,No,Weekly,Hybrid
5,Europe,High,Poor,44,30,1,22,Data Scientist,1T,No,Daily,Remote
5,North America,Low,Good,29,53,1,14,Project Manager,IT.,No,None,Onsite
3,Europe,High,Poor,58,54,3,26,Project Manager,Finance,Yes,Weekly,Remote
3,Europe,Medium,Average,53,54,1,12,Designer,Manufacturing,Yes,None,Remote
2,South America,High,Good,23,57,5,13,HR,Reta.,Yes,Daily,Remote
3,North America,Medium,Poor,42,32,2,24,Marketing,Retqil,No,Daily,Remoge
5,South America,Medium,Good,35,33,1,33,Data Scientist,Education,Yes,Weekly,Remote
4,Oceania,High,Good,39,30,1,4,Sales,Consulting,No,None,Remote
3,Africa,Low,Poor,29,22,2,7,HR,Healthcere,No,Daily,Onsite
3,Europe,Medium,Average,37,35,1,11,Project Manager,Retail,No,None,Onzite
8,Europe,High,Good,28,26,5,34,HR,,Yes,Daily,Onsite
2,South America,Low,Good,31,47,4,25,Sales,,No,None,Ramote
2,South America,Medium,Good,26,42,2,3,Software Engineer,,No,Daily,Onsite
1,Asia,Medium,Average,46,60,1,34,Project Manager,,Yes,None,Ons.
1,Asia,Medium,Poor,55,26,4,5,Software Engineer,Education,Yes,Daily,Hybrid
5,Africa,Low,Good,47,30,3,8,Project Manager,Education,No,Daily,
5,Asia,Low,Good,48,42,4,14,Software Engineer,IT,Yes,None,Remote
10,South America,Low,Average,49,53,4,7,HR,IT,No,None,Onsite
3,Oceania,Low,Average,51,26,2,31,Designer,Manufacturing,No,Daily,Rempte
5,Oceania,Medium,Poor,57,26,1,17,Data Scientist,IT,Yes,Daily,Remote
2,Europe,Medium,Good,33,25,1,4,Sales,Consulting,Yes,Daily,Hy.
9,North America,Medium,Good,30,33,5,14,Sales,1T,Yes,Daily,Remote
2,Asia,Medium,Poor,28,25,3,20,Project Manager,Finance,No,None,Hybrid
5,South America,Medium,Good,31,22,2,5,Software Engineer,,Yes,None,Onsite
2,Oceania,Medium,Good,37,60,2,18,Data Scientist,Healthcare,No,None,Hy.
4,Europe,Medium,Poor,31,56,4,9,HR,Fin.,Yes,Weekly,Remote
2,Oceania,Medium,Good,46,45,3,6,Software Engineer,IT,No,Daily,Hybrid
2,Oceania,High,Poor,20,60,3,32,Marketing,Ed.,Yes,Weekly,Remote
9,South America,High,Average,51,32,3,23,Designer,M.,Yes,Daily,Onsite
1,North America,Low,Good,28,25,5,6,Marketing,Vinance,No,Daily,Remote
4,North America,Medium,Average,39,43,4,23,Marketing,Consulting,No,Weekly,0nsite
8,Oceania,Medium,Average,29,50,2,25,Designer,Consulting,Yes,Weekly,Remote
1,Africa,High,Good,30,28,2,15,Designer,Re.,Yes,Weekly,O.
8,Africa,High,Poor,53,23,1,29,Software Engineer,1T,Yes,None,Hybrid
10,Africa,Medium,Poor,57,38,3,35,Project Manager,Consulting,No,Weekly,0nsite
3,Asia,High,Good,49,42,4,27,Marketing,Retail,Yes,None,Onsite
2,Europe,High,Good,55,31,1,4,HR,Consulting,No,Weekly,Onsi.
8,South America,Medium,Average,37,28,1,25,Marketing,Healthcare,Yes,Daily,Remote
1,South America,High,Average,51,29,2,15,Data Scientist,Manufacturing,Yes,Daily,R2mote
3,Asia,Low,Average,21,27,4,21,Project Manager,Consulting,No,Weekly,H.
1,Asia,High,Poor,21,54,4,5,Data Scientist,Education,No,None,
8,South America,High,Poor,44,42,3,33,Software Engineer,Fin.,Yes,Daily,Onsite
2,North America,High,Good,26,58,5,32,HR,Educetion,Yes,Weekly,
3,Europe,High,Poor,43,26,5,15,Project Manager,Haalthcare,Yes,None,Hybrid
5,Oceania,Low,Good,42,56,2,9,Designer,Retail,Yes,None,Hyprid
8,Asia,Low,Poor,44,50,2,20,Designer,Finanke,No,Daily,Hybrid
1,North America,Low,Poor,27,55,1,10,Project Manager,Manufacturing,No,Weekly,Onsite
2,Africa,Medium,Poor,43,22,2,26,Data Scientist,Education,Yes,Weekly,Htb5id
9,North America,High,Poor,38,24,5,11,Designer,Consulting,Yes,None,
8,Oceania,Low,Poor,38,53,5,23,Marketing,Healthkare,Yes,Daily,Hybrit
2,Africa,Medium,Average,57,57,4,2,Data Scientist,Retail,No,Weekly,Onqite
5,South America,High,Good,60,22,3,9,Software Engineer,Manufacturing,No,Weekly,Onsite
9,Asia,Medium,Poor,29,41,3,31,Data Scientist,IT,No,None,Onsite
4,Europe,High,Average,54,46,2,34,Data Scientist,Ed.,Yes,None,Remote
4,Africa,High,Average,31,60,2,11,Project Manager,Education,No,Weekly,Onsyte
3,Asia,Low,Good,54,44,1,2,Project Manager,Manufacturing,No,None,
5,Africa,High,Poor,33,35,5,31,Data Scientist,Healthcare,No,Weekly,Hybrid
3,South America,Low,Average,25,48,4,32,Designer,IT,No,Weekly,Hybrid
5,Asia,Low,Good,21,31,4,19,Data Scientist,Healthcare,No,Daily,Onsite
4,Africa,Medium,Good,45,53,3,12,Project Manager,IT,No,Daily,Hybrid
1,Asia,Medium,Poor,53,32,5,32,Designer,Manufacturing,No,None,Onsite
10,Africa,High,Poor,46,33,2,9,Sales,,No,Daily,Hybrid
3,Africa,High,Good,22,45,4,3,Sales,IT,No,None,Hibrid
10,Africa,High,Good,60,50,4,18,Software Engineer,,Yes,None,Hybrid
3,Africa,Low,Average,42,41,4,30,Designer,,Yes,Weekly,Hybryd
3,South America,High,Good,60,43,3,18,Data Scientist,Healthcare,Yes,Daily,Onsite
2,South America,Medium,Good,35,29,4,25,HR,IT,Yes,Daily,Onaote
5,Europe,High,Poor,44,44,2,27,Software Engineer,Healthcare,No,Weekly,Hy.
2,Oceania,Medium,Poor,50,50,1,2,Software Engineer,Healthcare,No,Weekly,Eemote
5,Asia,Low,Good,22,36,1,4,Data Scientist,Fi.,No,Daily,Remote
5,Africa,High,Average,29,34,5,29,Data Scientist,Ecucayion,Yes,Weekly,Hybrid
2,Africa,Low,Good,34,49,5,30,HR,F.,No,Weekly,Remota
5,Europe,Low,Poor,30,45,1,10,Marketing,Retail,Yes,None,Remote
5,Europe,Low,Poor,53,45,1,21,Data Scientist,Retail,Yes,Daily,0nsite
4,Oceania,High,Poor,29,53,5,25,Designer,Healthcare,No,None,3emotw
9,South America,Medium,Good,27,29,3,35,Marketing,Education,Yes,Weekly,0nsite
3,North America,Medium,Good,44,34,5,5,Project Manager,Finance,No,Daily,Onsi.
