Source\Target,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.
bridges_A1.,1.0,0.037037037,0.5092593,0.037037037,0.6018519,0.046296295,0.027777778,0.037037037,0.037037037,0.037037037,0.074074075
bridges_A1.,0.037037037,1.0,0.07272727,1.0,0.06153846,0.8,0.75,1.0,1.0,1.0,0.5
bridges_A1.,0.5092593,0.07272727,1.0,0.07272727,0.84615386,0.09090909,0.054545455,0.07272727,0.07272727,0.07272727,0.14545454
bridges_A1.,0.6481481,0.057142857,0.78571427,0.057142857,0.9285714,0.071428575,0.042857144,0.057142857,0.057142857,0.057142857,0.114285715
bridges_A1.,0.037037037,1.0,0.07272727,1.0,0.06153846,0.8,0.75,1.0,1.0,1.0,0.5
bridges_A1.,0.6018519,0.06153846,0.84615386,0.06153846,1.0,0.07692308,0.046153847,0.06153846,0.06153846,0.06153846,0.12307692
bridges_A1.,0.046296295,0.8,0.09090909,0.8,0.07692308,1.0,0.6,0.8,0.8,0.8,0.625
bridges_A1.,0.027777778,0.75,0.054545455,0.75,0.046153847,0.6,1.0,0.75,0.75,0.75,0.375
bridges_A1.,0.037037037,1.0,0.07272727,1.0,0.06153846,0.8,0.75,1.0,1.0,1.0,0.5
bridges_A1.,0.037037037,1.0,0.07272727,1.0,0.06153846,0.8,0.75,1.0,1.0,1.0,0.5
bridges_A1.,0.074074075,0.5,0.14545454,0.5,0.12307692,0.625,0.375,0.5,0.5,0.5,1.0
