Source\Target,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.
bridges_A1.,1.0,0.0,0.4516129,0.5963303,0.0,0.5945946,0.0,0.0,0.0,0.0,0.0
bridges_A1.,0.3442623,0.0,0.64102566,0.24489796,0.0,0.31578946,0.015384615,0.015151516,0.014705882,0.016666668,0.011904762
bridges_A1.,0.0,0.0,0.0,0.0,0.34246576,0.0,0.02,0.019607844,0.018867925,0.0,0.0
bridges_A1.,0.5945946,0.0,0.3960396,0.4673913,0.0,1.0,0.012820513,0.012658228,0.012345679,0.01369863,0.010309278
bridges_A1.,0.0,0.0,0.06944445,0.0,0.0,0.01369863,0.071428575,0.06666667,0.05882353,0.11111111,0.030303031
bridges_A1.,0.0,0.0,0.013513514,0.0,0.0,0.014084507,0.083333336,0.07692308,0.06666667,0.14285715,0.032258064
bridges_A2.,0.3442623,0.0,0.64102566,0.24489796,0.0,0.31578946,0.015384615,0.015151516,0.014705882,0.016666668,0.011904762
bridges_A2.,0.0,0.0,0.0,0.0,0.3375,0.0,0.016949153,0.016666668,0.032786883,0.0,0.012820513
bridges_A2.,0.5945946,0.0,0.3960396,0.4673913,0.0,1.0,0.012820513,0.012658228,0.012345679,0.01369863,0.010309278
bridges_A2.,0.0,0.0,0.06944445,0.0,0.0,0.01369863,0.071428575,0.06666667,0.05882353,0.11111111,0.030303031
bridges_A2.,0.0,0.0,0.013513514,0.0,0.0,0.014084507,0.083333336,0.07692308,0.06666667,0.14285715,0.032258064
bridges_A2.,0.0,0.0,0.0121951215,0.0,0.0,0.012658228,0.10526316,1.0,0.09090909,0.06666667,0.14285715
bridges_A2.,0.0,0.0,0.008196721,0.0,0.0,0.008403362,0.016666668,0.016393442,0.015873017,0.09803922,0.012658228
bridges_A2.,0.0,0.0,0.01,0.0,0.0,0.010309278,0.02631579,0.14285715,0.05,0.030303031,1.0
