Source\Target,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_C1.,bridges_C1.,bridges_C1.,bridges_C1.,bridges_C1.,bridges_C1.
bridges_A1.,0.45588234,0.0,1.0,0.07594936,0.0,0.32786885,0.12195122,0.023809524,0.010638298,0.018181818,0.0,0.20779221,0.22764228,0.17073171,0.0,0.01923077,0.014705882
bridges_A1.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.04,0.078947365,0.0,0.0,0.0,0.4,0.045454547,0.114285715
bridges_A1.,1.0,0.0,0.45588234,0.16853933,0.0,0.369863,0.0,0.0,0.0,0.0,0.0,0.27272728,0.31782946,0.0,0.0,0.0,0.0
bridges_A1.,0.16853933,0.0,0.07594936,1.0,0.0,0.16216215,0.0,0.0,0.0,0.0,0.0,0.4848485,0.2892562,0.0,0.0,0.0,0.0
bridges_A1.,0.0,0.0,0.1,0.0,0.0,0.022727273,0.6666667,0.16666667,0.01724138,0.05263158,0.0,0.0,0.0,0.5,0.0,0.0625,0.03125
bridges_A2.,0.0,0.0,0.022727273,0.0,0.0,0.022222223,0.1,0.14285715,0.016949153,0.05,0.0,0.0,0.0,0.083333336,0.0,0.05882353,0.030303031
bridges_A2.,0.0,0.0,0.020408163,0.0,0.041666668,0.02,0.06666667,0.083333336,0.18181819,0.04,0.0,0.0,0.008333334,0.05882353,0.34615386,0.045454547,0.02631579
bridges_A2.,0.45588234,0.0,1.0,0.07594936,0.0,0.32786885,0.12195122,0.023809524,0.010638298,0.018181818,0.0,0.20779221,0.22764228,0.17073171,0.0,0.01923077,0.014705882
bridges_A2.,0.0,0.0,0.1,0.0,0.0,0.022727273,0.6666667,0.16666667,0.01724138,0.05263158,0.0,0.0,0.0,0.5,0.0,0.0625,0.03125
bridges_A2.,0.0,0.0,0.023809524,0.0,0.0,0.023255814,0.125,1.0,0.01754386,0.055555556,0.0,0.0,0.0,0.1,0.0,0.06666667,0.032258064
bridges_A2.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.04,0.078947365,0.0,0.0,0.0,0.4,0.045454547,0.114285715
bridges_A2.,0.16853933,0.0,0.07594936,1.0,0.0,0.16216215,0.0,0.0,0.0,0.0,0.0,0.4848485,0.2892562,0.0,0.0,0.0,0.0
bridges_D1.,0.37962964,0.0,0.27450982,0.35,0.0,0.2970297,0.0,0.0,0.0,0.0,0.0,0.44444445,0.8108108,0.0,0.0,0.0,0.0
bridges_D1.,0.0,0.14814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bridges_D1.,0.5416667,0.0,0.61403507,0.11494253,0.0,0.30985916,0.054545455,0.0,0.0,0.0,0.0,0.17977528,0.21641791,0.11111111,0.0,0.0,0.0
bridges_D1.,0.0,0.022222223,0.0,0.0,0.71428573,0.0,0.0,0.0,0.027027028,0.057142857,0.019607844,0.0,0.13793103,0.0,0.022222223,0.030303031,0.0
bridges_D1.,0.4065934,0.0,0.31325302,0.28089887,0.0,0.39240506,0.013513514,0.014084507,0.008130081,0.011904762,0.0,0.4878049,0.4516129,0.013157895,0.0,0.012345679,0.010309278
bridges_D1.,0.0,0.0,0.14634146,0.0,0.0,0.021276595,0.625,0.11111111,0.016393442,0.045454547,0.0,0.0,0.0,0.875,0.0,0.05263158,0.028571429
bridges_D1.,0.0,0.0,0.023255814,0.0,0.0,0.022727273,0.11111111,0.75,0.01724138,0.05263158,0.0,0.0,0.0,0.09090909,0.0,0.0625,0.03125
bridges_D1.,0.0,0.0,0.020408163,0.0,0.041666668,0.02,0.06666667,0.083333336,0.18181819,0.04,0.0,0.0,0.008333334,0.05882353,0.34615386,0.045454547,0.02631579
bridges_D1.,0.0,0.025641026,0.018518519,0.0,0.03448276,0.018181818,0.05,0.05882353,0.04477612,0.10714286,0.0952381,0.0,0.0,0.045454547,0.33333334,0.07692308,0.12820514
bridges_D1.,0.0,0.0,0.02173913,0.0,0.0,0.021276595,0.083333336,0.11111111,0.016393442,0.045454547,0.0,0.0,0.0,0.071428575,0.0,0.05263158,0.028571429
bridges_D1.,0.0,0.0,0.014705882,0.0,0.0,0.014492754,0.029411765,0.032258064,0.012048192,0.046511628,0.6666667,0.0,0.0,0.027777778,0.08,0.05,1.0
