Source\Target,diabetes_B1.P.;pFd9_Glucose,diabetes_B1.B.,diabetes_B1.Sk,diabetes_B1.Insulin,diabetes_B1.BM,diabetes_B1.DiabetesPedigreeFunction,diabetes_B1.Age,diabetes_B1.Outcome
diabetes_A1.Age,0.44166666,0.45454547,0.45555556,0.5263158,0.53424656,0.46902654,0.6075949,0.0
diabetes_A1.BloodPressure,0.338843,0.5394737,0.27659574,0.42553192,0.07446808,0.35964912,0.3181818,0.02173913
diabetes_A1.JMb0XFpkj3,0.8114754,0.7254902,0.64220184,0.9108911,0.33333334,0.877193,0.69902915,0.00952381
diabetes_A1.Pregnancies,0.053846154,0.0952381,0.15853658,0.07920792,0.013333334,0.05691057,0.04597701,0.22222222
diabetes_A1.BMI,0.25,0.23809524,0.33,0.3125,0.9322034,0.38842976,0.34375,0.016949153
diabetes_A1.DiabetesPedigreeFunction,0.73134327,0.62608695,0.57024795,0.7894737,0.425,0.99115044,0.6315789,0.0
diabetes_A2.BloodPressure,0.338843,0.5394737,0.27659574,0.42553192,0.07446808,0.35964912,0.3181818,0.02173913
diabetes_A2.Insulin,0.71311474,0.7263158,0.6213592,0.9255319,0.35779816,0.7719298,0.7157895,0.010752688
diabetes_A2.Outcome,0.008196721,0.012987013,0.025316456,0.010638298,0.016393442,0.0,0.0,0.6
diabetes_A2.dP,0.4031008,0.41666666,0.59770113,0.5,0.42857143,0.41463414,0.4673913,0.06451613
diabetes_A2.Pregnancies,0.053846154,0.0952381,0.15853658,0.07920792,0.013333334,0.05691057,0.04597701,0.22222222
diabetes_A2.Alter,0.40983605,0.47674417,0.42857143,0.48453608,0.5,0.4347826,0.5949367,0.0
diabetes_A2.7AJ4lu,0.795082,0.7227723,0.6238532,0.91,0.3277311,0.8596491,0.6960784,0.009708738
diabetes_A2.DiabetesPedigreeFunction,0.73134327,0.62608695,0.57024795,0.7894737,0.425,0.99115044,0.6315789,0.0
