Source\Target,gym_B1.Age,gym_B1.Gender,gym_B1.Weight (kg),gym_B1.Height (m),gym_B1.Max_BPM,gym_B1.Avg_BPM,gym_B1.Resting_BPM,gym_B1.Session_Duration (hours),gym_B1.Calories_Burned,gym_B1.Workout_Type,gym_B1.Fat_Percentage,gym_B1.Water_Intake (liters),gym_B1.Workout_Frequency (days/week),gym_B1.Experience_Level,gym_B1.BMI
gym_A1.Age,1.0,0.04761905,0.08571429,0.8235294,0.95238096,0.84,0.5952381,0.28767124,0.07433628,0.0952381,0.18181819,0.54761904,0.0952381,0.071428575,0.06095791
gym_A1.Gender,0.04761905,1.0,0.0040816325,0.039215688,0.05,0.04,0.08,0.01369863,0.003539823,0.5,0.008658009,0.08695652,0.5,0.6666667,0.0029027576
gym_A1.Weight (kg),0.08219178,0.0039138943,0.9589041,0.099804305,0.078277886,0.09784736,0.04892368,0.2857143,0.9044248,0.007827789,0.4520548,0.045009784,0.007827789,0.0058708414,0.7416546
gym_A1.Height (m),0.8235294,0.039215688,0.10408163,1.0,0.78431374,0.98039216,0.49019608,0.34931508,0.09026549,0.078431375,0.22077923,0.4509804,0.078431375,0.05882353,0.07402032
gym_A1.Max_BPM,0.95238096,0.05,0.08163265,0.78431374,1.0,0.8,0.625,0.2739726,0.07079646,0.1,0.17316018,0.575,0.1,0.075,0.05805515
gym_A1.Avg_BPM,0.84,0.04,0.10204082,0.98039216,0.8,1.0,0.5,0.34246576,0.088495575,0.08,0.21645021,0.46,0.08,0.06,0.07256894
gym_A1.Resting_BPM,0.5952381,0.08,0.05102041,0.49019608,0.625,0.5,1.0,0.17123288,0.044247787,0.16,0.10822511,0.92,0.16,0.12,0.03628447
gym_A1.Session_Duration (hours),0.28767124,0.01369863,0.29795918,0.34931508,0.2739726,0.34246576,0.17123288,1.0,0.2584071,0.02739726,0.63203466,0.15753424,0.02739726,0.020547945,0.2119013
gym_A1.Calories_Burned,0.07118644,0.0033898305,0.8305085,0.086440675,0.06779661,0.084745765,0.042372882,0.24745762,0.9576271,0.006779661,0.39152542,0.03898305,0.006779661,0.0050847456,0.8563135
gym_A1.Workout_Type,0.0952381,0.5,0.008163265,0.078431375,0.1,0.08,0.16,0.02739726,0.007079646,1.0,0.017316017,0.17391305,1.0,0.75,0.005805515
gym_A1.Fat_Percentage,0.18025751,0.008583691,0.4755102,0.21888413,0.17167382,0.21459228,0.10729614,0.62660944,0.41238937,0.017167382,0.99141634,0.098712444,0.017167382,0.012875536,0.33817127
gym_A1.Water_Intake (liters),0.54761904,0.08695652,0.046938777,0.4509804,0.575,0.46,0.92,0.15753424,0.040707964,0.17391305,0.0995671,1.0,0.17391305,0.13043478,0.03338171
gym_A1.Workout_Frequency (days/week),0.0952381,0.5,0.008163265,0.078431375,0.1,0.08,0.16,0.02739726,0.007079646,1.0,0.017316017,0.17391305,1.0,0.75,0.005805515
gym_A1.Experience_Level,0.071428575,0.6666667,0.006122449,0.05882353,0.075,0.06,0.12,0.020547945,0.0053097345,0.75,0.012987013,0.13043478,0.75,1.0,0.0043541365
gym_A1.BMI,0.05874126,0.002797203,0.6853147,0.07132867,0.055944055,0.06993007,0.034965035,0.2041958,0.7902098,0.005594406,0.32307693,0.032167833,0.005594406,0.0041958042,0.96363634
