Source\Target,gym_B1.Age,gym_B1.Gender,gym_B1.Weight (kg),gym_B1.Height (m),gym_B1.Max_BPM,gym_B1.Avg_BPM,gym_B1.Resting_BPM,gym_B1.Session_Duration (hours),gym_B1.Calories_Burned,gym_B1.Workout_Type,gym_B1.Fat_Percentage,gym_B1.Water_Intake (liters),gym_B1.Workout_Frequency (days/week),gym_B1.Experience_Level,gym_B1.BMI
gym_A1.Age,1.0,0.0,0.25833333,0.10465116,0.023809524,0.7017544,0.1754386,0.35514018,0.3783784,0.0,0.25714287,0.0,0.0,0.0,0.35964912
gym_A1.Gender,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym_A1.Weight (kg),0.25833333,0.0,1.0,0.48623854,0.3909091,0.37815127,0.2293578,0.7815126,0.8333333,0.0,0.33620688,0.119266056,0.0,0.0,0.85
gym_A1.Height (m),0.10465116,0.0,0.48623854,1.0,0.59016395,0.2,0.39285713,0.5145631,0.41379312,0.0,0.08791209,0.13793103,0.0,0.0,0.46902654
gym_A1.Max_BPM,0.023809524,0.0,0.3909091,0.59016395,1.0,0.125,0.2777778,0.37383178,0.3963964,0.0,0.046511628,0.0,0.0,0.0,0.34188035
gym_A1.Avg_BPM,0.7017544,0.0,0.37815127,0.2,0.125,1.0,0.33333334,0.46296296,0.4954955,0.0,0.2625,0.0,0.0,0.0,0.46086955
gym_A1.Resting_BPM,0.1754386,0.0,0.2293578,0.39285713,0.2777778,0.33333334,1.0,0.20754717,0.22522523,0.0,0.0,0.0,0.0,0.0,0.18965517
gym_A1.Session_Duration (hours),0.35514018,0.0,0.7815126,0.5145631,0.37383178,0.46296296,0.20754717,1.0,0.78333336,0.0,0.31858408,0.115384616,0.0,0.0,0.91150445
gym_A1.Calories_Burned,0.3783784,0.0,0.8333333,0.41379312,0.3963964,0.4954955,0.22522523,0.78333336,1.0,0.0,0.30833334,0.033333335,0.0,0.0,0.8666667
gym_A1.Workout_Type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gym_A1.Fat_Percentage,0.25714287,0.0,0.33620688,0.08791209,0.046511628,0.2625,0.0,0.31858408,0.30833334,0.0,1.0,0.2826087,0.0,0.0,0.39473686
gym_A1.Water_Intake (liters),0.0,0.0,0.119266056,0.13793103,0.0,0.0,0.0,0.115384616,0.033333335,0.0,0.2826087,1.0,0.0,0.0,0.11504425
gym_A1.Workout_Frequency (days/week),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0
gym_A1.Experience_Level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0
gym_A1.BMI,0.35964912,0.0,0.85,0.46902654,0.34188035,0.46086955,0.18965517,0.91150445,0.8666667,0.0,0.39473686,0.11504425,0.0,0.0,1.0
