Source\Target,gym_B1.Ag,gym_B1.xR_Gender,gym_B1.Wei(k,gym_B1.He(m,gym_B1.MB,gym_B1.Avg_BPM,gym_B1.w_Resting_BPM,gym_B1.Session_Duration (hours),gym_B1.Calories_Burned,gym_B1.t87_Workout_Type,gym_B1.Fat_Percentage,gym_B1.Water_Intake (liters),gym_B1.Workout_Frequency (days/week),gym_B1.N_Experience_Level,gym_B1.BMI
gym_A1.Weight (kg),0.0877551,0.014285714,0.9285714,0.10408163,0.08367347,0.10612245,0.053061225,0.30204082,0.9533074,0.02244898,0.47346938,0.073469386,0.010204081,0.006122449,0.8305085
gym_A1.Height (m),0.84313726,0.13725491,0.11208791,1.0,0.8039216,0.9807692,0.50980395,0.3445946,0.09922179,0.21568628,0.21982759,0.7058824,0.09803922,0.05882353,0.086440675
gym_A1.Max_BPM,0.9302326,0.175,0.08791209,0.78431374,0.9756098,0.7692308,0.65,0.27027026,0.07782101,0.275,0.1724138,0.9,0.125,0.075,0.06779661
gym_A1.Avg_BPM,0.6056338,0.09859155,0.15604396,0.7183099,0.57746476,0.73239434,0.36619717,0.47972974,0.13813229,0.15492958,0.30603448,0.5070422,0.07042254,0.04225352,0.120338984
gym_A1.Resting_BPM,0.97727275,0.1590909,0.0967033,0.8627451,0.9318182,0.84615386,0.59090906,0.2972973,0.08560311,0.25,0.18965517,0.8181818,0.11363637,0.06818182,0.07457627
gym_A1.Calories_Burned,0.07557118,0.012302285,0.7996485,0.08963093,0.07205624,0.091388404,0.045694202,0.26010546,0.9033392,0.019332161,0.40773287,0.06326889,0.008787346,0.0052724076,0.9644068
gym_A1.Fat_Percentage,0.18376069,0.02991453,0.51428574,0.21794872,0.17521368,0.22222222,0.11111111,0.63247865,0.45525292,0.047008548,0.991453,0.15384616,0.021367522,0.012820513,0.39661017
gym_A1.Water_Intake (liters),0.55128205,0.08974359,0.17142858,0.65384614,0.525641,0.6666667,0.33333334,0.527027,0.15175097,0.14102565,0.33620688,0.46153846,0.06410257,0.03846154,0.13220339
gym_A2.Age,0.9767442,0.16666667,0.092307694,0.8235294,0.97619045,0.8076923,0.61904764,0.2837838,0.08171206,0.26190478,0.18103448,0.85714287,0.11904762,0.071428575,0.07118644
gym_A2.Weight (kg),0.0877551,0.014285714,0.9285714,0.10408163,0.08367347,0.10612245,0.053061225,0.30204082,0.9533074,0.02244898,0.47346938,0.073469386,0.010204081,0.006122449,0.8305085
gym_A2.Fat_Percentage,0.18376069,0.02991453,0.51428574,0.21794872,0.17521368,0.22222222,0.11111111,0.63247865,0.45525292,0.047008548,0.991453,0.15384616,0.021367522,0.012820513,0.39661017
gym_A3.Gender,0.41860464,0.3888889,0.03956044,0.3529412,0.4390244,0.34615386,0.6923077,0.12162162,0.035019454,0.6111111,0.077586204,0.5,0.2777778,0.16666667,0.030508475
gym_A3.Weight (kg),0.0877551,0.014285714,0.9285714,0.10408163,0.08367347,0.10612245,0.053061225,0.30204082,0.9533074,0.02244898,0.47346938,0.073469386,0.010204081,0.006122449,0.8305085
gym_A3.Height (m),0.84313726,0.13725491,0.11208791,1.0,0.8039216,0.9807692,0.50980395,0.3445946,0.09922179,0.21568628,0.21982759,0.7058824,0.09803922,0.05882353,0.086440675
gym_A3.Max_BPM,0.8113208,0.13207547,0.11648352,0.9622642,0.7735849,0.9811321,0.49056605,0.3581081,0.10311284,0.20754717,0.22844827,0.6792453,0.094339624,0.056603774,0.08983051
gym_A3.Avg_BPM,0.7288136,0.118644066,0.12967034,0.86440676,0.69491524,0.88135594,0.44067797,0.39864865,0.11478599,0.18644068,0.25431034,0.6101695,0.084745765,0.050847456,0.1
gym_A3.Resting_BPM,0.5813953,0.28,0.054945055,0.49019608,0.6097561,0.48076922,0.96153843,0.16891892,0.04863813,0.44,0.10775862,0.6944444,0.2,0.12,0.042372882
gym_A3.Session_Duration (hours),0.27388534,0.044585988,0.34505495,0.32484075,0.2611465,0.3312102,0.1656051,0.9426752,0.30544746,0.070063695,0.67672414,0.22929937,0.031847134,0.01910828,0.2661017
gym_A3.Calories_Burned,0.07557118,0.012302285,0.7996485,0.08963093,0.07205624,0.091388404,0.045694202,0.26010546,0.9033392,0.019332161,0.40773287,0.06326889,0.008787346,0.0052724076,0.9644068
gym_A3.Workout_Type,0.53488374,0.3043478,0.05054945,0.4509804,0.5609756,0.44230768,0.88461536,0.1554054,0.04474708,0.47826087,0.09913793,0.6388889,0.2173913,0.13043478,0.03898305
gym_A3.Workout_Frequency (days/week),0.1627907,1.0,0.015384615,0.13725491,0.17073171,0.13461539,0.26923078,0.0472973,0.013618677,0.6363636,0.030172413,0.19444445,0.71428573,0.42857143,0.011864407
gym_A3.Experience_Level,0.13953489,0.85714287,0.013186813,0.11764706,0.14634146,0.115384616,0.23076923,0.04054054,0.0116731515,0.54545456,0.02586207,0.16666667,0.8333333,0.5,0.010169491
gym_A3.BMI,0.061166428,0.009957326,0.64722615,0.07254623,0.05832148,0.07396871,0.036984354,0.21052632,0.7311522,0.015647227,0.33001423,0.051209103,0.0071123755,0.0042674253,0.83926034
