Source\Target,gym_B1.Ag,gym_B1.xR_Gender,gym_B1.Wei(k,gym_B1.He(m,gym_B1.MB,gym_B1.Avg_BPM,gym_B1.w_Resting_BPM,gym_B1.Session_Duration (hours),gym_B1.Calories_Burned,gym_B1.t87_Workout_Type,gym_B1.Fat_Percentage,gym_B1.Water_Intake (liters),gym_B1.Workout_Frequency (days/week),gym_B1.N_Experience_Level,gym_B1.BMI
gym_A1.Weight (kg),0.26666668,0.0,0.981982,0.48623854,0.4090909,0.4,0.23853211,0.76859504,0.8333333,0.0,0.40336135,0.20535715,0.0,0.0,0.85
gym_A1.Height (m),0.10344828,0.0,0.4774775,1.0,0.5714286,0.19148937,0.4107143,0.50476193,0.41379312,0.0,0.15625,0.234375,0.0,0.0,0.46902654
gym_A1.Max_BPM,0.023529412,0.0,0.38392857,0.59016395,0.95652175,0.15730338,0.2962963,0.36697248,0.3963964,0.0,0.12087912,0.12903225,0.0,0.0,0.34188035
gym_A1.Avg_BPM,0.56578946,0.0,0.55833334,0.27722773,0.28421053,0.70886075,0.24390244,0.6017699,0.6846847,0.0,0.30097088,0.10869565,0.0,0.0,0.60169494
gym_A1.Resting_BPM,0.17567568,0.0,0.3963964,0.6166667,0.5254237,0.30379745,0.5555556,0.36697248,0.3963964,0.0,0.0625,0.07692308,0.0,0.0,0.34188035
gym_A1.Calories_Burned,0.3873874,0.0,0.85,0.41379312,0.4144144,0.5315315,0.23423423,0.7704918,1.0,0.0,0.40833333,0.14166667,0.0,0.0,0.8666667
gym_A1.Fat_Percentage,0.27142859,0.0,0.34188035,0.08791209,0.057471264,0.2962963,0.0,0.31304348,0.30833334,0.0,0.79310346,0.2857143,0.0,0.0,0.39473686
gym_A1.Water_Intake (liters),0.24050634,0.0,0.44347826,0.36708862,0.21686748,0.26666668,0.15714286,0.4814815,0.38333333,0.0,0.3452381,0.32786885,0.0,0.0,0.48672566
gym_A2.Age,0.9767442,0.0,0.275,0.10465116,0.03529412,0.68333334,0.1724138,0.34862384,0.3783784,0.0,0.2820513,0.0625,0.0,0.0,0.35964912
gym_A2.Weight (kg),0.26666668,0.0,0.981982,0.48623854,0.4090909,0.4,0.23853211,0.76859504,0.8333333,0.0,0.40336135,0.20535715,0.0,0.0,0.85
gym_A2.Fat_Percentage,0.27142859,0.0,0.34188035,0.08791209,0.057471264,0.2962963,0.0,0.31304348,0.30833334,0.0,0.79310346,0.2857143,0.0,0.0,0.39473686
gym_A3.Gender,0.011627907,0.19565217,0.013071896,0.010416667,0.011235955,0.009803922,0.014492754,0.013605442,0.013071896,0.0,0.0,0.0,0.0,0.0,0.012903226
gym_A3.Weight (kg),0.26666668,0.0,0.981982,0.48623854,0.4090909,0.4,0.23853211,0.76859504,0.8333333,0.0,0.40336135,0.20535715,0.0,0.0,0.85
gym_A3.Height (m),0.10344828,0.0,0.4774775,1.0,0.5714286,0.19148937,0.4107143,0.50476193,0.41379312,0.0,0.15625,0.234375,0.0,0.0,0.46902654
gym_A3.Max_BPM,0.16091955,0.0,0.45689654,0.5,0.73333335,0.3,0.25373134,0.48181817,0.5225225,0.0,0.23404256,0.15068494,0.0,0.0,0.46153846
gym_A3.Avg_BPM,0.64615387,0.0,0.45833334,0.23157895,0.20879121,0.8358209,0.2857143,0.5225225,0.5765766,0.0,0.32608697,0.09756097,0.0,0.0,0.5258621
gym_A3.Resting_BPM,0.1724138,0.0,0.22522523,0.39285713,0.26785713,0.33333334,0.96153843,0.2037037,0.22522523,0.0,0.050632913,0.02,0.0,0.0,0.18965517
gym_A3.Session_Duration (hours),0.36448598,0.0,0.79831934,0.5145631,0.39252338,0.48623854,0.21698113,0.9809524,0.78333336,0.0,0.42477876,0.24038461,0.0,0.0,0.91150445
gym_A3.Calories_Burned,0.3873874,0.0,0.85,0.41379312,0.4144144,0.5315315,0.23423423,0.7704918,1.0,0.0,0.40833333,0.14166667,0.0,0.0,0.8666667
gym_A3.Workout_Type,0.0,0.012987013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777778,0.0,0.0,0.0,0.0,0.0
gym_A3.Workout_Frequency (days/week),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009,0.0,0.0,0.0,0.0,0.5,0.25,0.0
gym_A3.Experience_Level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018348623,0.0,0.0,0.0,0.0,0.8333333,0.5,0.0
gym_A3.BMI,0.36842105,0.0,0.8666667,0.46902654,0.35897437,0.4827586,0.19827586,0.8956522,0.8666667,0.0,0.5,0.2300885,0.0,0.0,1.0
