Source\Target,gym_B1.Ag,gym_B1.xR_Gender,gym_B1.Wei(k,gym_B1.He(m,gym_B1.MB,gym_B1.Avg_BPM,gym_B1.w_Resting_BPM,gym_B1.Session_Duration (hours),gym_B1.Calories_Burned,gym_B1.t87_Workout_Type,gym_B1.Fat_Percentage,gym_B1.Water_Intake (liters),gym_B1.Workout_Frequency (days/week),gym_B1.N_Experience_Level,gym_B1.BMI
gym_A1.Weight (kg),0.090909064,0.0,0.45454544,0.18181819,0.0,0.090909064,0.07692307,0.25,0.06666666,0.125,0.0714286,0.28571427,0.17241377,0.111111104,0.0
gym_A1.Height (m),0.100000024,0.0,0.3,0.39999998,0.0,0.100000024,0.07692307,0.25,0.06666666,0.0625,0.0714286,0.23809522,0.13793105,0.111111104,0.0
gym_A1.Max_BPM,0.0,0.0,0.0,0.0,0.28571427,0.57142854,0.3076923,0.041666687,0.19999999,0.0625,0.14285713,0.09523809,0.034482777,0.111111104,0.14285713
gym_A1.Avg_BPM,0.28571427,0.0,0.0,0.0,0.14285713,1.0,0.38461536,0.041666687,0.13333333,0.0625,0.0714286,0.047619045,0.034482777,0.055555582,0.14285713
gym_A1.Resting_BPM,0.090909064,0.090909064,0.18181819,0.090909064,0.090909064,0.45454544,0.84615386,0.20833331,0.19999999,0.0625,0.0714286,0.09523809,0.068965495,0.16666669,0.090909064
gym_A1.Calories_Burned,0.0,0.13333333,0.06666666,0.06666666,0.06666666,0.13333333,0.13333333,0.16666669,1.0,0.125,0.13333333,0.14285713,0.13793105,0.22222221,0.06666666
gym_A1.Fat_Percentage,0.0714286,0.21428573,0.0714286,0.0714286,0.0,0.0714286,0.14285713,0.125,0.13333333,0.25,1.0,0.28571427,0.24137932,0.2777778,0.0
gym_A1.Water_Intake (liters),0.0,0.19047618,0.14285713,0.09523809,0.0,0.047619045,0.09523809,0.25,0.14285713,0.14285713,0.28571427,1.0,0.24137932,0.14285713,0.047619045
gym_A2.Age,0.6666666,0.111111104,0.0,0.0,0.0,0.28571427,0.07692307,0.0,0.06666666,0.0625,0.14285713,0.047619045,0.034482777,0.055555582,0.0
gym_A2.Weight (kg),0.090909064,0.0,0.45454544,0.18181819,0.0,0.090909064,0.07692307,0.25,0.06666666,0.125,0.0714286,0.28571427,0.17241377,0.111111104,0.0
gym_A2.Fat_Percentage,0.0714286,0.21428573,0.0714286,0.0714286,0.0,0.0714286,0.14285713,0.125,0.13333333,0.25,1.0,0.28571427,0.24137932,0.2777778,0.0
gym_A3.Gender,0.0,0.6666666,0.16666669,0.16666669,0.0,0.0,0.15384614,0.125,0.13333333,0.0625,0.14285713,0.19047618,0.13793105,0.16666669,0.0
gym_A3.Weight (kg),0.090909064,0.0,0.45454544,0.18181819,0.0,0.090909064,0.07692307,0.25,0.06666666,0.125,0.0714286,0.28571427,0.17241377,0.111111104,0.0
gym_A3.Height (m),0.100000024,0.0,0.3,0.39999998,0.0,0.100000024,0.07692307,0.25,0.06666666,0.0625,0.0714286,0.23809522,0.13793105,0.111111104,0.0
gym_A3.Max_BPM,0.0,0.0,0.0,0.0,0.28571427,0.57142854,0.3076923,0.041666687,0.19999999,0.0625,0.14285713,0.09523809,0.034482777,0.111111104,0.14285713
gym_A3.Avg_BPM,0.28571427,0.0,0.0,0.0,0.14285713,1.0,0.38461536,0.041666687,0.13333333,0.0625,0.0714286,0.047619045,0.034482777,0.055555582,0.14285713
gym_A3.Resting_BPM,0.090909064,0.090909064,0.18181819,0.090909064,0.090909064,0.45454544,0.84615386,0.20833331,0.19999999,0.0625,0.0714286,0.09523809,0.068965495,0.16666669,0.090909064
gym_A3.Session_Duration (hours),0.0,0.125,0.125,0.08333331,0.0,0.041666687,0.16666669,1.0,0.16666669,0.125,0.125,0.25,0.17241377,0.125,0.0
gym_A3.Calories_Burned,0.0,0.13333333,0.06666666,0.06666666,0.06666666,0.13333333,0.13333333,0.16666669,1.0,0.125,0.13333333,0.14285713,0.13793105,0.22222221,0.06666666
gym_A3.Workout_Type,0.0,0.0,0.08333331,0.0,0.0,0.08333331,0.0,0.125,0.19999999,0.75,0.0714286,0.19047618,0.3448276,0.16666669,0.0
gym_A3.Workout_Frequency (days/week),0.0,0.17241377,0.13793105,0.068965495,0.0,0.034482777,0.10344827,0.17241377,0.13793105,0.20689654,0.24137932,0.24137932,1.0,0.17241377,0.0
gym_A3.Experience_Level,0.0,0.25,0.125,0.0625,0.0,0.0625,0.1875,0.125,0.25,0.0625,0.25,0.23809522,0.17241377,0.8888889,0.0
gym_A3.BMI,0.0,0.0,0.0,0.0,0.3333333,0.14285713,0.07692307,0.0,0.06666666,0.0,0.0,0.047619045,0.0,0.0,1.0
