Source\Target,mental_B1.Employee_ID,mental_B1.Age,mental_B1.Gender,mental_B1.Job_Role,mental_B1.Industry,mental_B1.Years_of_Experience,mental_B1.Work_Location,mental_B1.Hours_Worked_Per_Week,mental_B1.Number_of_Virtual_Meetings,mental_B1.Work_Life_Balance_Rating,mental_B1.Stress_Level,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Productivity_Change,mental_B1.Social_Isolation_Rating,mental_B1.Satisfaction_with_Remote_Work,mental_B1.Company_Support_for_Remote_Work,mental_B1.Physical_Activity,mental_B1.Sleep_Quality,mental_B1.Region
mental_A1.Employee_ID,1.0,0.090909064,0.090909064,0.090909064,0.0,0.15789473,0.07692307,0.19047618,0.15384614,0.125,0.08333331,0.121212125,0.052631557,0.13043481,0.13793105,0.19354838,0.058823526,0.07692307,0.090909064
mental_A1.Age,0.090909064,1.0,0.16666669,0.125,0.0,0.052631557,0.0,0.047619045,0.038461566,0.041666687,0.08333331,0.060606062,0.10526317,0.0,0.034482777,0.032258093,0.058823526,0.07692307,0.16666669
mental_A1.Job_Role,0.090909064,0.125,0.0,1.0,0.0,0.15789473,0.23076922,0.19047618,0.15384614,0.16666669,0.16666669,0.15151513,0.15789473,0.17391306,0.17241377,0.16129035,0.058823526,0.15384614,0.125
mental_A1.Industry,0.0,0.0,0.25,0.0,1.0,0.10526317,0.07692307,0.09523809,0.07692307,0.08333331,0.08333331,0.090909064,0.21052629,0.13043481,0.10344827,0.12903225,0.11764705,0.15384614,0.0
mental_A1.Years_of_Experience,0.15789473,0.052631557,0.15789473,0.15789473,0.10526317,1.0,0.21052629,0.28571427,0.23076922,0.16666669,0.21052629,0.21212119,0.10526317,0.0869565,0.17241377,0.19354838,0.10526317,0.10526317,0.15789473
mental_A1.Work_Location,0.07692307,0.0,0.0,0.23076922,0.07692307,0.21052629,1.0,0.23809522,0.19230771,0.4166667,0.07692307,0.15151513,0.15789473,0.34782606,0.13793105,0.19354838,0.11764705,0.15384614,0.23076922
mental_A1.Hours_Worked_Per_Week,0.19047618,0.047619045,0.14285713,0.19047618,0.09523809,0.28571427,0.23809522,1.0,0.19230771,0.125,0.19047618,0.27272725,0.09523809,0.13043481,0.24137932,0.32258064,0.09523809,0.09523809,0.047619045
mental_A1.Number_of_Virtual_Meetings,0.15384614,0.038461566,0.07692307,0.15384614,0.07692307,0.23076922,0.19230771,0.19230771,1.0,0.23076922,0.11538464,0.24242425,0.19230771,0.26923078,0.13793105,0.22580647,0.19230771,0.23076922,0.11538464
mental_A1.Work_Life_Balance_Rating,0.125,0.041666687,0.125,0.16666669,0.08333331,0.16666669,0.4166667,0.125,0.23076922,1.0,0.125,0.21212119,0.125,0.4166667,0.10344827,0.12903225,0.20833331,0.125,0.08333331
mental_A1.Stress_Level,0.08333331,0.08333331,0.16666669,0.16666669,0.08333331,0.21052629,0.07692307,0.19047618,0.11538464,0.125,1.0,0.21212119,0.10526317,0.13043481,0.17241377,0.16129035,0.11764705,0.15384614,0.08333331
mental_A1.Mental_Health_Condition,0.13043481,0.04347825,0.13043481,0.0869565,0.0869565,0.13043481,0.26086956,0.0869565,0.15384614,0.16666669,0.13043481,0.42424244,0.13043481,0.3043478,0.17241377,0.19354838,0.21739131,0.21739131,0.17391306
mental_A1.Access_to_Mental_Health_Resources,0.121212125,0.060606062,0.121212125,0.15151513,0.090909064,0.21212119,0.15151513,0.27272725,0.24242425,0.21212119,0.21212119,1.0,0.15151513,0.15151513,0.24242425,0.15151513,0.15151513,0.15151513,0.090909064
mental_A1.Productivity_Change,0.052631557,0.10526317,0.052631557,0.15789473,0.21052629,0.10526317,0.15789473,0.09523809,0.19230771,0.125,0.10526317,0.15151513,1.0,0.13043481,0.24137932,0.09677422,0.15789473,0.10526317,0.10526317
mental_A1.Social_Isolation_Rating,0.13043481,0.0,0.04347825,0.17391306,0.13043481,0.0869565,0.34782606,0.13043481,0.26923078,0.4166667,0.13043481,0.15151513,0.13043481,1.0,0.24137932,0.2580645,0.21739131,0.21739131,0.13043481
mental_A1.Satisfaction_with_Remote_Work,0.13793105,0.034482777,0.10344827,0.17241377,0.10344827,0.17241377,0.13793105,0.24137932,0.13793105,0.10344827,0.17241377,0.24242425,0.24137932,0.24137932,1.0,0.41935486,0.17241377,0.10344827,0.10344827
mental_A1.Company_Support_for_Remote_Work,0.19354838,0.032258093,0.09677422,0.16129035,0.12903225,0.19354838,0.19354838,0.32258064,0.22580647,0.12903225,0.16129035,0.15151513,0.09677422,0.2580645,0.41935486,1.0,0.09677422,0.09677422,0.09677422
mental_A1.Physical_Activity,0.058823526,0.058823526,0.0,0.058823526,0.11764705,0.10526317,0.11764705,0.09523809,0.19230771,0.20833331,0.11764705,0.15151513,0.15789473,0.21739131,0.17241377,0.09677422,1.0,0.2352941,0.058823526
mental_A1.Sleep_Quality,0.07692307,0.07692307,0.07692307,0.15384614,0.15384614,0.10526317,0.15384614,0.09523809,0.23076922,0.125,0.15384614,0.15151513,0.10526317,0.21739131,0.10344827,0.09677422,0.2352941,1.0,0.15384614
mental_A1.Region,0.090909064,0.16666669,0.16666669,0.125,0.0,0.15789473,0.23076922,0.047619045,0.11538464,0.08333331,0.08333331,0.090909064,0.10526317,0.13043481,0.10344827,0.09677422,0.058823526,0.15384614,1.0
