Source\Target,mental_B1.Employee_ID,mental_B1.Age,mental_B1.Gender,mental_B1.Job_Role,mental_B1.Industry,mental_B1.Work_Location,mental_B1.Number_of_Virtual_Meetings,mental_B1.Work_Life_Balance_Rating,mental_B1.Stress_Level,mental_B1.Mental_Health_Condition,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Satisfaction_with_Remote_Work,mental_B1.Company_Support_for_Remote_Work,mental_B1.Physical_Activity,mental_B1.Sleep_Quality
mental_A1.Employee_ID,1.0,0.017,8.0E-4,0.0846,0.0014,6.0E-4,0.0032,0.0026,6.0E-4,8.0E-4,0.009,6.0E-4,0.001,6.0E-4,6.0E-4
mental_A1.Age,0.0078,0.45882353,0.102564104,0.09219858,0.17948718,0.07692308,0.41025642,0.33333334,0.07692308,0.102564104,0.8666667,0.07692308,0.12820514,0.07692308,0.07692308
mental_A1.G.,8.0E-4,0.047058824,1.0,0.009456265,0.5714286,0.75,0.25,0.30769232,0.75,1.0,0.08888889,0.75,0.8,0.75,0.75
mental_A1.Job_Role,0.0014,0.08235294,0.5714286,0.016548464,1.0,0.42857143,0.4375,0.53846157,0.42857143,0.5714286,0.15555556,0.42857143,0.71428573,0.42857143,0.42857143
mental_A1.Years_of_Experience,0.007,0.4117647,0.114285715,0.08274232,0.2,0.08571429,0.45714286,0.37142858,0.08571429,0.114285715,0.7777778,0.08571429,0.14285715,0.08571429,0.08571429
mental_A1.Work_Location,0.0334,0.50898206,0.023952097,0.39479905,0.04191617,0.017964073,0.09580839,0.077844314,0.017964073,0.023952097,0.26946107,0.017964073,0.029940119,0.017964073,0.017964073
mental_A1.Hours_Worked_Per_Week,0.0082,0.48235294,0.09756097,0.09692671,0.17073171,0.07317073,0.3902439,0.31707317,0.07317073,0.09756097,0.9111111,0.07317073,0.12195122,0.07317073,0.07317073
mental_A1.Work_Life_Balance_Rating,0.0018,0.105882354,0.44444445,0.021276595,0.7777778,0.33333334,0.5625,0.6923077,0.33333334,0.44444445,0.2,0.33333334,0.5555556,0.33333334,0.33333334
mental_A1.Stress_Level,6.0E-4,0.03529412,0.75,0.0070921984,0.42857143,1.0,0.1875,0.23076923,1.0,0.75,0.06666667,1.0,0.6,1.0,1.0
mental_A1.Mental_Health_Condition,8.0E-4,0.047058824,1.0,0.009456265,0.5714286,0.75,0.25,0.30769232,0.75,1.0,0.08888889,0.75,0.8,0.75,0.75
mental_A1.E5bz_Access_to_Mental_Health_Resources,0.0408,0.41666666,0.019607844,0.4822695,0.034313727,0.014705882,0.078431375,0.063725494,0.014705882,0.019607844,0.22058824,0.014705882,0.024509804,0.014705882,0.014705882
mental_A1.Productivity_Change,6.0E-4,0.03529412,0.75,0.0070921984,0.42857143,1.0,0.1875,0.23076923,1.0,0.75,0.06666667,1.0,0.6,1.0,1.0
mental_A1.Social_Isolation_Rating,0.001,0.05882353,0.8,0.011820331,0.71428573,0.6,0.3125,0.3846154,0.6,0.8,0.11111111,0.6,1.0,0.6,0.6
mental_A1.Zufriedenheit_mit_Remote_Arbeit,0.0322,0.5279503,0.024844721,0.38061467,0.04347826,0.01863354,0.099378884,0.08074534,0.01863354,0.024844721,0.2795031,0.01863354,0.031055901,0.01863354,0.01863354
mental_A1.myHt,6.0E-4,0.03529412,0.75,0.0070921984,0.42857143,1.0,0.1875,0.23076923,1.0,0.75,0.06666667,1.0,0.6,1.0,1.0
mental_A1.Region,0.0012,0.07058824,0.6666667,0.014184397,0.85714287,0.5,0.375,0.46153846,0.5,0.6666667,0.13333334,0.5,0.8333333,0.5,0.5
