Source\Target,mental_B1.vX7Wu,mental_B1.Stress_Level,mental_B1.Hours_Worked_Per_Week,mental_B1.Job_Role,mental_B1.industriousness,mental_B1.Employee_ID,mental_B1.Social_Isolation_Rating,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Age,mental_B1.Physical_Activity,mental_B1.Years_of_Experience,mental_B2.keep company financial backing  remote control do work,mental_B2.DHIHOrvRCC,mental_B2.Stress_Level,mental_B2.Sleep_Quality,mental_B2.Hours_Worked_Per_Week,mental_B2.Age,mental_B2.Social_Isolation_Rating,mental_B2.Years_of_Experience,mental_B2.Job_Role,mental_B2.1f,mental_B2.Access_to_Mental_Health_Resources,mental_B2.Physical_Activity,mental_B2.do work situating
mental_A1.Hours_Worked_Per_Week,0.0,0.0,0.6212121,0.0,0.0,0.6111111,0.0,0.0,0.59090906,0.0,0.1882353,0.0,0.0,0.0,0.0,0.6212121,0.59090906,0.0,0.1882353,0.0,0.0018691589,0.0,0.0,0.00877193
mental_A1.Company_Support_for_Remote_Work,0.75,0.0,0.0,0.0,0.0,0.00862069,0.5555556,0.0,0.0,0.0,0.25714287,0.6923077,0.0,0.0,0.0,0.0,0.0,0.5555556,0.25714287,0.0,0.0,0.0,0.0,0.0
mental_A1.Age,0.0,0.0,0.9512195,0.0,0.0,0.3611111,0.0,0.0,1.0,0.0,0.23333333,0.0,0.0,0.0,0.0,0.9512195,1.0,0.0,0.23333333,0.0,0.0,0.0,0.0,0.006329114
mental_A1.Employee_ID,0.0018939395,0.0019011407,0.079303674,0.001754386,0.014519056,0.20889749,0.0,0.0,0.07543521,0.0018975332,0.04942966,0.0018903592,0.0,0.0019011407,0.0,0.079303674,0.07543521,0.0,0.04942966,0.001754386,0.04223865,0.0,0.0018975332,0.036458332
mental_A1.Social_Isolation_Rating,0.75,0.0,0.0,0.0,0.0,0.00862069,0.5555556,0.0,0.0,0.0,0.25714287,0.6923077,0.0,0.0,0.0,0.0,0.0,0.5555556,0.25714287,0.0,0.0,0.0,0.0,0.0
mental_A1.tenseness horizontal surface,0.0,0.029673591,0.0026525198,0.020887729,0.02710027,0.009070295,0.0,0.0,0.0,0.0057803467,0.0026954177,0.0,0.016620498,0.029673591,0.0028818443,0.0026525198,0.0,0.0,0.0026954177,0.020887729,0.06887417,0.0,0.0057803467,0.051194537
mental_A1.Gender,0.0,0.0,0.0,0.13333334,0.10606061,0.0,0.0,0.030303031,0.0,0.05,0.0,0.0,0.033898305,0.0,0.024390243,0.0,0.0,0.0,0.0,0.13333334,0.035123967,0.030303031,0.05,0.026490066
mental_A1.Industry,0.0,0.004514673,0.002105263,0.033826638,0.096551724,0.0036968577,0.0,0.0,0.0021141649,0.006772009,0.0021321962,0.0,0.024229076,0.004514673,0.0,0.002105263,0.0021141649,0.0,0.0021321962,0.033826638,0.111793615,0.0,0.006772009,0.059347183
mental_A1.Number_of_Virtual_Meetings,0.64705884,0.0,0.0,0.0,0.0,0.050847456,0.3125,0.0,0.0,0.0,0.41666666,0.6111111,0.0,0.0,0.0,0.0,0.0,0.3125,0.41666666,0.0,0.0,0.0,0.0,0.0
mental_A1.Work_Life_Balance_Rating,0.41666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285715,0.3846154,0.0,0.0,0.0,0.0,0.0,1.0,0.14285715,0.0,0.0,0.0,0.0,0.0
mental_A2.Work_Life_Balance_Rating,0.41666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285715,0.3846154,0.0,0.0,0.0,0.0,0.0,1.0,0.14285715,0.0,0.0,0.0,0.0,0.0
mental_A2.Industry,0.0,0.0022172949,0.00625,0.037656903,0.095022626,0.0091743115,0.0,0.0,0.0041753654,0.008908686,0.004210526,0.0,0.02832244,0.0022172949,0.0022123894,0.00625,0.0041753654,0.0,0.004210526,0.037656903,0.12592593,0.0,0.008908686,0.072916664
mental_A2.Gender,0.0,0.0,0.0,0.13333334,0.10606061,0.0,0.0,0.030303031,0.0,0.05,0.0,0.0,0.033898305,0.0,0.024390243,0.0,0.0,0.0,0.0,0.13333334,0.035123967,0.030303031,0.05,0.026490066
mental_A2.Hours_Worked_Per_Week,0.0,0.0,0.6212121,0.0,0.0,0.6111111,0.0,0.0,0.59090906,0.0,0.1882353,0.0,0.0,0.0,0.0,0.6212121,0.59090906,0.0,0.1882353,0.0,0.0018691589,0.0,0.0,0.00877193
mental_A2.Company_Support_for_Remote_Work,0.75,0.0,0.0,0.0,0.0,0.00862069,0.5555556,0.0,0.0,0.0,0.25714287,0.6923077,0.0,0.0,0.0,0.0,0.0,0.5555556,0.25714287,0.0,0.0,0.0,0.0,0.0
mental_A2.Satisfaction_with_Remote_Work,0.0,0.03846154,0.0,0.092307694,0.07272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02173913,0.03846154,0.037037037,0.0,0.0,0.0,0.0,0.092307694,0.023109244,0.0,0.0,0.024221454
mental_A2.Social_Isolation_Rating,0.75,0.0,0.0,0.0,0.0,0.00862069,0.5555556,0.0,0.0,0.0,0.25714287,0.6923077,0.0,0.0,0.0,0.0,0.0,0.5555556,0.25714287,0.0,0.0,0.0,0.0,0.0
mental_A2.Age,0.0,0.0,0.609375,0.0,0.0,0.5740741,0.0,0.0,0.62903225,0.0,0.16867469,0.0,0.0,0.0,0.0,0.609375,0.62903225,0.0,0.16867469,0.0,0.0018832391,0.0,0.0,0.00887574
mental_A3.Gender,0.0,0.0,0.0,0.13333334,0.10606061,0.0,0.0,0.030303031,0.0,0.05,0.0,0.0,0.033898305,0.0,0.024390243,0.0,0.0,0.0,0.0,0.13333334,0.035123967,0.030303031,0.05,0.026490066
mental_A3.Social_Isolation_Rating,0.75,0.0,0.0,0.0,0.0,0.00862069,0.5555556,0.0,0.0,0.0,0.25714287,0.6923077,0.0,0.0,0.0,0.0,0.0,0.5555556,0.25714287,0.0,0.0,0.0,0.0,0.0
mental_A3.Mental_Health_Condition,0.0,0.0,0.0,0.1,0.083333336,0.0,0.0,0.083333336,0.0,0.09677419,0.0,0.0,0.104166664,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.027083334,0.083333336,0.09677419,0.034246575
mental_A3.Industry,0.0,0.004464286,0.008385744,0.035639413,0.095454544,0.026217228,0.0,0.0022624435,0.008421052,0.008948546,0.012793177,0.0,0.019522777,0.004464286,0.0,0.008385744,0.008421052,0.0,0.012793177,0.035639413,0.12345679,0.0022624435,0.008948546,0.05891016
mental_A3.Work_Life_Balance_Rating,0.41666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285715,0.3846154,0.0,0.0,0.0,0.0,0.0,1.0,0.14285715,0.0,0.0,0.0,0.0,0.0
mental_A3.Company_Support_for_Remote_Work,0.75,0.0,0.0,0.0,0.0,0.00862069,0.5555556,0.0,0.0,0.0,0.25714287,0.6923077,0.0,0.0,0.0,0.0,0.0,0.5555556,0.25714287,0.0,0.0,0.0,0.0,0.0
mental_A3.Age,0.0,0.0,0.609375,0.0,0.0,0.5740741,0.0,0.0,0.62903225,0.0,0.16867469,0.0,0.0,0.0,0.0,0.609375,0.62903225,0.0,0.16867469,0.0,0.0018832391,0.0,0.0,0.00887574
mental_A3.Stress_Level,0.0,0.03125,0.01690141,0.01907357,0.02549575,0.036319613,0.0,0.0031055901,0.016997168,0.0060790274,0.011396011,0.0,0.017441861,0.03125,0.003030303,0.01690141,0.016997168,0.0,0.011396011,0.01907357,0.06469002,0.0031055901,0.0060790274,0.056437388
mental_A3.Number_of_Virtual_Meetings,0.64705884,0.0,0.0,0.0,0.0,0.050847456,0.3125,0.0,0.0,0.0,0.41666666,0.6111111,0.0,0.0,0.0,0.0,0.0,0.3125,0.41666666,0.0,0.0,0.0,0.0,0.0
mental_A4.4kLUm6dYdq,0.0,0.0045871558,0.006437768,0.043290045,0.098130845,0.011320755,0.0,0.0023255814,0.0064655175,0.009195402,0.0021645022,0.0,0.02690583,0.0045871558,0.0,0.006437768,0.0064655175,0.0,0.0021645022,0.043290045,0.13240857,0.0023255814,0.009195402,0.07446808
mental_A4.BELASTUNG STUFEI,0.0,0.03448276,0.015337423,0.020771513,0.018404908,0.023136247,0.0,0.0,0.015432099,0.010067114,0.00931677,0.0,0.01910828,0.03448276,0.0,0.015337423,0.015432099,0.0,0.00931677,0.020771513,0.05263158,0.0,0.010067114,0.0498155
mental_A4.Productivity_Change,0.0,0.0,0.0,0.092307694,0.09259259,0.0,0.0,0.05263158,0.0,0.037037037,0.0,0.0,0.06818182,0.0,0.037037037,0.0,0.0,0.0,0.0,0.092307694,0.025263159,0.05263158,0.037037037,0.01718213
mental_A4.Gender,0.0,0.0,0.0,0.13333334,0.10606061,0.0,0.0,0.030303031,0.0,0.05,0.0,0.0,0.033898305,0.0,0.024390243,0.0,0.0,0.0,0.0,0.13333334,0.035123967,0.030303031,0.05,0.026490066
mental_A4.neighborhood,0.0,0.004950495,0.0069124424,0.02739726,0.023364486,0.012048192,0.0,0.0025125628,0.0069444445,0.0074257427,0.0,0.0,0.07575758,0.004950495,0.0074257427,0.0069124424,0.0069444445,0.0,0.0,0.02739726,0.074441686,0.0025125628,0.0074257427,0.06635071
mental_A4.Number_of_Virtual_Meetings,0.64705884,0.0,0.0,0.0,0.0,0.050847456,0.3125,0.0,0.0,0.0,0.41666666,0.6111111,0.0,0.0,0.0,0.0,0.0,0.3125,0.41666666,0.0,0.0,0.0,0.0,0.0
mental_A4.Work_Location,0.0,0.0057803467,0.007978723,0.028871391,0.029810298,0.011337869,0.0,0.0,0.00802139,0.0057636886,0.0053908355,0.0,0.019390581,0.0057803467,0.0028735632,0.007978723,0.00802139,0.0,0.0053908355,0.028871391,0.071618035,0.0,0.0057636886,0.09010601
mental_A4.Hours_Worked_Per_Week,0.0,0.0,0.6212121,0.0,0.0,0.6111111,0.0,0.0,0.59090906,0.0,0.1882353,0.0,0.0,0.0,0.0,0.6212121,0.59090906,0.0,0.1882353,0.0,0.0018691589,0.0,0.0,0.00877193
mental_A4.Company_Support_for_Remote_Work,0.75,0.0,0.0,0.0,0.0,0.00862069,0.5555556,0.0,0.0,0.0,0.25714287,0.6923077,0.0,0.0,0.0,0.0,0.0,0.5555556,0.25714287,0.0,0.0,0.0,0.0,0.0
mental_A4.Age,0.0,0.0,0.9512195,0.0,0.0,0.3611111,0.0,0.0,1.0,0.0,0.23333333,0.0,0.0,0.0,0.0,0.9512195,1.0,0.0,0.23333333,0.0,0.0,0.0,0.0,0.006329114
mental_A4.Work_Life_Balance_Rating,0.41666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285715,0.3846154,0.0,0.0,0.0,0.0,0.0,1.0,0.14285715,0.0,0.0,0.0,0.0,0.0
