Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Fat_Percentage,Water_Intake (liters)
68.1,1.66,167,122,52,677.0,33.4,2.3
53.2,1.7,190,164,56,532.0,28.8,2.1
46.1,1.79,188,158,68,556.0,29.2,2.8
69.7,1.51,189,141,64,895.0,30.6,1.9
121.7,1.94,185,127,52,719.0,28.9,2.6
101.8,1.84,169,136,64,808.0,29.7,2.7
51.7,1.7,175,152,72,865.0,23.6,3.5
112.5,1.61,195,165,61,1013.0,22.1,2.37
42.5,1.75,181,131,52,740.0,26.2,2.1
43.8,1.77,182,127,58,884.0,31.9,1.6
66.8,1.75,199,146,56,742.0,32.8,2.5
75.2,1.67,188,167,51,1030.0,25.2,5.14
71.0,1.68,187,161,70,848.0,33.1,5.01
64.3,1.69,190,148,58,925.0,26.9,1.9
65.2,1.8,192,139,68,502.0,27.2,2.7
108.2,1.8,172,138,53,964.0,28.4,3.5
65.4,1.52,185,127,50,654.0,28.0,2.2
58.9,1.51,187,157,68,816.0,31.7,2.5
81.4,1.71,187,148,58,1237.0,10.2,3.29
127.6,1.73,167,160,62,1162.0,27.3,2.9
59.3,1.56,182,155,57,879.0,33.4,2.6
96.9,1.71,188,145,72,1069.0,24.2,2.9
45.5,1.6,166,163,64,1057.0,21.7,5.22
48.8,1.51,195,131,60,969.0,28.2,2.0
44.3,1.6,186,136,61,734.0,34.7,2.0
113.2,1.83,161,134,63,962.0,29.9,2.9
60.5,1.59,184,128,53,730.0,30.1,4.85
54.7,1.74,160,167,53,772.0,22.9,3.6
88.1,1.95,182,131,68,1016.0,22.7,3.0
79.7,1.54,184,144,59,742.0,26.7,2.3
51.0,1.62,162,158,53,1122.0,30.8,2.4
122.1,1.89,165,134,58,750.0,27.4,3.6
96.7,1.72,161,151,62,1046.0,25.0,2.8
73.0,1.79,177,125,87,506.0,27.7,1.6
114.8,1.6,182,163,60,1318.0,21.7,2.7
65.5,1.52,161,162,61,1021.0,31.2,2.1
50.3,1.52,171,154,67,832.0,32.2,4.91
61.0,1.71,181,153,61,1150.0,17.8,2.7
58.2,1.61,179,124,54,580.0,26.4,2.6
