Ag,xR_Gender,Wei(k,He(m,MB,Avg_BPM,w_Resting_BPM,Session_Duration (hours),Calories_Burned,t87_Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),N_Experience_Level,BMI
32,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4,2,24.71
25,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,18.41
35,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,14.39
40,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3,2,30.57
28,Male,121.7,1.94,185,127,52,1.03,719.0,Strength,28.9,2.6,4,2,32.34
28,Male,101.8,1.88,169,136,64,1.08,808.0,Cardio,29.7,2.7,3,1,30.07
53,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,17.89
57,Male,112.5,1.61,195,165,69,1.24,1013.0,Cardio,22.1,2.7,3,2,43.4
39,Female,42.5,1.75,181,131,52,1.13,740.0,,26.2,2.1,2,1,13.88
41,Female,43.8,1.77,182,165,58,1.19,884.0,Cardio,31.9,1.6,3,1,13.98
47,Female,66.8,1.66,199,146,56,1.13,742.0,Strength,32.8,2.5,3,2,21.81
55,Female,75.2,1.67,188,167,51,1.37,1030.0,HIIT,25.2,2.2,2,1,26.96
50,Female,71.0,1.68,187,161,70,1.17,848.0,Yoga,33.1,2.5,2,1,25.16
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,26.9,1.9,4,2,22.51
44,Male,65.2,1.8,192,139,68,0.73,502.0,HIIT,27.2,2.7,4,1,20.12
32,Male,108.2,1.8,172,138,53,1.27,964.0,HIIT,28.4,3.5,5,1,33.4
20,,65.4,1.52,185,127,50,1.03,654.0,Yoga,28.0,2.2,4,2,28.31
24,Female,58.9,1.51,174,157,68,1.04,816.0,Cardio,31.7,2.5,2,1,25.83
38,Male,81.4,1.71,187,148,58,1.52,1237.0,HIIT,10.2,3.5,5,3,27.84
26,Male,127.6,1.73,167,160,62,1.32,1162.0,Strength,27.3,2.9,3,1,42.63
56,Female,51.99,1.56,182,155,57,1.26,879.0,Cardio,33.4,2.6,4,2,24.37
35,Male,96.9,1.71,188,145,72,1.34,1069.0,Strength,24.2,2.9,3,2,33.14
42,Male,66,1.6,166,163,64,1.31,1057.0,Strength,21.7,2.6,3,2,17.77
31,Female,48.8,1.51,195,131,60,1.48,969.0,Cardio,28.2,2.0,2,1,21.4
26,Female,44.3,1.6,186,136,61,1.08,734.0,Cardio,34.7,2.0,3,1,17.3
43,Male,113.2,1.83,161,134,63,1.45,962.0,Yoga,29.9,2.9,4,2,33.8
19,Female,60.5,1.59,184,128,53,1.14,730.0,Cardio,30.1,2.2,2,1,23.93
24,Male,54.7,1.74,160,167,53,0.84,772.0,Yoga,22.9,3.6,3,1,18.07
25,Male,88.1,1.95,182,131,68,1.41,1016.0,Cardio,22.7,3.0,2,1,23.17
31,Female,79.7,1.54,184,144,59,1.03,742.0,Cardio,26.7,2.3,4,2,33.61
34,Female,51.0,1.62,162,149,53,1.42,1122.0,Yoga,30.8,2.4,3,2,19.43
57,Male,122.1,1.89,165,134,58,1.13,750.0,,27.4,3.6,3,1,34.18
21,Male,96.7,1.72,185,151,62,1.26,1046.0,Strength,25.0,2.8,3,1,32.69
