He(m,Avg_BPM,T7Q_Calories_Burned,Workout_Type
1.57,123,597.0,Cardio
1.84,130,444.0,Cardio
1.76,143,574.0,Yoga
1.72,137,970.0,Yoga
1.67,137,699.0,Yoga
1.68,167,637.0,Yoga
1.7,124,497.0,Cardio
1.73,146,803.0,Cardio
2.0,161,1257.0,Strength
1.93,132,1082.0,Cardio
1.51,142,479.0,Strength
1.7,123,1212.0,Strength
1.91,136,680.0,Strength
1.73,155,529.0,Yoga
1.68,127,756.0,Cardio
1.75,146,742.0,Strength
1.6,156,803.0,Cardio
1.63,124,331.0,Cardio
1.71,169,1080.0,Yoga
1.86,145,1292.0,Cardio
1.77,164,760.0,Yoga
1.62,164,731.0,Yoga
1.69,148,713.0,Yoga
1.56,144,985.0,Cardio
1.66,134,440.0,Yoga
1.86,141,949.0,Cardio
1.78,141,1177.0,Yoga
1.93,139,879.0,HIIT
1.53,151,883.0,HIIT
1.77,158,1177.0,Yoga
2.0,136,794.0,HIIT
1.75,166,911.0,Strength
1.52,139,475.0,HIIT
1.61,165,1013.0,Cardio
1.79,162,1451.0,Yoga
1.63,139,812.0,Strength
1.7,150,792.0,HIIT
1.6,152,1170.0,Strength
1.66,129,806.0,HIIT
1.5,141,838.0,HIIT
1.67,125,776.0,Strength
1.8,160,695.0,Yoga
1.82,154,1357.0,Yoga
1.71,130,663.0,Strength
1.61,164,1082.0,Yoga
1.99,152,1145.0,HIIT
1.72,125,903.0,Strength
1.93,158,1314.0,Yoga
1.67,124,837.0,Yoga
1.61,139,1307.0,Yoga
1.78,157,420.0,Strength
1.66,151,673.0,Strength
1.59,153,1267.0,HIIT
1.95,131,699.0,Yoga
1.65,126,703.0,HIIT
1.77,134,876.0,HIIT
1.5,132,825.0,Yoga
1.79,143,994.0,Cardio
1.9,126,412.0,HIIT
1.93,159,1015.0,Cardio
1.8,126,1074.0,Cardio
1.72,154,672.0,Cardio
1.63,132,1234.0,Cardio
1.79,159,1582.0,Yoga
1.94,123,1218.0,HIIT
1.88,142,822.0,Cardio
1.73,151,938.0,Cardio
1.64,127,678.0,Cardio
1.61,147,1301.0,Yoga
1.78,134,951.0,HIIT
1.65,126,852.0,Strength
1.55,120,780.0,Strength
1.95,129,639.0,Strength
1.94,162,722.0,Strength
1.94,127,719.0,Strength
1.62,126,804.0,Yoga
1.58,168,1111.0,HIIT
1.93,139,1086.0,Yoga
1.85,152,895.0,Cardio
1.89,127,440.0,Yoga
1.63,139,751.0,Strength
1.94,120,891.0,HIIT
1.74,127,773.0,Strength
1.69,143,545.0,Yoga
1.66,125,506.0,HIIT
1.85,126,842.0,Strength
1.81,153,1287.0,Yoga
1.65,169,966.0,HIIT
1.58,132,370.0,HIIT
1.59,130,968.0,HIIT
1.72,128,1043.0,Strength
1.75,168,1155.0,Yoga
1.71,135,713.0,HIIT
1.71,153,1150.0,Cardio
