Age,G.,Weight (kg),Height (m),MaBP,Avg_BPM,Workout_Frequency (days/week),87U_BMI
53,Male,105.1,1.84,176,130,3,31.04
46,Famale,56.9,1.6,185,143,3,22.23
35,Female,78.9,1.64,196,164,4,29.34
28,Male,81.6,1.66,174,153,4,29.61
58,Female,44.2,1.57,183,155,3,17.93
41,Male,148.34,1.78,165,149,3,14.87
36,Female,59.1,1.78,184,121,2,18.65
25,Male,88.1,1.95,182,131,2,23.17
26,Male,77.7,1.62,177,126,3,29.61
20,Male,83.0,1.8,167,160,2,25.62
49,Male,61.0,1.87,180,131,4,17.44
46,Female,52.0,1.65,165,147,2,19.1
23,Female,41.9,1.58,163,132,3,16.78
30,Female,60.6,1.55,172,120,3,25.22
32,Male,68.3,1.92,168,165,2,18.53
31,Female,62.5,1.62,168,169,4,23.81
59,Famale,54.6,1.57,164,169,3,22.15
34,Male,68.0,1.68,169,128,2,24.09
19,Female,73.9,1.77,198,137,3,23.59
54,Male,116.4,2.0,184,123,3,29.1
39,Male,127.5,1.82,180,161,3,38.49
43,Female,164.83,1.59,187,136,2,21.0
21,Male,88.4,1.6,198,121,4,34.53
38,Female,70.3,1.52,164,144,4,30.43
44,Male,89.3,1.99,192,135,4,22.55
49,Female,44.1,1.65,189,133,4,16.2
19,male person,89.0,1.77,175,127,4,28.41
38,Female,164.48,1.51,179,145,3,21.8
56,Female,50.6,1.7,175,146,2,17.51
56,Female,40.4,1.8,196,165,4,12.47
18,Male,62.0,1.85,161,121,3,18.12
57,Male,112.5,1.61,195,165,3,43.4
48,Male,166.05,1.61,172,121,4,28.43
44,Female,156.01,1.75,192,155,3,22.69
39,Female,139.61,1.65,162,167,3,22.26
37,Mala,88.8,1.95,189,135,5,23.35
23,Male,108.6,1.92,197,134,2,29.46
59,Male,89.4,1.62,198,125,3,34.06
50,Male,90.0,1.7,168,124,2,31.14
43,Mele,46.2,1.63,176,139,2,17.39
34,female person,56.2,1.77,192,138,5,17.94
57,Femele,61.9,1.52,168,143,3,26.79
35,Male,70.1,1.79,185,125,3,21.88
29,Female,49.0,1.57,168,132,3,19.88
36,Mele,84.0,1.94,168,123,5,22.32
20,Female,51.1,1.58,188,169,2,20.47
52,Frmale,59.7,1.71,169,151,3,20.42
44,Male,124.8,1.85,175,126,4,36.46
46,Vemale,66.5,1.73,163,142,3,22.22
