Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Age,Employee_ID,Social_Isolation_Rating,tenseness horizontal surface,Gender,Industry,Number_of_Virtual_Meetings,Work_Life_Balance_Rating
47,1,32,EMP0001,1,Medium,Non-binary,Healthcare,7,2
52,2,40,EMP0002,3,Medi.,Female,IT,4,1
46,5,59,EMP0003,9,jZx_Medium,Non-binary,Education,11,5
32,8,27,EMP0004,3,High,Male,Finance,8,4
35,3,49,EMP0005,3,high-topped,Male,Co.,12,2
39,1,59,EMP0006,5,tHor_High,Non-binary,1T,3,4
51,3,31,EMP0007,5,Low,Prefer not to say,1T,7,3
54,4,42,EMP0008,9,Medium,Non-binary,Manufacturing,7,3
24,4,56,EMP0009,2,High,Prefer not to say,Healthcare,4,2
57,9,30,EMP0010,2,Low,Female,IT,6,1
48,2,33,EMP0011,4,High,Non-binary,Finance,3,3
26,3,47,EMP0012,4,Medium,Female,Consulting,12,4
21,1,40,EMP0013,2,high-topped,Female,Consulting,7,2
45,5,51,EMP0014,2,Low,Non-binary,Manufacturing,13,1
59,3,36,EMP0015,5,High,Prefer not to say,Retail,11,3
44,4,56,EMP0016,5,Low,Female,Healthcare,11,4
99,1,33,EMP0017,1,Medium,Prefer not to say,Education,9,2
37,10,45,EMP0018,9,Low,Non-binary,Consulting,8,3
36,2,49,EMP0019,3,High,Non-binary,IT,6,1
59,1,59,EMP0020,4,culture medium,Male,Consulting,4,3
21,1,26,EMP0021,9,Low,Female,Retail,1,2
54,9,26,EMP0022,3,Medium,Non-binary,Education,12,3
57,4,43,EMP0023,3,low-toned,Prefer not to say,Finance,1,3
22,3,53,EMP0024,2,Low,Non-binary,Consulting,12,5
54,9,56,EMP0025,2,Low,Male,F.,15,3
21,3,49,EMP0026,4,High,Male,Healthcare,14,4
90,4,36,EMP00Z7,4,High,Non-binary,Reta.,12,3
76,4,53,EMP0028,4,Low,Female,Retail,4,4
33,1,47,EMP0029,4,Hi.,Prefer not to say,IT,10,3
87,1,59,EMP0030,3,High,Male,Healthcare,15,2
20,2,22,EMP0031,5,Low,Female,IT,11,1
33,5,37,EMP0032,3,Medium,Prefer not to say,Manufacturing,14,2
20,5,45,EMP0033,5,Medium,Prefer not to say,Manufacturing,14,2
26,4,48,EMP0034,5,Medium,Male,Healthcare,9,3
22,3,36,EMP0035,1,Medium,Male,IT,6,4
57,5,46,EMP0036,1,Low,Prefer not to say,Healthcare,8,4
30,8,48,EMP0037,5,Low,Male,Finance,12,1
47,5,31,EMP0038,2,Low,Female,Healthcare,14,2
48,1,24,EMP0039,3,Low,Non-binary,IT,12,4
20,8,49,C5SL_EMP0040,1,High,Male,Consulting,1,3
44,5,30,EMP0041,1,High,Non-binary,IT,15,4
29,5,53,EMP0042,9,Low,Male,IT,13,2
58,3,54,EMP0043,3,High,Prefer not to say,Finance,6,3
53,3,54,EMP0044,1,Medium,Female,bR_Manufacturing,12,4
91,2,57,EMP0045,5,High,Prefer not to say,Retail,6,3
42,9,32,EMP0046,2,Medium,Male,Retail,8,2
35,5,33,EMP0047,1,Medium,Male,Education,15,1
39,4,30,EMP0048,1,High,Female,Co.,2,5
29,3,22,EMP0049,2,Low,Female,Healthcare,9,4
37,3,35,EMP0050,1,Medium,Male,Retail,3,4
28,4,26,EMP0051,5,High,Non-binary,Manufacturing,10,4
31,1,47,EMP0052,4,Low,Male,Consulting,9,5
26,2,42,EMP0.,2,Medium,Female,R_Retail,14,3
46,1,60,EMP0054,1,Medium,Prefer not to say,Healthcare,15,2
55,1,26,EMP0055,4,Medium,Female,Education,6,1
47,5,30,EMP0056,3,Low,Non-binary,Education,12,3
48,5,42,EMP0057,4,Low,Male,IT,13,5
49,3,53,EMP0058,4,Low,Prefer not to say,IT,6,5
51,3,26,EMP0059,2,L.,Prefer not to say,Manufacturing,4,1
57,5,26,EMP0060,1,Dt_Medium,Prefer not to say,IT,13,2
33,2,25,EMP0061,1,K_Medium,Non-binary,Consulting,14,4
30,5,33,EMP0062,5,Medium,Female,IT,15,2
28,2,25,EMP0063,3,Medium,Non-binary,Finance,4,3
31,5,22,EMP0064,2,qG_Medium,Female,Healthcare,15,3
37,2,60,EMP0065,2,Medium,Prefer not to say,Healthcare,0,4
31,4,56,EMP0066,9,Medium,Male,Finance,3,4
46,2,45,EMP0067,3,Medium,Non-binary,IT,3,1
20,4,60,EMP0068,3,High,Female,Education,6,2
51,1,32,EMP0069,3,High,Female,Manufacturing,8,2
28,1,25,EMP0070,5,Low,Female,Finance,13,2
39,1,43,3STI_EMP0071,4,Medium,Prefer not to say,Consulting,4,4
29,2,50,EMP0072,2,Medium,Prefer not to say,Consulting,13,1
30,1,28,EMP0073,2,H.,Prefer not to say,Retail,14,5
