Work_Life_Balance_Rating,Industry,Gender,Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Satisfaction_with_Remote_Work,Social_Isolation_Rating,Age
2,Healthcare,Non-binary,47,1,Unsatisfied,1,32
1,IT,Female,52,2,Satisfied,3,40
5,Education,Non-binary,84,5,Unsatisfied,4,59
4,Finance,Male,32,8,Unsatisfied,8,86
2,Consulting,Male,35,3,Unsatisfied,3,49
4,IT,Non-binary,39,1,Unsatisfied,5,59
3,IT,Prefer not to say,51,3,Neutral,5,31
3,Manufacturing,Non-binary,54,9,Satisfied,5,42
2,600r_Healthcare,Prefer not to say,24,4,Unsatisfied,2,56
1,IT,Female,57,1,Neutral,2,76
3,Finance,Non-binary,48,2,Satisfied,4,33
4,Consulting,Female,26,3,Neutral,4,47
2,Consulting,Female,21,1,Neutral,2,40
1,Manufacturing,Non-binary,45,5,Satisfied,2,51
3,Retail,Prefer not to say,59,3,Neutral,5,36
4,Healthcare,Female,44,4,Satisfied,5,56
2,Education,Prefer not to say,52,1,Satisfied,1,33
3,Consulting,Non-binary,37,5,Neutral,5,45
1,IT,Non-binary,36,2,Satisfied,3,49
3,Consulting,Male,59,1,Neutral,4,59
2,Ret.,Female,21,1,Satisfied,2,26
3,Education,Non-binary,54,4,Unsatisfied,3,26
3,Finance,Prefer not to say,57,4,Satisfied,3,43
5,Consulting,Non-binary,79,3,Neutral,2,53
3,Finance,Male,54,4,Neutral,2,56
4,Healthcare,Male,21,3,Neutral,4,49
3,Retail,Non-binary,24,4,Unsatisfied,4,36
4,Retail,Female,56,4,Unsatisfied,4,53
3,IT,Prefer not to say,33,1,Satisfied,4,47
2,gdMq_Healthcare,Male,25,1,Satisfied,3,59
1,IT,Female,20,2,Neutral,5,22
2,manufacture,Prefer not to say,33,5,Satisfied,3,37
2,Manufacturing,Prefer not to say,20,5,Satisfied,5,45
3,Healthcare,Male,26,4,Neutral,5,85
4,IT,Male,22,3,Unsatisfied,1,36
4,Healthcare,Prefer not to say,57,9,Neutral,7,46
1,Finance,Male,30,3,Satisfied,5,48
2,Healthcare,Female,47,5,Satisfied,2,31
4,IT,Non-binary,48,1,Neutral,3,24
3,Consulting,Male,20,5,Unsatisfied,1,49
4,IT,Non-binary,44,5,Neutral,1,30
2,IT,Male,94,5,Unsatisfied,1,53
3,Finance,Prefer not to say,58,3,Unsatisfied,9,88
4,Manufacturing,Female,53,3,Unsatisfied,1,54
3,Retail,Prefer not to say,96,2,Neutral,5,57
2,Retail,Male,42,3,Neutral,2,32
1,Education,Male,85,5,Unsatisfied,1,33
5,Consulting,Female,39,4,Unsatisfied,1,30
4,Healthcare,Female,29,3,Neutral,2,22
4,Retail,Male,37,3,Satisfied,1,35
4,Manufacturing,Non-binary,28,4,Satisfied,5,26
5,Consulting,Male,31,1,Satisfied,4,47
3,Retail,Female,26,2,Satisfied,9,42
2,Healthcare,Prefer not to say,46,1,Neutral,1,60
1,Education,Female,55,1,Satisfied,4,26
3,Education,Non-binary,47,5,Neutral,3,30
5,IT,Male,48,5,Neutral,4,42
5,IT,Prefer not to say,49,3,Satisfied,4,53
1,Manufacturing,Prefer not to say,51,3,Unsatisfied,8,26
2,IT,Prefer not to say,57,5,Satisfied,1,26
4,Consulting,Non-binary,33,2,Unsatisfied,1,25
2,IT,Female,30,5,Unsatisfied,5,33
3,Finance,Non-binary,28,2,Satisfied,3,25
3,Healthcare,Female,31,5,Satisfied,2,22
4,Healthcare,Prefer not to say,37,2,Unsatisfied,2,60
4,Finance,Male,31,4,Satisfied,4,56
1,IT,Non-binary,46,8,Satisfied,3,45
2,Education,Female,20,4,Unsatisfied,3,60
2,Manufacturing,Female,51,1,Neutral,3,32
2,gSor_Finance,Female,28,1,Neutral,5,25
4,Consulting,Prefer not to say,39,1,Satisfied,4,43
1,Consulting,Prefer not to say,29,2,Neutral,2,50
5,Retail,Prefer not to say,30,1,Unsatisfied,2,28
3,IT,Non-binary,53,1,Neutral,10,77
2,Consulting,Prefer not to say,57,3,Neutral,3,38
5,Retail,Male,49,3,Satisfied,4,76
4,Consulting,Non-binary,55,2,Unsatisfied,1,31
5,Healthcare,Female,37,1,Satisfied,1,28
2,Manufacturing,Male,51,1,Neutral,2,29
5,Consulting,Male,21,3,Unsatisfied,4,86
3,Education,Female,21,4,Satisfied,4,93
4,Finance,Non-binary,44,2,Neutral,3,42
3,Education,Prefer not to say,26,2,Unsatisfied,5,58
4,Healthcare,Female,43,3,Unsatisfied,5,26
