4kLUm6dYdq,BELASTUNG STUFEI,Productivity_Change,Gender,neighborhood,Number_of_Virtual_Meetings,Work_Location,Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Age,Work_Life_Balance_Rating,Zugang zu Ressourcen für psychische Gesundheit
Healthcare,Medium,Decrease,Non-binary,Europe,7,Hybrid,47,1,32,2,No
IT,Medium,Increase,Female,Asia,4,Remote,52,2,40,1,No
Education,Medium,No Change,Non-binary,North America,11,Hybrid,46,5,59,5,No
Finance,High,Increase,Male,Europe,8,Onsite,32,3,27,4,i_Yes
Consulting,High,Decrease,Male,North America,12,Onsite,35,3,49,2,Yes
IT,High,Increase,Non-binary,South America,3,Hybrid,39,1,59,4,No
IT,Low,Decrease,Prefer not to say,Asia,7,Remote,51,3,31,3,Yes
Manufacturing,Medium,Decrease,Non-binary,North America,7,j_Onsite,54,4,42,3,No
Healt.,High,Decrease,Prefer not to say,Europe,4,Hybrid,24,4,56,2,Yes
IT,Low,Decrease,Female,North America,6,Hybrid,85,1,30,1,Yes
Finance,High,Decrease,Non-binary,Oceania,3,Remote,87,2,33,3,Yes
Consulting,Medium,No Change,Female,Africa,12,Hybrid,98,3,47,4,Yes
Consulting,High,Decrease,Female,Europe,7,Remote,21,1,40,2,Yes
Manufacturing,Low,Decrease,Non-binary,North America,13,Hybrid,45,5,51,1,No
Retail,High,Decrease,Prefer not to say,Oceania,11,N_Remote,59,3,36,3,Ye.
He.,Low,No Change,Female,Africa,11,Remote,44,4,56,4,No
Education,Medium,No Change,Prefer not to say,Africa,9,Faik_Onsite,79,1,33,2,No.
Consulting,Low,Decrease,Non-binary,Europe,8,Onsite,37,5,45,3,Yes
IT,High,No Change,Non-binary,oceanica,6,c7_Remote,36,9,49,1,No
Consulting,Medium,Decrease,Male,in the south the americas,4,Remote,59,1,59,3,yj_No
Retail,h_Low,Increase,Female,South America,1,j6J_Hybrid,21,1,26,2,atomic number 102
Education,Medium,Decrease,Non-binary,North America,12,Onsite,54,4,26,3,No
Finance,Low,Increase,Prefer not to say,Africa,1,UW_Onsite,57,4,43,3,Yes
Consulting,Low,No Change,Non-binary,Asia,12,Onsite,22,3,53,5,No
Finance,Low,Increase,Male,North America,15,Remote,54,4,56,3,No
Healthcare,High,No Change,Male,South America,14,Onsite,21,3,49,4,N.
vDW9_Retail,High,Decrease,Non-binary,North America,12,Onsite,24,4,36,3,No
Retail,Low,No Change,Female,Oceania,4,Onsite,56,4,53,4,c7K_No
IT,High,Decrease,Prefer not to say,Europe,10,Onsite,33,1,47,3,Yes
Healthcare,High,No Change,Male,North America,15,remote control,25,1,59,2,Yes
IT,L.,No Change,Female,Asia,11,Onsite,94,2,22,1,Yes
Manufacturing,Medium,Decrease,Prefer not to say,North America,14,Hybrid,83,5,37,2,No
Manufacturing,Medium,Decrease,Prefer not to say,North America,14,Remote,20,9,45,2,Yes
Healthcare,Medium,No Change,Male,North America,9,Remote,26,4,48,3,Yes
IT,culture medium,No Change,Male,Europe,6,Hybrid,22,3,36,4,atomic number 102
Healthcare,Low,No Change,Prefer not to say,Europe,8,Hybrid,57,8,46,4,Yes
Finance,Low,Decrease,Male,Asia,12,Onsite,30,3,48,1,Yes
Healthcare,Low,Increase,Female,Asia,14,Remote,47,5,31,2,Yes
IT,Lo.,No Change,Non-binary,Africa,12,CfS_Onsite,48,1,24,4,Yes
Consulting,High,Increase,Male,Asia,1,nWhe_Hybrid,20,5,49,3,atomic number 102
IT,Hig.,Decrease,Non-binary,Europe,15,Remote,44,5,30,4,No
