vX7Wu,Stress_Level,Hours_Worked_Per_Week,Job_Role,industriousness,Employee_ID,Social_Isolation_Rating,Access_to_Mental_Health_Resources,Age,Physical_Activity,Years_of_Experience
4,Medium,47,HR,Healthcare,EMP0001,1,No,32,Weekly,13
2,Medium,52,Data Scientist,IT,EMP0002,3,No,40,Weekly,3
5,Medium,46,Software Engineer,Education,EMP0003,4,No,59,None,22
3,High,32,Software Engineer,Finance,EMP0004,3,Yes,27,None,20
3,High,35,Sales,Consulting,EMP0005,3,Yes,49,Weekly,32
4,High,39,Sales,IT,EMP0006,5,No,59,None,31
3,Low,51,Sales,IT,EMP0007,5,Yes,31,Daily,24
9,Medium,54,Data Scientist,Manufacturing,EMP0008,5,No,42,None,6
4,High,24,Data Scientist,Healthcare,EMP0009,2,Yes,56,Daily,9
1,Low,57,HR,IT,EMP0010,2,Yes,30,Weekly,28
2,High,48,Software Engineer,Finance,EMP0011,4,Yes,33,Weekly,17
3,Medium,26,Marketing,Consulting,EMP0012,4,Yes,47,Weekly,31
1,High,21,Marketing,Consulting,EMP0013,2,Yes,40,Weekly,1
5,Low,45,Designer,Manufacturing,EMP0014,2,No,51,Weekly,5
3,High,59,Project Manager,Retail,EMP0015,5,Yes,36,Weekly,23
4,Low,44,Sales,Healthcare,EMP0016,5,No,56,Weekly,13
9,Medium,52,HR,Education,EMP0017,1,No,33,Weekly,3
5,Low,37,Data Scientist,Consulting,EMP0018,5,Yes,45,Weekly,20
2,High,36,Software Engineer,IT,EMP0019,3,No,49,Weekly,30
1,Medium,59,Software Engineer,Consulting,EMP0020,4,No,59,Daily,13
1,Low,21,Sales,Retail,EMP0021,2,No,26,Weekly,33
10,Medium,54,Sales,Education,EMP0022,3,No,26,Daily,21
4,Low,57,Sales,Finance,EMP0023,3,Yes,43,Daily,21
3,Low,22,Marketing,Consulting,EMP0024,2,No,53,Weekly,11
3,Low,54,Sales,Finance,EMP0025,2,No,56,Daily,6
3,High,21,Project Manager,Healthcare,EMP0026,4,No,49,None,23
4,High,24,Project Manager,Retail,EMP0027,4,No,36,None,30
4,Low,56,Project Manager,Retail,EMP0028,4,No,53,None,31
8,High,33,Sales,IT,EMP0029,4,Yes,47,Daily,22
10,High,25,Software Engineer,Healthcare,EMP0030,3,Yes,59,Weekly,34
2,Low,20,Data Scientist,IT,EMP0031,5,Yes,22,Weekly,22
4,Medium,33,Marketing,Manufacturing,EMP0032,3,No,37,None,4
5,Medium,20,Project Manager,Manufacturing,EMP0033,5,Yes,45,Daily,29
4,Medium,26,Software Engineer,Healthcare,EMP0034,5,Yes,48,Daily,27
3,Medium,22,Designer,IT,EMP0035,1,No,36,Weekly,24
5,Low,57,Sales,Healthcare,EMP0036,1,Yes,46,None,28
3,Low,30,Sales,Finance,EMP0037,5,Yes,48,None,10
5,Low,47,Designer,Healthcare,EMP0038,2,Yes,31,Daily,18
0,Low,48,Sales,IT,EMP0039,3,Yes,24,Weekly,21
5,High,20,Marketing,Consulting,EMP0040,1,No,49,Weekly,20
5,High,44,Data Scientist,IT,EMP0041,1,No,30,Daily,22
5,Low,29,Project Manager,IT,EMP0042,1,No,53,None,14
7,High,58,Project Manager,Finance,EMP0043,3,Yes,54,Weekly,26
9,Medium,53,Designer,Manufacturing,EMP0044,1,Yes,54,None,12
8,High,23,HR,Retail,EMP0045,5,Yes,57,Daily,13
8,Medium,42,Marketing,Retail,EMP0046,2,No,32,Daily,24
3,Medium,35,Data Scientist,Education,EMP0047,1,Yes,33,Weekly,33
4,High,39,Sales,Consulting,EMP0048,1,No,30,None,4
3,Low,29,HR,Healthcare,EMP0049,2,No,22,Daily,7
8,Medium,37,Project Manager,Retail,EMP0050,1,No,35,None,11
4,High,28,HR,Manufacturing,EMP0051,5,Yes,26,Daily,34
1,Low,31,Sales,Consulting,EMP0052,4,No,47,None,25
10,Medium,26,Software Engineer,Retail,EMP0053,2,No,42,Daily,3
1,Medium,46,Project Manager,Healthcare,EMP0054,1,Yes,60,None,34
1,Medium,55,Software Engineer,Education,EMP0055,4,Yes,26,Daily,5
5,Low,47,Project Manager,Education,EMP0056,3,No,30,Daily,8
5,Low,48,Software Engineer,IT,EMP0057,4,Yes,42,None,14
