clss,drive,highway_mpg,make,model
compact car,awd,25,genesis,g70 awd
large car,awd,24,genesis,g80 awd
small sport utility vehicle,fwd,27,kia,sorento 2wd
large car,awd,25,genesis,g80 awd
minicompact car,rwd,19,aston martin,vanquish
standard sport utility vehicle,awd,24,porsche,cayenne
midsize car,fwd,32,hyundai,elantra gt
standard sport utility vehicle,rwd,23,chevrolet,suburban c1500 2wd
compact car,awd,28,volvo,s60 awd
standard sport utility vehicle,rwd,23,chevrolet,tahoe c1500 2wd
compact car,fwd,34,hyundai,veloster
subcompact car,awd,34,audi,a5 quattro
two seater,rwd,23,jaguar,f-type r coupe
minivan,fwd,22,kia,sedona sxl
subcompact car,rwd,25,ford,mustang
two seater,rwd,20,chevrolet,corvette zr1
small sport utility vehicle,awd,29,jeep,cherokee 4wd
subcompact car,awd,32,bmw,430i xdrive convertible
subcompact car,rwd,22,bmw,m4 convertible
large car,rwd,23,jaguar,xj
two seater,rwd,24,jaguar,f-type coupe
small sport utility vehicle,awd,24,audi,sq5
small sport utility vehicle,4wd,30,mazda,cx-5 4wd
small sport utility vehicle,fwd,33,honda,hr-v 2wd
small sport utility vehicle,fwd,28,acura,rdx fwd
small sport utility vehicle,4wd,24,jeep,cherokee trailhawk 4wd
subcompact car,rwd,29,bmw,440i convertible
small station wagon,awd,28,volvo,v60 awd
minivan,fwd,28,chrysler,pacifica
subcompact car,awd,28,bmw,640i xdrive convertible
compact car,rwd,32,bmw,440i gran coupe
small sport utility vehicle,4wd,24,kia,sorento 4wd
standard pickup truck,awd,25,honda,ridgeline awd
compact car,awd,33,bmw,430i xdrive gran coupe
compact car,awd,30,audi,s4
midsize car,fwd,38,hyundai,elantra se
midsize car,rwd,18,bentley,mulsanne
standard sport utility vehicle,rwd,21,gmc,yukon c1500 xl 2wd
subcompact car,rwd,20,bmw,m6 convertible
two seater,rwd,28,jaguar,f-type convertible
small sport utility vehicle,awd,32,honda,hr-v 4wd
small sport utility vehicle,fwd,26,kia,sorento 2wd
standard sport utility vehicle,4wd,21,cadillac,escalade 4wd
small sport utility vehicle,fwd,27,cadillac,xt5
small pickup truck,fwd,26,honda,ridgeline fwd
small sport utility vehicle,awd,23,kia,sorento awd
compact car,fwd,42,chevrolet,volt
small sport utility vehicle,4wd,23,kia,sorento 4wd
subcompact car,rwd,24,ford,mustang
standard sport utility vehicle,4wd,20,cadillac,escalade esv 4wd
compact car,awd,27,subaru,wrx
small sport utility vehicle,fwd,27,kia,sorento fwd
two seater,rwd,27,jaguar,f-type s convertible
small sport utility vehicle,awd,27,buick,envision awd
midsize car,awd,30,audi,s5 sportback
compact car,fwd,40,toyota,corolla
small sport utility vehicle,awd,25,buick,envision awd
small sport utility vehicle,awd,31,volvo,xc40 awd
two seater,rwd,23,jaguar,f-type r convertible
two seater,rwd,32,bmw,z4 sdrive28i
two seater,rwd,19,chevrolet,corvette zr1
small sport utility vehicle,fwd,31,jeep,cherokee fwd
midsize car,awd,29,audi,a6 quattro
small sport utility vehicle,awd,22,nissan,murano crosscabriolet
small sport utility vehicle,fwd,32,chevrolet,equinox fwd
compact car,awd,29,bmw,440i xdrive coupe
small sport utility vehicle,fwd,25,kia,sorento 2wd
small sport utility vehicle,fwd,34,honda,hr-v 2wd
standard pickup truck,4wd,22,chevrolet,silverado k15 4wd
subcompact car,rwd,29,ford,mustang convertible
compact car,awd,28,subaru,wrx
small sport utility vehicle,fwd,26,kia,sorento fwd
compact car,rwd,30,genesis,g70 rwd
standard pickup truck,rwd,23,chevrolet,silverado c15 2wd
compact car,awd,25,bmw,650i xdrive gran coupe
small sport utility vehicle,awd,25,kia,sportage fe awd
compact car,rwd,34,bmw,430i gran coupe
two seater,awd,23,jaguar,f-type r awd convertible
subcompact car,rwd,102,mitsubishi,i-miev
two seater,rwd,23,chevrolet,corvette z06
two seater,rwd,27,jaguar,f-type coupe
standard sport utility vehicle,4wd,22,chevrolet,suburban k1500 4wd
two seater,rwd,27,jaguar,f-type s coupe
subcompact car,rwd,99,mitsubishi,i-miev
