fl_typ,highway_mpg,make
gas,37,mini
gas,22,nissan
gas,19,chevrolet
electricity,99,mitsubishi
gas,41,mitsubishi
gas,29,jeep
gas,30,infiniti
gas,24,jeep
gas,33,bmw
gas,22,bmw
gas,39,mazda
gas,36,mazda
gas,26,honda
gas,33,honda
gas,21,cadillac
gas,22,kia
gas,25,chevrolet
gas,34,hyundai
gas,28,chrysler
gas,28,bmw
gas,34,bmw
gas,20,chevrolet
gas,21,ram
gas,23,kia
gas,18,bentley
gas,31,mini
gas,30,jeep
gas,31,subaru
gas,30,kia
gas,26,genesis
gas,33,audi
gas,35,acura
gas,23,audi
gas,23,gmc
gas,21,gmc
gas,29,audi
gas,34,honda
gas,30,genesis
gas,34,audi
gas,25,bmw
electricity,102,mitsubishi
gas,30,audi
gas,23,hyundai
gas,19,audi
gas,38,mazda
gas,35,mini
gas,22,audi
gas,38,hyundai
gas,28,jaguar
gas,19,bentley
gas,23,subaru
gas,33,hyundai
gas,36,hyundai
gas,35,mazda
gas,28,volvo
gas,26,jeep
gas,29,bmw
gas,31,bmw
gas,31,infiniti
gas,33,mazda
gas,20,cadillac
gas,23,nissan
gas,30,mazda
gas,20,gmc
gas,29,acura
gas,24,genesis
gas,21,porsche
gas,29,ford
gas,31,acura
gas,31,mazda
gas,25,honda
gas,22,roush performance
gas,22,chevrolet
gas,29,mazda
gas,34,mazda
gas,24,volvo
gas,37,mazda
gas,29,buick
gas,27,kia
gas,27,jeep
gas,32,mini
gas,28,subaru
gas,31,audi
gas,32,acura
gas,19,aston martin
gas,29,kia
gas,28,acura
gas,31,jeep
gas,25,genesis
gas,40,volkswagen
gas,24,hyundai
gas,25,buick
gas,32,chevrolet
gas,27,audi
gas,36,toyota
gas,30,chevrolet
gas,27,subaru
gas,52,toyota
gas,27,jaguar
gas,27,buick
gas,22,hyundai
diesel,38,audi
gas,32,honda
gas,27,hyundai
gas,28,genesis
gas,37,hyundai
gas,20,bmw
gas,27,genesis
gas,26,cadillac
gas,20,audi
gas,32,hyundai
gas,22,ram
gas,25,hyundai
gas,27,acura
gas,19,jeep
diesel,36,audi
gas,24,jaguar
gas,28,kia
gas,24,subaru
gas,32,mazda
gas,30,acura
gas,30,ford
gas,31,volvo
gas,27,cadillac
gas,43,mitsubishi
gas,42,chevrolet
gas,26,jaguar
gas,25,audi
gas,24,ford
gas,24,kia
gas,25,kia
gas,28,hyundai
gas,28,jeep
gas,24,audi
gas,22,gmc
gas,23,chevrolet
gas,35,hyundai
gas,26,hyundai
gas,33,mini
gas,24,bmw
gas,26,kia
gas,32,bmw
gas,25,ford
gas,24,porsche
gas,23,jaguar
gas,40,toyota
