city_mpg,class,combination_mpg,displacement,drive,highway_mpg,make,model,transmission,year
19,small sport utility vehicle,21,2.0,awd,24,hyundai,santa fe sport ultimate awd,a,2017
126,subcompact car,112,,rwd,99,mitsubishi,i-miev,a,2016
17,standard sport utility vehicle,20,3.6,awd,24,porsche,cayenne,a,2016
18,small sport utility vehicle,20,3.3,4wd,23,kia,sorento 4wd,a,2014
17,large car,19,4.4,awd,24,bmw,alpina b7,a,2021
17,compact car,20,3.0,rwd,25,bmw,m4 coupe,m,2018
25,midsize car,29,2.5,fwd,36,mazda,6,m,2014
23,compact car,27,2.0,awd,33,bmw,430i xdrive gran coupe,a,2018
19,subcompact car,23,3.7,rwd,29,ford,mustang convertible,a,2014
15,two seater,18,3.0,rwd,24,jaguar,f-type s coupe,m,2017
22,small sport utility vehicle,25,2.4,fwd,29,kia,sportage fwd,a,2017
19,minivan,22,3.5,fwd,26,kia,carnival,a,2022
19,small sport utility vehicle,21,3.5,awd,25,genesis,gv70 awd,a,2022
19,subcompact car,22,3.0,awd,28,bmw,640i xdrive convertible,a,2018
17,compact car,20,3.3,awd,25,genesis,g70 awd,a,2021
15,large car,18,5.0,rwd,23,kia,k900,a,2015
17,subcompact car,20,4.4,rwd,25,bmw,650i convertible,a,2018
24,subcompact car,27,2.0,awd,33,audi,a5 quattro,m,2018
19,compact car,23,3.0,awd,29,bmw,440i xdrive coupe,m,2018
20,small sport utility vehicle,23,2.0,fwd,27,hyundai,santa fe sport ultimate fwd,a,2017
16,two seater,19,3.0,rwd,24,jaguar,f-type coupe,m,2017
17,small pickup truck,19,3.6,4wd,24,chevrolet,colorado 4wd,a,2021
28,small sport utility vehicle,29,1.2,fwd,31,chevrolet,trailblazer fwd,a,2021
17,large car,20,3.3,awd,24,genesis,g80 awd,a,2018
21,compact car,25,3.0,rwd,32,bmw,440i gran coupe,a,2018
21,small sport utility vehicle,22,2.4,awd,25,kia,sorento awd,a,2016
20,small sport utility vehicle,22,2.4,fwd,26,kia,sorento 2wd,a,2014
26,small sport utility vehicle,27,1.5,fwd,29,mitsubishi,eclipse cross es 2wd,a,2022
26,small sport utility vehicle,28,1.3,awd,30,chevrolet,trailblazer awd,a,2021
20,two seater,23,3.0,rwd,28,jaguar,f-type coupe,a,2015
18,compact car,21,2.0,awd,24,subaru,wrx,a,2018
16,subcompact car,19,5.0,rwd,25,ford,mustang,m,2014
23,minicompact car,26,2.0,fwd,32,mini,cooper s convertible,m,2021
24,midsize car,27,2.0,awd,34,audi,a5 sportback quattro,a,2018
15,two seater,18,5.0,awd,23,jaguar,f-type r awd coupe,a,2016
51,compact car,48,1.5,fwd,45,honda,insight touring,a,2021
24,compact car,27,2.0,awd,33,audi,a4 quattro,m,2018
20,midsize car,24,3.0,awd,29,audi,a6 quattro,a,2016
26,small sport utility vehicle,28,2.0,fwd,32,mazda,cx-5 2wd,a,2014
18,midsize car,20,3.3,rwd,25,kia,stinger rwd,a,2022
16,subcompact car,19,3.8,awd,22,nissan,gt-r,a,2016
29,midsize car,33,2.0,fwd,38,hyundai,elantra se,a,2017
12,standard sport utility vehicle,15,6.0,awd,19,bentley,bentayga,a,2018
12,two seater,14,5.2,awd,19,audi,r8,m,2014
27,compact car,30,2.0,fwd,34,hyundai,veloster,a,2021
20,two seater,23,3.0,rwd,28,jaguar,f-type convertible,a,2017
18,small sport utility vehicle,21,3.3,fwd,25,hyundai,santa fe fwd,a,2017
17,small sport utility vehicle,20,3.0,awd,24,volvo,xc70 awd,a,2015
19,small sport utility vehicle,21,2.4,awd,25,kia,sorento awd,a,2015
16,standard sport utility vehicle,18,5.3,rwd,23,chevrolet,tahoe c1500 2wd,a,2015
16,standard sport utility vehicle,18,5.3,4wd,22,gmc,yukon k1500 4wd,a,2015
18,small sport utility vehicle,21,3.3,fwd,25,kia,sorento 2wd,a,2014
25,small sport utility vehicle,25,1.5,4wd,26,mitsubishi,eclipse cross 4wd,a,2022
17,small sport utility vehicle,19,3.3,awd,22,hyundai,santa fe ultimate awd,a,2017
22,two seater,26,2.0,rwd,32,bmw,z4 sdrive28i,a,2016
28,midsize car,30,3.5,awd,31,acura,rlx hybrid,a,2016
37,compact car,39,1.2,fwd,43,mitsubishi,mirage,a,2017
18,small pickup truck,21,3.6,rwd,25,gmc,canyon 2wd,a,2021
20,small station wagon,23,2.5,awd,28,volvo,v60 awd,a,2015
17,small sport utility vehicle,20,3.3,fwd,23,hyundai,santa fe ultimate fwd,a,2017
17,compact car,19,2.5,awd,23,subaru,wrx,m,2017
17,compact car,20,4.4,rwd,25,bmw,650i gran coupe,a,2018
24,small sport utility vehicle,27,2.5,awd,31,subaru,forester awd,a,2014
26,small sport utility vehicle,29,2.5,fwd,33,mazda,cx-5 2wd,a,2016
25,small sport utility vehicle,26,1.5,4wd,28,mitsubishi,eclipse cross es 4wd,a,2022
15,subcompact car,17,5.0,rwd,22,roush performance,stage 3 mustang,a,2014
12,two seater,14,5.2,awd,19,audi,r8 spyder,m,2014
19,small sport utility vehicle,21,3.5,awd,25,acura,mdx awd,a,2022
21,small sport utility vehicle,24,2.4,fwd,27,hyundai,santa fe sport fwd,a,2017
25,minicompact car,28,2.0,fwd,33,mini,john cooper works convertible,a,2021
11,midsize car,14,6.8,rwd,18,bentley,mulsanne,a,2016
21,compact car,24,2.0,awd,28,subaru,wrx,m,2015
13,standard sport utility vehicle,15,6.4,4wd,19,jeep,grand cherokee srt8,a,2014
24,compact car,27,2.0,rwd,34,bmw,430i gran coupe,a,2018
19,subcompact car,22,3.7,rwd,29,ford,mustang,m,2014
20,small sport utility vehicle,21,2.0,awd,23,kia,sportage awd,a,2017
28,midsize car,32,2.5,fwd,39,mazda,6,a,2015
14,two seater,17,5.2,awd,22,audi,r8,a,2017
25,compact car,28,2.0,fwd,33,audi,a4,a,2017
24,small sport utility vehicle,26,2.5,4wd,29,mazda,cx-5 4wd,a,2016
17,compact car,20,3.0,rwd,24,bmw,m4 coupe,a,2018
25,compact car,28,1.6,fwd,33,hyundai,veloster,m,2016
26,small sport utility vehicle,28,1.5,fwd,32,chevrolet,equinox fwd,a,2018
25,small sport utility vehicle,27,2.5,fwd,31,mazda,cx-5 2wd,a,2015
24,compact car,27,2.0,awd,34,audi,a4 quattro,a,2018
16,two seater,18,5.0,rwd,23,jaguar,f-type v8 s convertible,a,2015
20,small sport utility vehicle,23,2.4,fwd,27,kia,sorento fwd,a,2015
19,two seater,22,3.0,rwd,27,jaguar,f-type s convertible,a,2017
26,compact car,29,1.6,fwd,33,hyundai,veloster,m,2021
14,two seater,17,4.2,awd,23,audi,r8,a,2014
22,minicompact car,25,2.0,fwd,31,mini,john cooper works convertible,m,2017
22,two seater,26,2.0,awd,31,audi,tt roadster quattro,a,2015
24,midsize car,27,2.0,fwd,32,hyundai,elantra gt,a,2016
28,subcompact car,31,1.5,fwd,37,mini,cooper hardtop 2 door,a,2021
20,compact car,23,3.0,rwd,29,bmw,640i gran coupe,a,2018
26,midsize car,30,2.5,fwd,37,mazda,6,a,2015
20,subcompact car,23,3.0,awd,29,audi,s5 cabriolet,a,2018
24,small sport utility vehicle,26,1.5,awd,30,chevrolet,equinox awd,a,2018
18,two seater,21,3.0,awd,26,jaguar,f-type s awd convertible,a,2017
18,compact car,21,3.3,rwd,27,genesis,g70 rwd,a,2022
23,subcompact car,27,2.0,fwd,33,mini,cooper s hardtop 2 door,m,2021
21,subcompact car,24,3.0,rwd,29,bmw,440i convertible,a,2018
15,two seater,18,5.0,awd,23,jaguar,f-type r awd convertible,a,2017
24,subcompact car,27,2.0,awd,34,audi,a5 cabriolet quattro,a,2018
17,small sport utility vehicle,19,3.5,awd,22,nissan,murano crosscabriolet,a,2014
18,two seater,21,3.0,awd,26,jaguar,f-type s awd coupe,a,2016
21,small sport utility vehicle,24,2.4,fwd,28,jeep,patriot fwd,a,2014
23,small sport utility vehicle,25,2.4,fwd,28,jeep,patriot fwd,m,2014
15,standard sport utility vehicle,18,5.3,4wd,22,chevrolet,suburban k1500 4wd,a,2015
21,compact car,25,3.0,awd,31,bmw,440i xdrive gran coupe,a,2018
13,minicompact car,15,5.9,rwd,19,aston martin,vanquish,a,2014
16,subcompact car,19,4.4,awd,25,bmw,650i xdrive convertible,a,2018
19,two seater,22,3.0,rwd,27,jaguar,f-type s convertible,a,2016
25,midsize car,29,2.5,fwd,35,mazda,6,m,2015
20,small sport utility vehicle,23,2.0,fwd,27,kia,sorento fwd,a,2016
16,standard sport utility vehicle,18,5.3,rwd,23,gmc,yukon c1500 xl 2wd,a,2015
15,standard sport utility vehicle,17,6.2,rwd,21,cadillac,escalade esv 2wd,a,2015
16,standard pickup truck,18,5.3,4wd,22,gmc,sierra k15 4wd,a,2015
22,subcompact car,26,2.0,awd,31,audi,tt coupe quattro,a,2015
18,small sport utility vehicle,21,3.3,awd,25,kia,sorento fe awd,a,2016
13,two seater,16,5.2,awd,22,audi,r8 spyder,a,2014
15,subcompact car,18,5.8,rwd,24,ford,mustang,m,2014
23,small sport utility vehicle,25,2.4,4wd,28,jeep,patriot 4wd,m,2014
17,small sport utility vehicle,19,3.3,awd,23,kia,sorento awd,a,2016
18,minivan,21,3.3,fwd,25,kia,sedona sx,a,2016
19,small sport utility vehicle,22,3.6,fwd,27,cadillac,xt5,a,2017
18,small sport utility vehicle,20,3.3,awd,23,kia,sorento awd,a,2015
18,two seater,21,3.0,awd,26,jaguar,f-type s awd coupe,a,2017
18,small sport utility vehicle,20,3.3,fwd,25,kia,sorento fwd,a,2016
26,small sport utility vehicle,29,2.0,fwd,34,mazda,cx-5 2wd,m,2015
23,small sport utility vehicle,25,2.4,fwd,28,jeep,compass fwd,m,2014
15,two seater,18,3.0,rwd,24,jaguar,f-type s convertible,m,2017
20,midsize car,23,3.5,fwd,30,acura,rlx,a,2016
26,small sport utility vehicle,29,2.0,fwd,34,mazda,cx-5 2wd,m,2016
19,large car,22,3.8,rwd,27,genesis,g80 rwd,a,2018
27,compact car,30,1.6,fwd,34,hyundai,veloster,m,2016
28,minicompact car,31,1.5,fwd,37,mini,cooper convertible,a,2021
16,standard pickup truck,19,5.3,rwd,23,gmc,sierra c15 2wd,a,2015
20,small sport utility vehicle,23,2.0,fwd,28,hyundai,santa fe sport fwd,a,2017
18,small sport utility vehicle,21,3.3,fwd,25,kia,sorento fwd,a,2015
19,two seater,22,3.0,rwd,27,jaguar,f-type coupe,a,2016
15,large car,18,5.0,rwd,23,jaguar,xjl,a,2016
16,two seater,18,5.0,rwd,23,jaguar,f-type r convertible,a,2016
18,large car,20,3.8,awd,25,genesis,g80 awd,a,2018
26,minicompact car,29,2.0,fwd,34,mini,cooper s convertible,a,2021
25,small sport utility vehicle,26,1.5,fwd,28,mitsubishi,eclipse cross 2wd,a,2022
21,subcompact car,24,3.0,awd,30,audi,s5,a,2018
20,small sport utility vehicle,23,3.5,fwd,28,acura,rdx fwd,a,2017
19,small pickup truck,22,2.5,rwd,25,chevrolet,colorado 2wd,a,2021
23,small sport utility vehicle,25,2.0,awd,27,audi,q5,a,2018
26,small sport utility vehicle,29,2.0,fwd,34,mazda,cx-5 2wd,m,2014
16,standard pickup truck,18,5.3,4wd,22,chevrolet,silverado k15 4wd,a,2015
17,large car,19,4.4,awd,24,bmw,750i xdrive,a,2021
15,two seater,18,5.0,awd,23,jaguar,f-type r awd coupe,a,2017
19,subcompact car,23,3.7,rwd,30,ford,mustang,a,2014
16,subcompact car,19,3.8,awd,23,nissan,gt-r,a,2014
25,small station wagon,27,2.0,fwd,31,kia,soul,m,2021
19,small sport utility vehicle,21,2.0,awd,25,kia,sorento awd,a,2016
15,standard sport utility vehicle,17,6.2,rwd,21,cadillac,escalade 2wd,a,2015
21,small sport utility vehicle,22,2.0,fwd,24,volkswagen,atlas,a,2021
23,small sport utility vehicle,25,2.0,awd,27,subaru,forester awd,a,2014
26,small sport utility vehicle,28,2.0,fwd,32,mazda,cx-5 2wd,a,2015
27,small sport utility vehicle,29,1.8,awd,32,honda,hr-v 4wd,a,2016
23,small sport utility vehicle,25,2.0,fwd,30,jeep,compass fwd,m,2014
11,two seater,14,4.2,awd,20,audi,r8,m,2014
55,midsize car,52,1.5,fwd,49,honda,insight,a,2021
23,small sport utility vehicle,26,2.4,fwd,30,kia,sportage fwd,a,2022
19,small pickup truck,21,2.5,4wd,24,chevrolet,colorado 4wd,a,2021
24,small sport utility vehicle,26,2.5,4wd,29,mazda,cx-5 4wd,a,2015
24,large car,28,3.0,awd,36,audi,a8 l,a,2014
17,midsize car,20,3.3,awd,24,kia,stinger awd,a,2022
24,subcompact car,27,2.0,awd,34,audi,a5 quattro,a,2018
25,small sport utility vehicle,27,2.5,fwd,31,mazda,cx-5 2wd,a,2014
15,standard sport utility vehicle,17,6.2,rwd,21,gmc,yukon c1500 xl 2wd,a,2015
15,large car,18,5.0,rwd,23,hyundai,equus,a,2016
19,compact car,22,3.0,awd,28,bmw,640i xdrive gran coupe,a,2018
19,small pickup truck,22,2.5,rwd,25,gmc,canyon 2wd,a,2021
19,small sport utility vehicle,22,2.0,awd,26,hyundai,santa fe sport awd,a,2017
20,compact car,23,2.0,awd,27,subaru,wrx,m,2017
16,two seater,18,5.0,rwd,23,jaguar,f-type r coupe,a,2015
24,small sport utility vehicle,26,2.5,4wd,29,mazda,cx-5 4wd,a,2014
18,small sport utility vehicle,21,3.6,awd,26,cadillac,xt5 awd,a,2017
16,two seater,19,3.0,rwd,24,jaguar,f-type convertible,m,2017
14,two seater,17,5.2,awd,22,audi,r8 spyder,a,2017
21,small sport utility vehicle,23,2.0,fwd,26,kia,sportage fwd,a,2017
13,subcompact car,15,5.9,rwd,19,aston martin,rapide s,a,2014
19,small sport utility vehicle,22,3.5,fwd,26,acura,mdx fwd,a,2022
19,minivan,22,3.5,fwd,28,honda,odyssey,a,2022
19,small sport utility vehicle,21,2.4,fwd,27,kia,sorento 2wd,m,2014
43,compact car,42,1.5,fwd,42,chevrolet,volt,a,2017
28,midsize car,32,2.0,fwd,37,hyundai,elantra,a,2017
18,small sport utility vehicle,20,3.3,awd,24,hyundai,santa fe awd,a,2017
21,midsize car,24,3.0,awd,30,audi,s5 sportback,a,2018
28,midsize car,32,2.5,fwd,38,mazda,6,a,2016
28,compact car,31,1.6,fwd,35,hyundai,veloster,a,2016
16,subcompact car,19,3.0,rwd,22,bmw,m4 convertible,a,2018
28,small sport utility vehicle,29,1.2,fwd,31,buick,encore gx fwd,a,2021
24,compact car,27,2.0,rwd,34,bmw,430i coupe,a,2018
19,small station wagon,22,3.0,awd,28,volvo,v60 awd,a,2015
16,subcompact car,19,3.8,awd,23,nissan,gt-r,a,2015
21,small sport utility vehicle,23,2.4,4wd,27,jeep,compass 4wd,a,2014
13,minicompact car,15,5.9,rwd,19,aston martin,db9,a,2014
17,subcompact car,20,3.0,rwd,25,bmw,m4 convertible,m,2018
11,two seater,14,4.2,awd,20,audi,r8 spyder,m,2014
19,small sport utility vehicle,22,3.5,awd,27,acura,rdx awd,a,2017
24,subcompact car,26,2.0,fwd,30,mini,john cooper works gp,a,2021
19,standard sport utility vehicle,21,3.0,awd,25,audi,q7,a,2017
18,large car,21,3.8,rwd,26,kia,k900,a,2015
19,small sport utility vehicle,21,2.0,awd,24,kia,sportage awd,a,2022
16,standard sport utility vehicle,18,5.3,rwd,23,chevrolet,suburban c1500 2wd,a,2015
17,small sport utility vehicle,20,3.0,awd,24,volvo,xc60 awd,a,2015
33,compact car,36,1.2,fwd,41,mitsubishi,mirage,m,2017
21,small sport utility vehicle,24,2.0,fwd,28,jeep,patriot fwd,a,2014
21,small sport utility vehicle,23,2.4,awd,25,kia,sportage awd,a,2017
24,compact car,27,2.0,awd,31,audi,a4 quattro,a,2017
20,subcompact car,23,3.0,rwd,29,bmw,640i convertible,a,2018
15,standard sport utility vehicle,18,5.3,4wd,22,gmc,yukon k1500 xl 4wd,a,2015
22,small sport utility vehicle,23,2.4,awd,26,kia,sportage awd,a,2022
22,small sport utility vehicle,24,2.5,awd,28,subaru,forester awd,m,2014
14,subcompact car,17,5.0,rwd,22,roush performance,stage 3 mustang,m,2014
15,large car,18,5.0,rwd,23,jaguar,xj,a,2016
21,small sport utility vehicle,24,2.0,fwd,28,jeep,compass fwd,a,2014
24,small sport utility vehicle,27,2.5,fwd,31,mitsubishi,outlander 2wd,a,2022
18,two seater,21,3.0,awd,26,jaguar,f-type s awd convertible,a,2016
21,compact car,24,3.0,awd,30,audi,s4,a,2018
21,compact car,25,3.0,awd,31,bmw,440i xdrive coupe,a,2018
15,subcompact car,17,4.4,rwd,22,bmw,m6 convertible,m,2018
14,two seater,17,4.2,awd,23,audi,r8 spyder,a,2014
20,small sport utility vehicle,23,2.0,fwd,28,kia,sportage fwd,a,2022
14,standard sport utility vehicle,16,6.2,4wd,20,cadillac,escalade esv 4wd,a,2015
14,standard sport utility vehicle,16,6.2,4wd,21,gmc,yukon k1500 4wd,a,2015
16,standard sport utility vehicle,18,5.3,4wd,22,chevrolet,tahoe k1500 4wd,a,2015
13,two seater,16,5.2,awd,22,audi,r8,a,2014
23,compact car,27,2.0,awd,33,bmw,430i xdrive coupe,a,2018
19,compact car,22,3.0,awd,28,volvo,s60 awd,a,2015
26,small sport utility vehicle,29,2.5,fwd,33,hyundai,tucson fwd,a,2022
14,standard sport utility vehicle,17,4.8,awd,21,porsche,cayenne turbo,a,2014
20,two seater,23,3.0,rwd,28,jaguar,f-type coupe,a,2017
19,large car,22,3.0,awd,28,bmw,740i xdrive,a,2017
19,midsize car,22,3.0,awd,28,volvo,s80 awd,a,2015
18,subcompact car,20,5.0,rwd,25,ford,mustang,a,2014
20,midsize car,24,3.0,awd,29,audi,a7 quattro,a,2016
16,standard sport utility vehicle,18,5.3,rwd,23,gmc,yukon c1500 2wd,a,2015
19,small sport utility vehicle,21,3.0,awd,24,audi,sq5,a,2018
29,small sport utility vehicle,31,1.3,fwd,33,chevrolet,trailblazer fwd,a,2021
18,minivan,22,3.6,fwd,28,chrysler,pacifica,a,2017
21,compact car,25,2.0,rwd,33,bmw,430i coupe,m,2018
21,midsize car,24,2.5,awd,29,kia,stinger awd,a,2022
26,midsize car,30,2.5,fwd,37,mazda,6,a,2014
20,compact car,23,2.5,awd,28,volvo,s60 awd,a,2015
