city_mpg,cylndrs,drive,highway_mpg,make,transmission
25,4.0,fwd,31,mazda,a
24,4.0,awd,30,chevrolet,a
18,6.0,rwd,25,kia,a
25,4.0,fwd,33,audi,a
28,4.0,fwd,39,mazda,a
14,8.0,rwd,22,roush performance,m
27,4.0,fwd,34,hyundai,m
20,4.0,awd,23,kia,a
24,4.0,awd,33,audi,m
29,4.0,fwd,38,hyundai,a
23,4.0,awd,27,subaru,a
16,6.0,awd,23,nissan,a
19,4.0,awd,26,hyundai,a
24,4.0,fwd,31,mitsubishi,a
16,6.0,awd,22,nissan,a
17,6.0,rwd,25,genesis,a
23,4.0,fwd,28,jeep,m
21,4.0,awd,28,subaru,m
21,6.0,awd,31,bmw,a
28,3.0,fwd,31,buick,a
20,6.0,awd,29,audi,a
18,6.0,rwd,25,chevrolet,a
19,6.0,awd,29,bmw,m
22,4.0,awd,28,subaru,m
26,4.0,fwd,36,hyundai,m
43,4.0,fwd,42,chevrolet,a
20,4.0,fwd,28,kia,a
121,,rwd,102,mitsubishi,a
25,4.0,4wd,30,mazda,a
21,4.0,fwd,27,hyundai,a
24,4.0,awd,31,subaru,a
14,8.0,awd,21,porsche,a
27,4.0,awd,32,honda,a
18,6.0,awd,26,jaguar,a
26,4.0,fwd,37,mazda,a
21,6.0,rwd,32,bmw,a
20,4.0,fwd,27,kia,a
17,8.0,awd,24,bmw,a
17,6.0,awd,24,genesis,a
17,6.0,awd,24,kia,a
19,6.0,awd,25,audi,a
19,6.0,awd,25,acura,a
23,4.0,fwd,32,mini,m
18,6.0,fwd,24,kia,a
21,4.0,4wd,27,jeep,a
20,6.0,rwd,28,jaguar,a
25,4.0,fwd,33,mini,a
18,6.0,4wd,23,kia,a
25,4.0,4wd,28,mitsubishi,a
16,8.0,rwd,25,ford,m
22,4.0,fwd,29,kia,a
14,8.0,awd,23,audi,a
126,,rwd,99,mitsubishi,a
26,4.0,fwd,34,mini,a
15,8.0,awd,23,jaguar,a
16,8.0,4wd,22,gmc,a
23,4.0,awd,33,bmw,a
15,8.0,rwd,23,jaguar,a
16,6.0,rwd,22,bmw,a
14,8.0,4wd,20,cadillac,a
33,3.0,fwd,41,mitsubishi,m
20,4.0,fwd,27,hyundai,a
12,12.0,awd,19,bentley,a
25,6.0,awd,38,audi,a
21,6.0,awd,30,audi,a
20,6.0,fwd,28,acura,a
25,4.0,fwd,28,mitsubishi,a
19,6.0,rwd,29,ford,m
19,6.0,rwd,27,genesis,a
20,5.0,awd,28,volvo,a
24,4.0,fwd,32,hyundai,a
19,6.0,rwd,27,jaguar,a
19,6.0,rwd,30,ford,a
23,4.0,awd,27,audi,a
