fl_typ,highway_mpg,make
gas,31,mini
gas,28,honda
gas,27,genesis
gas,26,mitsubishi
gas,30,audi
gas,31,mitsubishi
gas,35,acura
gas,19,jeep
gas,28,jaguar
gas,29,kia
gas,25,bmw
gas,27,hyundai
gas,22,audi
gas,27,cadillac
gas,25,ford
gas,23,jaguar
gas,34,mazda
gas,30,mazda
gas,28,kia
gas,19,bentley
gas,31,kia
gas,38,mazda
gas,33,chevrolet
gas,30,kia
gas,28,hyundai
gas,32,chevrolet
gas,31,buick
gas,39,mazda
gas,25,hyundai
gas,33,mazda
gas,31,subaru
gas,20,audi
gas,35,hyundai
gas,28,jeep
gas,31,audi
gas,24,ford
gas,20,gmc
gas,32,kia
gas,22,chevrolet
diesel,38,audi
gas,22,hyundai
gas,33,hyundai
gas,28,bmw
gas,26,acura
gas,24,bmw
gas,37,hyundai
gas,24,volvo
gas,49,honda
gas,30,mini
gas,23,chevrolet
gas,22,gmc
gas,30,jeep
gas,29,hyundai
gas,34,hyundai
electricity,99,mitsubishi
gas,34,mini
gas,29,bmw
gas,33,mini
gas,36,hyundai
gas,31,mazda
diesel,36,audi
gas,32,bmw
gas,21,porsche
gas,24,porsche
gas,30,ford
gas,24,volkswagen
gas,37,mazda
gas,33,audi
gas,24,kia
gas,24,genesis
gas,41,mitsubishi
gas,30,chevrolet
gas,37,mini
gas,25,genesis
gas,24,audi
gas,26,kia
gas,26,jaguar
gas,38,hyundai
gas,29,mitsubishi
gas,25,audi
gas,24,jaguar
gas,34,audi
gas,23,nissan
gas,25,acura
gas,29,audi
gas,28,volvo
gas,28,chrysler
gas,24,chevrolet
gas,26,cadillac
gas,24,hyundai
gas,30,acura
gas,33,bmw
gas,20,bmw
gas,21,cadillac
gas,31,acura
gas,23,hyundai
gas,32,hyundai
gas,29,mazda
gas,32,mazda
gas,27,audi
electricity,102,mitsubishi
gas,25,gmc
gas,35,mazda
gas,25,kia
gas,32,honda
gas,19,aston martin
gas,28,mitsubishi
gas,24,subaru
gas,43,mitsubishi
gas,22,bmw
gas,22,roush performance
gas,27,jaguar
gas,27,kia
gas,23,audi
gas,21,gmc
gas,22,kia
gas,22,nissan
gas,23,kia
gas,28,subaru
gas,18,bentley
gas,27,subaru
gas,45,honda
gas,33,honda
gas,19,audi
gas,28,acura
gas,23,gmc
gas,26,hyundai
gas,20,cadillac
gas,25,chevrolet
gas,29,ford
gas,27,acura
gas,27,jeep
gas,31,chevrolet
gas,42,chevrolet
gas,26,genesis
gas,34,honda
gas,32,mini
gas,23,subaru
gas,36,mazda
gas,34,bmw
gas,31,bmw
